genes,AD,BipolarDisorder,MajorDepressiveDisorder,MigraineDisorder,MS,PD,RestlessLeg,SCZ
ABCA1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACO1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ADAM10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADARB2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADCY2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AJAP1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AKT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANK3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
APH1B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AREL1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ARHGAP15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ARL17A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AS3MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ASCC3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ASPSCR1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ASTN1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ASTN2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
ATP2A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ATP2B1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ATP8B4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATRAID,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATXN7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AUTS2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
B3GAT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B3GLCT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B3GNTL1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BAG3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BAG5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BCL11A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BCL11B,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
