genes,AD,BipolarDisorder,MajorDepressiveDisorder,MigraineDisorder,PD,RestlessLeg,SCZ
ABCA7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ACE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ADCY2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AKT3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANK3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ANXA1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
APH1B,1.0,0.0,0.0,0.0,0.0,0.0,0.0
APOE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
APP,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ARL17A,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AS3MT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ASCC3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ASTN1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ASTN2,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ATP2A2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B3GLCT,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BCL11A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BCL11B,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BIN1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BLTP1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BRINP2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BST1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BTBD9,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CA8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CACNA1C,0.0,1.0,0.0,0.0,0.0,0.0,1.0
CACNA1I,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CADM1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CALCA,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CASS4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CD2AP,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CD33,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CD38,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CDH6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CELF4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CHRM3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CHRNA3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CITED1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CLNK,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CLU,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CNKSR2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CNTLN,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CNTN4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CNTN5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CR1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CRBN,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CSMD1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CTSB,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CTTNBP2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DACH1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DCC,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DCDC1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
