genes,AD,MajorDepressiveDisorder,SCZ
ABCA7,1.0,0.0,0.0
ACE,1.0,0.0,0.0
APH1B,1.0,0.0,0.0
APOE,1.0,0.0,0.0
APP,1.0,0.0,0.0
ATP2A2,0.0,0.0,1.0
B3GLCT,0.0,1.0,0.0
BCL11B,0.0,0.0,1.0
BIN1,1.0,0.0,0.0
BLTP1,0.0,1.0,0.0
BRINP2,0.0,0.0,1.0
CA8,0.0,0.0,1.0
CD33,1.0,0.0,0.0
CDH6,0.0,1.0,0.0
CELF4,0.0,1.0,0.0
CLNK,1.0,0.0,0.0
CLU,1.0,0.0,0.0
CNTLN,0.0,1.0,0.0
CR1,1.0,0.0,0.0
CSMD1,0.0,0.0,1.0
CTTNBP2,0.0,1.0,0.0
DCC,0.0,1.0,0.0
DCDC1,0.0,1.0,0.0
DMRTA1,0.0,0.0,1.0
EPHA1,1.0,0.0,0.0
ERCC4,0.0,1.0,1.0
ESAM,0.0,0.0,1.0
FES,0.0,0.0,1.0
FHIT,0.0,1.0,0.0
FUT9,0.0,0.0,1.0
GPM6A,0.0,0.0,1.0
GRIA1,0.0,0.0,1.0
GRM3,0.0,0.0,1.0
GRN,1.0,0.0,0.0
HCN1,0.0,0.0,1.0
KCNV1,0.0,0.0,1.0
LRFN5,0.0,1.0,0.0
MAD1L1,0.0,1.0,1.0
MEIS2,0.0,1.0,0.0
MS4A6A,1.0,0.0,0.0
NCAM1,0.0,1.0,0.0
NCK2,1.0,0.0,0.0
NEGR1,0.0,1.0,0.0
NMUR2,0.0,0.0,1.0
NRGN,0.0,0.0,1.0
OLFM4,0.0,1.0,0.0
PCDH9,0.0,1.0,0.0
PCLO,0.0,1.0,0.0
PICALM,1.0,0.0,0.0
PJA1,0.0,0.0,1.0
PLCG2,1.0,0.0,0.0
PTAR1,0.0,1.0,0.0
RBFOX1,0.0,1.0,0.0
RGS6,0.0,0.0,1.0
SDCCAG8,0.0,0.0,1.0
SEMA6D,0.0,1.0,0.0
SLC24A4,1.0,0.0,0.0
SLC39A8,0.0,1.0,1.0
SORCS3,0.0,1.0,0.0
SORL1,1.0,0.0,0.0
TCF4,0.0,1.0,1.0
TLR4,0.0,1.0,0.0
TMEM106B,0.0,1.0,0.0
TMTC1,0.0,0.0,1.0
TREM2,1.0,0.0,0.0
TUSC1,0.0,1.0,0.0
VRK2,0.0,1.0,1.0
WSCD2,0.0,0.0,1.0
ZNF536,0.0,0.0,1.0
ZNF804A,0.0,0.0,1.0
ZSWIM6,0.0,0.0,1.0
