genes,Asthma,cardiovascular,coronaryheart,DiabetesMellitus,LymphoidLeukemia,ReumatoidArthritis
A2ML1,0.0,1.0,0.0,0.0,0.0,0.0
AAGAB,1.0,1.0,1.0,0.0,0.0,0.0
AANAT,0.0,0.0,0.0,1.0,0.0,0.0
AAR2,0.0,1.0,0.0,0.0,0.0,0.0
ABCA1,0.0,1.0,1.0,0.0,0.0,0.0
ABCA3,0.0,1.0,0.0,0.0,0.0,0.0
ABCA6,0.0,1.0,0.0,0.0,0.0,0.0
ABCA9,0.0,1.0,0.0,0.0,0.0,0.0
ABCB10,0.0,0.0,0.0,1.0,0.0,0.0
ABCB5,1.0,0.0,0.0,1.0,0.0,0.0
ABCC2,0.0,1.0,0.0,0.0,0.0,0.0
ABCC5,0.0,0.0,0.0,1.0,0.0,0.0
ABCC6,0.0,1.0,0.0,0.0,0.0,0.0
ABCC8,0.0,1.0,0.0,1.0,0.0,0.0
ABCC9,0.0,1.0,0.0,0.0,0.0,0.0
ABCD1,0.0,1.0,0.0,0.0,0.0,0.0
ABCG5,0.0,1.0,1.0,0.0,0.0,0.0
ABCG8,0.0,1.0,1.0,0.0,0.0,0.0
ABHD10,0.0,1.0,0.0,0.0,0.0,0.0
ABHD16B,0.0,1.0,0.0,0.0,0.0,0.0
ABHD17C,0.0,1.0,0.0,0.0,0.0,0.0
ABHD2,0.0,1.0,1.0,0.0,0.0,0.0
ABL1,0.0,1.0,0.0,0.0,0.0,0.0
ABL2,0.0,0.0,0.0,1.0,0.0,0.0
ABO,0.0,1.0,1.0,1.0,0.0,0.0
ACAD10,0.0,1.0,1.0,0.0,0.0,0.0
ACAD11,0.0,1.0,1.0,0.0,0.0,0.0
ACADL,0.0,1.0,0.0,0.0,0.0,0.0
ACADVL,0.0,1.0,0.0,0.0,0.0,0.0
ACAP1,0.0,0.0,0.0,1.0,0.0,0.0
ACAT1,0.0,0.0,0.0,0.0,0.0,1.0
ACBD4,0.0,1.0,0.0,0.0,0.0,0.0
ACE,0.0,1.0,0.0,1.0,0.0,0.0
ACKR4,0.0,1.0,1.0,0.0,0.0,0.0
ACO2,1.0,1.0,0.0,0.0,0.0,0.0
ACOX3,0.0,1.0,0.0,0.0,0.0,0.0
ACOXL,0.0,0.0,0.0,1.0,1.0,1.0
ACP2,0.0,1.0,0.0,0.0,0.0,0.0
ACSL1,0.0,0.0,0.0,1.0,0.0,0.0
ACSL6,1.0,0.0,0.0,0.0,0.0,0.0
ACSM5,0.0,1.0,0.0,0.0,0.0,0.0
ACTA1,0.0,1.0,0.0,0.0,0.0,0.0
ACTA2,0.0,1.0,0.0,0.0,1.0,1.0
ACTBL2,0.0,1.0,0.0,0.0,0.0,0.0
ACTC1,0.0,1.0,0.0,0.0,0.0,0.0
ACTL6A,0.0,1.0,0.0,0.0,0.0,0.0
ACTN1,0.0,0.0,0.0,1.0,0.0,0.0
ACTN2,0.0,1.0,0.0,0.0,0.0,0.0
ACTN3,1.0,0.0,0.0,0.0,0.0,0.0
ACTR2,0.0,1.0,1.0,0.0,0.0,0.0
ACTRT2,0.0,1.0,1.0,0.0,0.0,0.0
ACTRT3,0.0,1.0,0.0,0.0,1.0,0.0
ACVR1,0.0,0.0,0.0,1.0,0.0,0.0
ACVR2B,0.0,1.0,0.0,0.0,0.0,0.0
ACVRL1,0.0,1.0,0.0,0.0,0.0,0.0
ACYP1,0.0,1.0,1.0,0.0,0.0,0.0
ACYP2,0.0,1.0,0.0,0.0,0.0,0.0
ADA2,0.0,1.0,0.0,0.0,0.0,0.0
ADAD1,1.0,0.0,0.0,1.0,0.0,1.0
ADAM15,0.0,1.0,0.0,0.0,0.0,0.0
ADAM19,1.0,0.0,0.0,0.0,0.0,0.0
ADAM30,0.0,0.0,0.0,1.0,0.0,0.0
ADAM7,0.0,1.0,0.0,0.0,0.0,0.0
ADAMTS13,0.0,1.0,0.0,0.0,0.0,0.0
ADAMTS16,1.0,0.0,0.0,0.0,0.0,0.0
ADAMTS19,0.0,1.0,0.0,0.0,0.0,0.0
ADAMTS3,0.0,1.0,1.0,0.0,0.0,0.0
ADAMTS4,1.0,0.0,0.0,0.0,0.0,0.0
ADAMTS7,0.0,1.0,1.0,0.0,0.0,0.0
ADAMTS8,0.0,1.0,0.0,0.0,0.0,0.0
ADAMTS9,0.0,0.0,0.0,1.0,0.0,0.0
ADAMTSL1,0.0,0.0,0.0,1.0,0.0,0.0
ADAMTSL3,1.0,0.0,0.0,1.0,0.0,0.0
ADAMTSL4,0.0,1.0,1.0,0.0,0.0,0.0
ADAR,0.0,1.0,0.0,0.0,0.0,0.0
ADCY3,0.0,0.0,0.0,1.0,0.0,1.0
ADCY5,0.0,0.0,0.0,1.0,0.0,0.0
ADCY7,0.0,0.0,0.0,1.0,0.0,1.0
ADCY8,0.0,0.0,0.0,1.0,0.0,0.0
ADCY9,0.0,1.0,0.0,0.0,0.0,0.0
ADGRG1,0.0,1.0,0.0,0.0,0.0,0.0
ADGRG6,0.0,1.0,0.0,0.0,0.0,0.0
ADGRL2,0.0,0.0,0.0,1.0,0.0,1.0
ADGRV1,0.0,1.0,0.0,0.0,0.0,0.0
ADH1B,0.0,1.0,0.0,0.0,0.0,0.0
ADIPOQ,0.0,0.0,0.0,1.0,0.0,0.0
ADK,0.0,1.0,0.0,0.0,0.0,0.0
ADM,0.0,1.0,0.0,0.0,0.0,0.0
ADO,1.0,1.0,0.0,1.0,0.0,1.0
ADORA1,1.0,1.0,0.0,0.0,0.0,0.0
ADORA2A,0.0,1.0,1.0,0.0,0.0,0.0
ADPRHL1,0.0,1.0,0.0,0.0,0.0,0.0
ADRA1D,0.0,1.0,0.0,0.0,0.0,0.0
ADRB1,0.0,1.0,0.0,1.0,0.0,0.0
AEBP1,0.0,0.0,0.0,1.0,0.0,0.0
AFF3,0.0,0.0,0.0,1.0,0.0,1.0
AFF4,0.0,1.0,0.0,0.0,0.0,0.0
AFG2A,0.0,1.0,0.0,1.0,0.0,0.0
AGAP5,0.0,1.0,0.0,0.0,0.0,0.0
AGBL1,0.0,1.0,0.0,0.0,0.0,0.0
AGBL2,0.0,0.0,0.0,1.0,0.0,0.0
AGBL4,0.0,1.0,0.0,0.0,0.0,0.0
AGGF1,0.0,1.0,0.0,0.0,0.0,0.0
AGK,0.0,1.0,0.0,0.0,0.0,0.0
AGL,0.0,1.0,0.0,0.0,0.0,0.0
AGMO,0.0,0.0,0.0,1.0,0.0,0.0
AGO2,0.0,1.0,0.0,1.0,0.0,0.0
AGO3,0.0,0.0,0.0,1.0,0.0,0.0
AGPAT2,0.0,0.0,0.0,1.0,0.0,0.0
AGT,0.0,1.0,1.0,0.0,0.0,0.0
AGTR1,0.0,1.0,0.0,0.0,0.0,0.0
AHDC1,0.0,1.0,0.0,0.0,0.0,0.0
AHI1,1.0,0.0,0.0,0.0,0.0,0.0
AHNAK,0.0,1.0,0.0,0.0,0.0,0.0
AHNAK2,0.0,1.0,0.0,0.0,0.0,1.0
AHR,0.0,0.0,0.0,0.0,0.0,1.0
AIDA,0.0,1.0,1.0,0.0,0.0,0.0
AIFM2,0.0,0.0,0.0,0.0,0.0,1.0
AIM2,1.0,0.0,0.0,0.0,0.0,0.0
AIRE,0.0,1.0,0.0,1.0,0.0,1.0
AKAIN1,0.0,0.0,0.0,1.0,0.0,0.0
AKAP11,0.0,0.0,0.0,1.0,0.0,0.0
AKAP13,0.0,1.0,1.0,0.0,0.0,0.0
AKAP6,0.0,1.0,0.0,1.0,0.0,0.0
AKAP9,0.0,1.0,0.0,0.0,0.0,0.0
AKR1B1,0.0,1.0,0.0,0.0,0.0,0.0
AKR1B10,0.0,1.0,0.0,0.0,0.0,0.0
AKR1B15,0.0,1.0,0.0,0.0,0.0,0.0
AKR1C2,0.0,1.0,0.0,0.0,0.0,0.0
AKR1C3,0.0,1.0,0.0,0.0,0.0,0.0
AKR1C4,0.0,1.0,0.0,0.0,0.0,0.0
AKT1,0.0,1.0,0.0,0.0,0.0,0.0
AKT2,0.0,0.0,0.0,1.0,0.0,0.0
AKT3,0.0,1.0,0.0,0.0,0.0,0.0
ALAS1,0.0,0.0,0.0,1.0,0.0,0.0
ALB,0.0,0.0,0.0,1.0,0.0,0.0
ALDH1A2,0.0,1.0,1.0,1.0,0.0,0.0
ALDH2,0.0,1.0,1.0,0.0,0.0,0.0
ALG10,0.0,1.0,0.0,0.0,0.0,0.0
ALG10B,0.0,0.0,0.0,1.0,0.0,0.0
ALG2,1.0,1.0,0.0,0.0,0.0,0.0
ALG9,0.0,1.0,0.0,0.0,0.0,0.0
ALKAL1,0.0,1.0,0.0,0.0,0.0,0.0
ALMS1,0.0,0.0,0.0,1.0,0.0,0.0
ALOX15,1.0,0.0,0.0,0.0,0.0,0.0
ALPK3,0.0,1.0,0.0,0.0,0.0,0.0
ALPL,0.0,1.0,0.0,0.0,0.0,0.0
AMBRA1,0.0,1.0,0.0,0.0,0.0,0.0
AMER1,0.0,1.0,0.0,0.0,0.0,0.0
AMFR,0.0,0.0,0.0,1.0,0.0,0.0
AMPD3,0.0,1.0,0.0,0.0,0.0,0.0
AMZ1,0.0,0.0,0.0,1.0,0.0,0.0
AMZ2,0.0,0.0,0.0,1.0,0.0,0.0
ANAPC1,1.0,0.0,0.0,0.0,0.0,0.0
ANAPC5,0.0,1.0,0.0,0.0,0.0,0.0
ANG,0.0,0.0,0.0,1.0,0.0,0.0
ANGEL1,0.0,0.0,0.0,1.0,0.0,0.0
ANGPT2,0.0,1.0,0.0,0.0,0.0,0.0
ANGPTL3,0.0,1.0,0.0,0.0,0.0,0.0
ANGPTL4,0.0,1.0,1.0,0.0,0.0,0.0
ANGPTL6,0.0,1.0,0.0,0.0,0.0,0.0
ANGPTL8,0.0,0.0,0.0,1.0,0.0,0.0
ANHX,0.0,1.0,0.0,0.0,0.0,0.0
ANK1,0.0,0.0,0.0,1.0,0.0,0.0
ANK2,0.0,1.0,0.0,0.0,0.0,0.0
ANK3,0.0,0.0,0.0,1.0,0.0,0.0
ANKDD1B,0.0,1.0,1.0,1.0,0.0,0.0
ANKFY1,0.0,0.0,0.0,1.0,0.0,0.0
ANKH,0.0,0.0,0.0,1.0,0.0,0.0
ANKRD1,0.0,1.0,0.0,0.0,0.0,0.0
ANKRD13B,0.0,1.0,1.0,0.0,0.0,0.0
ANKRD26,0.0,1.0,1.0,1.0,0.0,0.0
ANKRD28,0.0,0.0,0.0,1.0,0.0,0.0
ANKRD30A,0.0,0.0,0.0,1.0,0.0,1.0
ANKRD44,0.0,1.0,0.0,0.0,0.0,0.0
ANKRD50,0.0,0.0,0.0,1.0,0.0,0.0
ANKRD55,0.0,1.0,0.0,1.0,0.0,1.0
ANKRD6,0.0,1.0,1.0,0.0,0.0,0.0
ANKS1A,0.0,1.0,0.0,0.0,0.0,0.0
ANKS1B,0.0,1.0,0.0,1.0,0.0,0.0
ANKUB1,0.0,1.0,0.0,0.0,0.0,0.0
ANO1,0.0,1.0,0.0,0.0,0.0,0.0
ANO5,0.0,1.0,0.0,0.0,0.0,0.0
ANO6,0.0,0.0,0.0,1.0,0.0,1.0
ANO7,0.0,1.0,0.0,0.0,0.0,0.0
ANTXR1,0.0,1.0,0.0,0.0,0.0,0.0
ANTXR2,0.0,0.0,0.0,0.0,0.0,1.0
ANXA3,0.0,0.0,0.0,0.0,0.0,1.0
ANXA4,0.0,1.0,0.0,0.0,0.0,0.0
AOAH,0.0,0.0,0.0,1.0,0.0,0.0
AOC1,0.0,1.0,0.0,1.0,0.0,0.0
AOPEP,0.0,1.0,0.0,1.0,0.0,0.0
AP1AR,0.0,0.0,0.0,0.0,0.0,1.0
AP1S3,1.0,0.0,0.0,0.0,0.0,0.0
AP3D1,0.0,1.0,0.0,0.0,0.0,0.0
AP3S2,0.0,0.0,0.0,1.0,0.0,0.0
AP4B1,0.0,1.0,1.0,1.0,0.0,1.0
AP5B1,1.0,1.0,0.0,0.0,0.0,0.0
APCDD1,0.0,1.0,0.0,0.0,0.0,0.0
APEH,0.0,0.0,0.0,0.0,0.0,1.0
API5,0.0,1.0,0.0,0.0,0.0,0.0
APIP,0.0,0.0,0.0,1.0,0.0,0.0
APOA5,0.0,1.0,1.0,0.0,0.0,0.0
APOB,0.0,1.0,1.0,1.0,0.0,0.0
APOBEC2,0.0,0.0,0.0,1.0,0.0,0.0
APOBR,0.0,0.0,0.0,1.0,0.0,1.0
APOC1,0.0,1.0,1.0,1.0,0.0,0.0
APOC3,0.0,1.0,1.0,1.0,0.0,0.0
APOE,1.0,1.0,1.0,1.0,0.0,0.0
APOL1,0.0,0.0,0.0,1.0,0.0,0.0
APOL2,0.0,0.0,0.0,1.0,0.0,0.0
APOLD1,0.0,1.0,0.0,1.0,0.0,0.0
APP,0.0,1.0,0.0,1.0,0.0,0.0
APPL1,0.0,0.0,0.0,1.0,0.0,0.0
AQP1,0.0,1.0,0.0,0.0,0.0,0.0
AQP10,0.0,0.0,0.0,1.0,0.0,0.0
AQP2,1.0,0.0,0.0,0.0,0.0,0.0
AQP4,0.0,1.0,0.0,0.0,0.0,0.0
AQP5,1.0,0.0,0.0,0.0,0.0,0.0
AR,0.0,1.0,0.0,0.0,0.0,0.0
ARAP1,0.0,0.0,0.0,1.0,0.0,1.0
ARB2A,0.0,1.0,0.0,0.0,0.0,0.0
ARF1,0.0,1.0,0.0,0.0,0.0,0.0
ARF3,0.0,1.0,0.0,0.0,0.0,0.0
ARF5,0.0,0.0,0.0,1.0,0.0,0.0
ARG1,0.0,0.0,0.0,1.0,0.0,0.0
ARHGAP1,0.0,1.0,0.0,0.0,0.0,0.0
ARHGAP10,0.0,1.0,0.0,0.0,0.0,0.0
ARHGAP12,0.0,0.0,0.0,1.0,0.0,0.0
ARHGAP15,1.0,1.0,1.0,0.0,0.0,0.0
ARHGAP19,0.0,0.0,0.0,1.0,0.0,0.0
ARHGAP19-SLIT1,0.0,0.0,0.0,1.0,0.0,0.0
ARHGAP22,0.0,1.0,0.0,0.0,0.0,0.0
ARHGAP24,0.0,1.0,0.0,1.0,0.0,0.0
ARHGAP25,0.0,1.0,0.0,0.0,0.0,0.0
ARHGAP26,0.0,1.0,1.0,0.0,0.0,0.0
ARHGAP27,1.0,0.0,0.0,1.0,0.0,0.0
ARHGAP29,0.0,1.0,0.0,0.0,0.0,0.0
ARHGAP39,0.0,0.0,0.0,1.0,0.0,0.0
ARHGAP42,0.0,1.0,1.0,0.0,0.0,0.0
ARHGEF12,0.0,1.0,1.0,0.0,0.0,0.0
ARHGEF16,0.0,1.0,1.0,0.0,0.0,0.0
ARHGEF18,0.0,1.0,0.0,0.0,0.0,0.0
ARHGEF26,0.0,1.0,1.0,0.0,0.0,0.0
ARHGEF28,0.0,1.0,0.0,0.0,0.0,0.0
ARHGEF3,1.0,1.0,0.0,0.0,0.0,0.0
ARHGEF4,0.0,1.0,0.0,0.0,0.0,0.0
ARID1A,0.0,1.0,0.0,0.0,0.0,0.0
ARID1B,0.0,1.0,0.0,1.0,0.0,0.0
ARID3C,0.0,1.0,0.0,0.0,0.0,0.0
ARID4A,0.0,1.0,1.0,1.0,0.0,0.0
ARID5B,0.0,1.0,0.0,1.0,1.0,1.0
ARIH1,0.0,1.0,0.0,0.0,0.0,0.0
ARL13B,1.0,0.0,0.0,1.0,0.0,0.0
ARL14,0.0,1.0,0.0,0.0,0.0,0.0
ARL14EP,0.0,1.0,0.0,0.0,0.0,0.0
ARL15,0.0,1.0,0.0,1.0,0.0,0.0
ARL3,1.0,0.0,0.0,0.0,0.0,0.0
ARL4C,0.0,1.0,1.0,0.0,0.0,0.0
ARMC9,0.0,0.0,0.0,1.0,0.0,0.0
ARMH3,0.0,1.0,0.0,0.0,0.0,0.0
