genes,Asthma,cardiovascular_x,coronaryheart,DiabetesMellitus_x,cardiovascular_y,DiabetesMellitus_y
ABCC6,0.0,1.0,0.0,0.0,1.0,0.0
ABCC8,0.0,0.0,0.0,1.0,0.0,1.0
ABCC9,0.0,1.0,0.0,0.0,0.0,0.0
ABHD17C,0.0,1.0,0.0,0.0,0.0,0.0
ACADVL,0.0,1.0,0.0,0.0,1.0,0.0
ACE,0.0,1.0,0.0,0.0,0.0,0.0
ACO2,0.0,1.0,0.0,0.0,0.0,0.0
ACTA2,0.0,1.0,0.0,0.0,1.0,0.0
ACTC1,0.0,1.0,0.0,0.0,1.0,0.0
ACTN2,0.0,1.0,0.0,0.0,1.0,0.0
ACVRL1,0.0,1.0,0.0,0.0,1.0,0.0
ADA2,0.0,1.0,0.0,0.0,1.0,0.0
ADCY5,0.0,0.0,0.0,1.0,0.0,0.0
AGK,0.0,1.0,0.0,0.0,1.0,0.0
AGT,0.0,1.0,0.0,0.0,0.0,0.0
AGTR1,0.0,1.0,0.0,0.0,1.0,0.0
AKAP6,0.0,1.0,0.0,0.0,0.0,0.0
AKT1,0.0,1.0,0.0,0.0,0.0,0.0
ALPK3,0.0,1.0,0.0,0.0,0.0,0.0
ANG,0.0,0.0,0.0,1.0,0.0,1.0
ANK2,0.0,1.0,0.0,0.0,0.0,0.0
ANKH,0.0,0.0,0.0,1.0,0.0,0.0
AOPEP,0.0,1.0,0.0,0.0,0.0,0.0
APOB,0.0,1.0,0.0,0.0,0.0,0.0
APOE,0.0,1.0,1.0,0.0,1.0,0.0
APP,0.0,1.0,0.0,0.0,1.0,0.0
ARHGAP42,0.0,1.0,0.0,0.0,1.0,0.0
ARL15,0.0,0.0,0.0,1.0,0.0,0.0
ATP1A2,0.0,1.0,0.0,0.0,1.0,0.0
ATRIP,0.0,1.0,0.0,0.0,1.0,0.0
B3GAT3,0.0,1.0,0.0,0.0,1.0,0.0
B3GLCT,0.0,1.0,0.0,0.0,1.0,0.0
BACH2,1.0,0.0,0.0,1.0,0.0,1.0
BAG3,0.0,1.0,0.0,0.0,1.0,0.0
BCL2,0.0,0.0,0.0,1.0,0.0,1.0
BMPR2,0.0,1.0,0.0,0.0,1.0,0.0
BRAF,0.0,1.0,0.0,0.0,1.0,0.0
C12orf43,0.0,0.0,0.0,1.0,0.0,0.0
CABCOCO1,0.0,1.0,0.0,0.0,0.0,0.0
CACNA1A,0.0,1.0,0.0,0.0,1.0,0.0
CACNA1C,0.0,1.0,0.0,0.0,1.0,0.0
CACNA1D,0.0,1.0,0.0,0.0,0.0,0.0
CALM1,0.0,1.0,0.0,0.0,1.0,0.0
CALM2,0.0,1.0,0.0,0.0,1.0,0.0
CALM3,0.0,1.0,0.0,0.0,0.0,0.0
CASQ2,0.0,1.0,0.0,0.0,1.0,0.0
CAV3,0.0,1.0,0.0,0.0,1.0,0.0
CAVIN1,0.0,1.0,0.0,1.0,0.0,0.0
CBL,0.0,1.0,0.0,0.0,1.0,0.0
CCBE1,0.0,1.0,0.0,0.0,1.0,0.0
CCM2,0.0,1.0,0.0,0.0,0.0,0.0
CCND2,0.0,0.0,0.0,1.0,0.0,0.0
CD226,0.0,0.0,0.0,1.0,0.0,0.0
CD247,1.0,0.0,0.0,0.0,0.0,0.0
CDC42,0.0,1.0,0.0,0.0,0.0,0.0
CDK13,0.0,1.0,0.0,0.0,1.0,0.0
CDKN1C,0.0,1.0,0.0,0.0,1.0,0.0
CDKN2B,0.0,1.0,1.0,1.0,0.0,0.0
CELA2A,0.0,1.0,0.0,0.0,0.0,0.0
CELSR1,0.0,1.0,0.0,0.0,0.0,0.0
CEP85L,0.0,1.0,0.0,0.0,1.0,0.0
