Disease,perc LR,pval,LR
AD,26.82926829,0,target
ALS,12.90322581,0.0389,target
AnorexiaNervosa,10.29411765,0.1412,target
BipolarDisorder,10.73825503,0.0615,target
BrainAneurysm,12.5,0.101,target
EssentialTremor,9.523809524,0.2115,target
FrontotemporalDementia,32,0,target
MajorDepressiveDisorder,29.41176471,0,target
MigraineDisorder,15.25423729,0.0146,target
MS,19.29824561,0,target
NeuroticDisorder,16.66666667,0.0202,target
OCD,12.5,0.0619,target
PartialEpilepsy,24.19354839,0,target
PD,13.91304348,0.0075,target
RestlessLeg,0,0.5812,target
Schizophrenia,11.07594937,0.0076,target
TouretteSyndrome,13.79310345,0.0297,target
UnipolarDepression,9.844559585,0.0878,target
AD,10.97560976,0.003,source
ALS,1.612903226,0.7669,source
AnorexiaNervosa,4.411764706,0.3533,source
BipolarDisorder,4.697986577,0.3302,source
BrainAneurysm,0,0.6513,source
EssentialTremor,0,0.6016,source
FrontotemporalDementia,12,0.0222,source
MajorDepressiveDisorder,8.823529412,0.0581,source
MigraineDisorder,6.779661017,0.1147,source
MS,7.01754386,0.061,source
NeuroticDisorder,0,0.734,source
OCD,3.571428571,0.4399,source
PartialEpilepsy,8.064516129,0.0515,source
PD,6.086956522,0.1226,source
RestlessLeg,9.090909091,0.0767,source
Schizophrenia,3.164556962,0.8296,source
TouretteSyndrome,5.172413793,0.2485,source
UnipolarDepression,3.10880829,0.737,source
