,AD,ALS,AnorexiaNervosa,BipolarDisorder,BrainAneurysm,EssentialTremor,FrontotemporalDementia,IntracranialHemorrhage,LBD,MajorDepressiveDisorder,MigraineDisorder,MigraineWithAura,MS,NarcolepsyCataplexy,Narcolepsy,NeuroticDisorder,OCD,PartialEpilepsy,PD,ProgressiveSupranuclearPalsy,RestlessLeg,Schizophrenia,TouretteSyndrome,UnipolarDepression
AD,238.0,4.0,3.0,10.0,1.0,0.0,9.0,2.0,4.0,2.0,1.0,0.0,10.0,2.0,2.0,4.0,1.0,5.0,23.0,1.0,0.0,24.0,1.0,6.0
ALS,4.0,111.0,2.0,4.0,2.0,3.0,17.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,10.0,1.0,6.0
AnorexiaNervosa,3.0,2.0,237.0,202.0,13.0,0.0,2.0,0.0,0.0,31.0,3.0,0.0,3.0,0.0,0.0,13.0,181.0,3.0,9.0,0.0,1.0,222.0,189.0,202.0
BipolarDisorder,10.0,4.0,202.0,512.0,13.0,2.0,4.0,1.0,0.0,56.0,6.0,0.0,15.0,2.0,2.0,26.0,182.0,8.0,13.0,0.0,3.0,329.0,194.0,281.0
BrainAneurysm,1.0,2.0,13.0,13.0,77.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,2.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,15.0,9.0,11.0
EssentialTremor,0.0,3.0,0.0,2.0,0.0,41.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,8.0,1.0,4.0
FrontotemporalDementia,9.0,17.0,2.0,4.0,0.0,1.0,35.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,6.0,1.0,0.0,5.0,1.0,4.0
IntracranialHemorrhage,2.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LBD,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0
MajorDepressiveDisorder,2.0,1.0,31.0,56.0,4.0,0.0,2.0,0.0,0.0,105.0,2.0,0.0,4.0,0.0,0.0,12.0,29.0,1.0,5.0,0.0,1.0,64.0,29.0,80.0
MigraineDisorder,1.0,1.0,3.0,6.0,7.0,1.0,0.0,4.0,0.0,2.0,143.0,12.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,17.0,3.0,10.0
MigraineWithAura,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
MS,10.0,4.0,3.0,15.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,324.0,5.0,5.0,2.0,2.0,1.0,10.0,0.0,0.0,34.0,3.0,11.0
NarcolepsyCataplexy,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0
Narcolepsy,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0
NeuroticDisorder,4.0,0.0,13.0,26.0,1.0,1.0,2.0,0.0,1.0,12.0,0.0,0.0,2.0,0.0,0.0,83.0,14.0,0.0,6.0,2.0,0.0,35.0,13.0,49.0
OCD,1.0,1.0,181.0,182.0,9.0,0.0,1.0,0.0,0.0,29.0,3.0,0.0,2.0,0.0,0.0,14.0,192.0,3.0,5.0,0.0,0.0,182.0,182.0,183.0
PartialEpilepsy,5.0,1.0,3.0,8.0,0.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,74.0,6.0,0.0,0.0,7.0,3.0,4.0
PD,23.0,3.0,9.0,13.0,0.0,5.0,6.0,1.0,11.0,5.0,5.0,0.0,10.0,1.0,1.0,6.0,5.0,6.0,269.0,2.0,1.0,32.0,5.0,17.0
ProgressiveSupranuclearPalsy,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,21.0,0.0,1.0,0.0,1.0
RestlessLeg,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,1.0,0.0,4.0
Schizophrenia,24.0,10.0,222.0,329.0,15.0,8.0,5.0,0.0,0.0,64.0,17.0,2.0,34.0,6.0,6.0,35.0,182.0,7.0,32.0,1.0,1.0,972.0,201.0,303.0
TouretteSyndrome,1.0,1.0,189.0,194.0,9.0,1.0,1.0,0.0,0.0,29.0,3.0,0.0,3.0,0.0,0.0,13.0,182.0,3.0,5.0,0.0,0.0,201.0,210.0,190.0
UnipolarDepression,6.0,6.0,202.0,281.0,11.0,4.0,4.0,0.0,0.0,80.0,10.0,0.0,11.0,1.0,1.0,49.0,183.0,4.0,17.0,1.0,4.0,303.0,190.0,555.0
