"","X","X0","padj"
"1","AD/ALS",0.598401598401598,1
"2","AD/AnorexiaNervosa",0.325674325674326,0.750547959503183
"3","AD/BipolarDisorder",0.567432567432567,1
"4","AD/BrainAneurysm",1,1
"5","AD/EssentialTremor",1,1
"6","AD/FrontotemporalDementia",0.044955044955045,0.167759070198095
"7","AD/MajorDepressiveDisorder",0.759240759240759,1
"8","AD/MigraineDisorder",0.446553446553447,0.887307497697108
"9","AD/MS",0.608391608391608,1
"10","AD/NeuroticDisorder",0.434565434565435,0.874848835375151
"11","AD/OCD",0.328671328671329,0.750547959503183
"12","AD/PartialEpilepsy",0.675324675324675,1
"13","AD/PD",0.050949050949051,0.181283832446623
"14","AD/RestlessLeg",1,1
"15","AD/Schizophrenia",0.38961038961039,0.80967680967681
"16","AD/TouretteSyndrome",0.391608391608392,0.80967680967681
"17","AD/UnipolarDepression",0.352647352647353,0.772969887255601
"18","ALS/AD",0.598401598401598,1
"19","ALS/AnorexiaNervosa",1,1
"20","ALS/BipolarDisorder",0.256743256743257,0.643962594782267
"21","ALS/BrainAneurysm",1,1
"22","ALS/EssentialTremor",1,1
"23","ALS/FrontotemporalDementia",0.00899100899100899,0.0764235764235764
"24","ALS/MajorDepressiveDisorder",0.012987012987013,0.0764235764235764
"25","ALS/MigraineDisorder",1,1
"26","ALS/MS",1,1
"27","ALS/NeuroticDisorder",1,1
"28","ALS/OCD",1,1
"29","ALS/PartialEpilepsy",0.495504495504495,0.97195112579728
"30","ALS/PD",0.522477522477522,1
"31","ALS/RestlessLeg",1,1
"32","ALS/Schizophrenia",0.306693306693307,0.733188686313686
"33","ALS/TouretteSyndrome",1,1
"34","ALS/UnipolarDepression",0.021978021978022,0.0989010989010989
"35","AnorexiaNervosa/AD",0.325674325674326,0.750547959503183
"36","AnorexiaNervosa/ALS",1,1
"37","AnorexiaNervosa/BipolarDisorder",0.017982017982018,0.0887499597177017
"38","AnorexiaNervosa/BrainAneurysm",1,1
"39","AnorexiaNervosa/EssentialTremor",1,1
"40","AnorexiaNervosa/FrontotemporalDementia",0.363636363636364,0.783610755441741
"41","AnorexiaNervosa/MajorDepressiveDisorder",0.003996003996004,0.0719280719280719
"42","AnorexiaNervosa/MigraineDisorder",1,1
"43","AnorexiaNervosa/MS",0.606393606393606,1
"44","AnorexiaNervosa/NeuroticDisorder",0.012987012987013,0.0764235764235764
"45","AnorexiaNervosa/OCD",0.003996003996004,0.0719280719280719
"46","AnorexiaNervosa/PartialEpilepsy",0.0599400599400599,0.208427935700663
"47","AnorexiaNervosa/PD",0.266733266733267,0.658228867906287
"48","AnorexiaNervosa/RestlessLeg",0.001998001998002,0.0719280719280719
"49","AnorexiaNervosa/Schizophrenia",0.013986013986014,0.0764235764235764
"50","AnorexiaNervosa/TouretteSyndrome",0.002997002997003,0.0719280719280719
"51","AnorexiaNervosa/UnipolarDepression",0.00699300699300699,0.0719280719280719
"52","BipolarDisorder/AD",0.567432567432567,1
"53","BipolarDisorder/ALS",0.256743256743257,0.643962594782267
"54","BipolarDisorder/AnorexiaNervosa",0.017982017982018,0.0887499597177017
"55","BipolarDisorder/BrainAneurysm",1,1
"56","BipolarDisorder/EssentialTremor",1,1
"57","BipolarDisorder/FrontotemporalDementia",1,1
"58","BipolarDisorder/MajorDepressiveDisorder",0.01998001998002,0.0955294705294705
"59","BipolarDisorder/MigraineDisorder",1,1
"60","BipolarDisorder/MS",0.875124875124875,1
"61","BipolarDisorder/NeuroticDisorder",0.012987012987013,0.0764235764235764
"62","BipolarDisorder/OCD",0.00799200799200799,0.0719280719280719
"63","BipolarDisorder/PartialEpilepsy",0.0629370629370629,0.212656908309082
"64","BipolarDisorder/PD",0.115884115884116,0.347652347652348
"65","BipolarDisorder/RestlessLeg",0.0929070929070929,0.284295704295704
"66","BipolarDisorder/Schizophrenia",0.000999000999000999,0.0719280719280719
"67","BipolarDisorder/TouretteSyndrome",0.00699300699300699,0.0719280719280719
"68","BipolarDisorder/UnipolarDepression",0.012987012987013,0.0764235764235764
"69","BrainAneurysm/AD",1,1
"70","BrainAneurysm/ALS",1,1
"71","BrainAneurysm/AnorexiaNervosa",1,1
"72","BrainAneurysm/BipolarDisorder",1,1
"73","BrainAneurysm/EssentialTremor",1,1
"74","BrainAneurysm/FrontotemporalDementia",1,1
"75","BrainAneurysm/MajorDepressiveDisorder",1,1
"76","BrainAneurysm/MigraineDisorder",1,1
"77","BrainAneurysm/MS",1,1
"78","BrainAneurysm/NeuroticDisorder",1,1
"79","BrainAneurysm/OCD",1,1
"80","BrainAneurysm/PartialEpilepsy",1,1
"81","BrainAneurysm/PD",1,1
"82","BrainAneurysm/RestlessLeg",1,1
"83","BrainAneurysm/Schizophrenia",1,1
"84","BrainAneurysm/TouretteSyndrome",1,1
"85","BrainAneurysm/UnipolarDepression",1,1
"86","EssentialTremor/AD",1,1
"87","EssentialTremor/ALS",1,1
"88","EssentialTremor/AnorexiaNervosa",1,1
"89","EssentialTremor/BipolarDisorder",1,1
"90","EssentialTremor/BrainAneurysm",1,1
"91","EssentialTremor/FrontotemporalDementia",1,1
"92","EssentialTremor/MajorDepressiveDisorder",1,1
"93","EssentialTremor/MigraineDisorder",1,1
"94","EssentialTremor/MS",1,1
"95","EssentialTremor/NeuroticDisorder",0.043956043956044,0.167759070198095
"96","EssentialTremor/OCD",1,1
"97","EssentialTremor/PartialEpilepsy",0.150849150849151,0.419634910544001
"98","EssentialTremor/PD",1,1
"99","EssentialTremor/RestlessLeg",1,1
"100","EssentialTremor/Schizophrenia",0.245754245754246,0.626673326673327
"101","EssentialTremor/TouretteSyndrome",1,1
"102","EssentialTremor/UnipolarDepression",0.198801198801199,0.524423852010059
"103","FrontotemporalDementia/AD",0.044955044955045,0.167759070198095
"104","FrontotemporalDementia/ALS",0.00899100899100899,0.0764235764235764
"105","FrontotemporalDementia/AnorexiaNervosa",0.363636363636364,0.783610755441741
"106","FrontotemporalDementia/BipolarDisorder",1,1
"107","FrontotemporalDementia/BrainAneurysm",1,1
"108","FrontotemporalDementia/EssentialTremor",1,1
"109","FrontotemporalDementia/MajorDepressiveDisorder",0.017982017982018,0.0887499597177017
"110","FrontotemporalDementia/MigraineDisorder",1,1
"111","FrontotemporalDementia/MS",0.686313686313686,1
"112","FrontotemporalDementia/NeuroticDisorder",1,1
"113","FrontotemporalDementia/OCD",1,1
"114","FrontotemporalDementia/PartialEpilepsy",0.170829170829171,0.458541458541459
"115","FrontotemporalDementia/PD",0.140859140859141,0.399100899100899
"116","FrontotemporalDementia/RestlessLeg",0.036963036963037,0.14500883731653
"117","FrontotemporalDementia/Schizophrenia",0.837162837162837,1
"118","FrontotemporalDementia/TouretteSyndrome",1,1
"119","FrontotemporalDementia/UnipolarDepression",0.025974025974026,0.113543599257885
"120","MajorDepressiveDisorder/AD",0.759240759240759,1
"121","MajorDepressiveDisorder/ALS",0.012987012987013,0.0764235764235764
"122","MajorDepressiveDisorder/AnorexiaNervosa",0.003996003996004,0.0719280719280719
"123","MajorDepressiveDisorder/BipolarDisorder",0.01998001998002,0.0955294705294705
"124","MajorDepressiveDisorder/BrainAneurysm",1,1
"125","MajorDepressiveDisorder/EssentialTremor",1,1
"126","MajorDepressiveDisorder/FrontotemporalDementia",0.017982017982018,0.0887499597177017
"127","MajorDepressiveDisorder/MigraineDisorder",1,1
"128","MajorDepressiveDisorder/MS",0.7002997002997,1
"129","MajorDepressiveDisorder/NeuroticDisorder",0.011988011988012,0.0764235764235764
"130","MajorDepressiveDisorder/OCD",0.00999000999000999,0.0764235764235764
"131","MajorDepressiveDisorder/PartialEpilepsy",0.653346653346653,1
"132","MajorDepressiveDisorder/PD",0.663336663336663,1
"133","MajorDepressiveDisorder/RestlessLeg",0.002997002997003,0.0719280719280719
"134","MajorDepressiveDisorder/Schizophrenia",0.033966033966034,0.136757978863242
"135","MajorDepressiveDisorder/TouretteSyndrome",0.011988011988012,0.0764235764235764
"136","MajorDepressiveDisorder/UnipolarDepression",0.004995004995005,0.0719280719280719
"137","MigraineDisorder/AD",0.446553446553447,0.887307497697108
"138","MigraineDisorder/ALS",1,1
"139","MigraineDisorder/AnorexiaNervosa",1,1
"140","MigraineDisorder/BipolarDisorder",1,1
"141","MigraineDisorder/BrainAneurysm",1,1
"142","MigraineDisorder/EssentialTremor",1,1
"143","MigraineDisorder/FrontotemporalDementia",1,1
"144","MigraineDisorder/MajorDepressiveDisorder",1,1
"145","MigraineDisorder/MS",0.388611388611389,0.80967680967681
"146","MigraineDisorder/NeuroticDisorder",1,1
"147","MigraineDisorder/OCD",1,1
"148","MigraineDisorder/PartialEpilepsy",0.0779220779220779,0.248376623376623
"149","MigraineDisorder/PD",0.353646353646354,0.772969887255601
"150","MigraineDisorder/RestlessLeg",1,1
"151","MigraineDisorder/Schizophrenia",0.427572427572428,0.872247752247752
"152","MigraineDisorder/TouretteSyndrome",1,1
"153","MigraineDisorder/UnipolarDepression",0.68031968031968,1
"154","MS/AD",0.608391608391608,1
"155","MS/ALS",1,1
"156","MS/AnorexiaNervosa",0.606393606393606,1
"157","MS/BipolarDisorder",0.875124875124875,1
"158","MS/BrainAneurysm",1,1
"159","MS/EssentialTremor",1,1
"160","MS/FrontotemporalDementia",0.686313686313686,1
"161","MS/MajorDepressiveDisorder",0.7002997002997,1
"162","MS/MigraineDisorder",0.388611388611389,0.80967680967681
"163","MS/NeuroticDisorder",1,1
"164","MS/OCD",1,1
"165","MS/PartialEpilepsy",1,1
"166","MS/PD",0.118881118881119,0.349784830554061
"167","MS/RestlessLeg",0.0929070929070929,0.284295704295704
"168","MS/Schizophrenia",0.167832167832168,0.458541458541459
"169","MS/TouretteSyndrome",1,1
"170","MS/UnipolarDepression",0.716283716283716,1
"171","NeuroticDisorder/AD",0.434565434565435,0.874848835375151
"172","NeuroticDisorder/ALS",1,1
"173","NeuroticDisorder/AnorexiaNervosa",0.012987012987013,0.0764235764235764
"174","NeuroticDisorder/BipolarDisorder",0.012987012987013,0.0764235764235764
"175","NeuroticDisorder/BrainAneurysm",1,1
"176","NeuroticDisorder/EssentialTremor",0.043956043956044,0.167759070198095
"177","NeuroticDisorder/FrontotemporalDementia",1,1
"178","NeuroticDisorder/MajorDepressiveDisorder",0.011988011988012,0.0764235764235764
"179","NeuroticDisorder/MigraineDisorder",1,1
"180","NeuroticDisorder/MS",1,1
"181","NeuroticDisorder/OCD",0.004995004995005,0.0719280719280719
"182","NeuroticDisorder/PartialEpilepsy",1,1
"183","NeuroticDisorder/PD",0.333666333666334,0.750749250749251
"184","NeuroticDisorder/RestlessLeg",1,1
"185","NeuroticDisorder/Schizophrenia",0.030969030969031,0.128061128061128
"186","NeuroticDisorder/TouretteSyndrome",0.00799200799200799,0.0719280719280719
"187","NeuroticDisorder/UnipolarDepression",0.00599400599400599,0.0719280719280719
"188","OCD/AD",0.328671328671329,0.750547959503183
"189","OCD/ALS",1,1
"190","OCD/AnorexiaNervosa",0.003996003996004,0.0719280719280719
"191","OCD/BipolarDisorder",0.00799200799200799,0.0719280719280719
"192","OCD/BrainAneurysm",1,1
"193","OCD/EssentialTremor",1,1
"194","OCD/FrontotemporalDementia",1,1
"195","OCD/MajorDepressiveDisorder",0.00999000999000999,0.0764235764235764
"196","OCD/MigraineDisorder",1,1
