"","X","X0","padj"
"1","AD/ALS",0.928,1
"2","AD/AnorexiaNervosa",0.953,1
"3","AD/BipolarDisorder",0.999,1
"4","AD/BrainAneurysm",0.659,1
"5","AD/EssentialTremor",0.588,1
"6","AD/FrontotemporalDementia",0.016,0.185785714285714
"7","AD/MajorDepressiveDisorder",0.745,1
"8","AD/MigraineDisorder",0.923,1
"9","AD/MS",0.995,1
"10","AD/NeuroticDisorder",0.736,1
"11","AD/OCD",0.912,1
"12","AD/PartialEpilepsy",0.734,1
"13","AD/PD",0.844,1
"14","AD/RestlessLeg",0.36,1
"15","AD/Schizophrenia",1,1
"16","AD/TouretteSyndrome",0.912,1
"17","AD/UnipolarDepression",0.999,1
"18","ALS/AD",0.928,1
"19","ALS/AnorexiaNervosa",0.886,1
"20","ALS/BipolarDisorder",0.958,1
"21","ALS/BrainAneurysm",0.558,1
"22","ALS/EssentialTremor",0.489,1
"23","ALS/FrontotemporalDementia",0.003,0.051
"24","ALS/MajorDepressiveDisorder",0.292,1
"25","ALS/MigraineDisorder",0.868,1
"26","ALS/MS",0.972,1
"27","ALS/NeuroticDisorder",0.63,1
"28","ALS/OCD",0.836,1
"29","ALS/PartialEpilepsy",0.884,1
"30","ALS/PD",0.979,1
"31","ALS/RestlessLeg",0.29,1
"32","ALS/Schizophrenia",1,1
"33","ALS/TouretteSyndrome",0.844,1
"34","ALS/UnipolarDepression",0.991,1
"35","AnorexiaNervosa/AD",0.953,1
"36","AnorexiaNervosa/ALS",0.886,1
"37","AnorexiaNervosa/BipolarDisorder",0.052,0.4505
"38","AnorexiaNervosa/BrainAneurysm",0.587,1
"39","AnorexiaNervosa/EssentialTremor",0.518,1
"40","AnorexiaNervosa/FrontotemporalDementia",0.607,1
"41","AnorexiaNervosa/MajorDepressiveDisorder",0,0
"42","AnorexiaNervosa/MigraineDisorder",0.891,1
"43","AnorexiaNervosa/MS",0.982,1
"44","AnorexiaNervosa/NeuroticDisorder",0.277,1
"45","AnorexiaNervosa/OCD",0,0
"46","AnorexiaNervosa/PartialEpilepsy",0.376,1
"47","AnorexiaNervosa/PD",0.981,1
"48","AnorexiaNervosa/RestlessLeg",0.043,0.42075
"49","AnorexiaNervosa/Schizophrenia",0.53,1
"50","AnorexiaNervosa/TouretteSyndrome",0,0
"51","AnorexiaNervosa/UnipolarDepression",0.112,0.75888
"52","BipolarDisorder/AD",0.999,1
"53","BipolarDisorder/ALS",0.958,1
"54","BipolarDisorder/AnorexiaNervosa",0.052,0.4505
"55","BipolarDisorder/BrainAneurysm",0.859,1
"56","BipolarDisorder/EssentialTremor",0.816,1
"57","BipolarDisorder/FrontotemporalDementia",0.855,1
"58","BipolarDisorder/MajorDepressiveDisorder",0,0
"59","BipolarDisorder/MigraineDisorder",0.99,1
"60","BipolarDisorder/MS",1,1
"61","BipolarDisorder/NeuroticDisorder",0.406,1
"62","BipolarDisorder/OCD",0.017,0.185785714285714
"63","BipolarDisorder/PartialEpilepsy",0.699,1
"64","BipolarDisorder/PD",0.999,1
"65","BipolarDisorder/RestlessLeg",0.591,1
"66","BipolarDisorder/Schizophrenia",0.988,1
"67","BipolarDisorder/TouretteSyndrome",0.006,0.0918
"68","BipolarDisorder/UnipolarDepression",0.734,1
"69","BrainAneurysm/AD",0.659,1
"70","BrainAneurysm/ALS",0.558,1
"71","BrainAneurysm/AnorexiaNervosa",0.587,1
"72","BrainAneurysm/BipolarDisorder",0.859,1
"73","BrainAneurysm/EssentialTremor",0.226,1
"74","BrainAneurysm/FrontotemporalDementia",0.25,1
"75","BrainAneurysm/MajorDepressiveDisorder",0.348,1
"76","BrainAneurysm/MigraineDisorder",0.516,1
"77","BrainAneurysm/MS",0.784,1
"78","BrainAneurysm/NeuroticDisorder",0.292,1
"79","BrainAneurysm/OCD",0.504,1
"80","BrainAneurysm/PartialEpilepsy",0.574,1
"81","BrainAneurysm/PD",0.773,1
"82","BrainAneurysm/RestlessLeg",0.121,0.75888
"83","BrainAneurysm/Schizophrenia",0.987,1
"84","BrainAneurysm/TouretteSyndrome",0.534,1
"85","BrainAneurysm/UnipolarDepression",0.928,1
"86","EssentialTremor/AD",0.588,1
"87","EssentialTremor/ALS",0.489,1
"88","EssentialTremor/AnorexiaNervosa",0.518,1
"89","EssentialTremor/BipolarDisorder",0.816,1
"90","EssentialTremor/BrainAneurysm",0.226,1
"91","EssentialTremor/FrontotemporalDementia",0.243,1
"92","EssentialTremor/MajorDepressiveDisorder",0.31,1
"93","EssentialTremor/MigraineDisorder",0.468,1
"94","EssentialTremor/MS",0.735,1
"95","EssentialTremor/NeuroticDisorder",0.044,0.42075
"96","EssentialTremor/OCD",0.468,1
"97","EssentialTremor/PartialEpilepsy",0.48,1
"98","EssentialTremor/PD",0.744,1
"99","EssentialTremor/RestlessLeg",0.103,0.750428571428571
"100","EssentialTremor/Schizophrenia",0.871,1
"101","EssentialTremor/TouretteSyndrome",0.466,1
"102","EssentialTremor/UnipolarDepression",0.638,1
"103","FrontotemporalDementia/AD",0.016,0.185785714285714
"104","FrontotemporalDementia/ALS",0.003,0.051
"105","FrontotemporalDementia/AnorexiaNervosa",0.607,1
"106","FrontotemporalDementia/BipolarDisorder",0.855,1
"107","FrontotemporalDementia/BrainAneurysm",0.25,1
"108","FrontotemporalDementia/EssentialTremor",0.243,1
"109","FrontotemporalDementia/MajorDepressiveDisorder",0.058,0.467052631578947
"110","FrontotemporalDementia/MigraineDisorder",0.51,1
"111","FrontotemporalDementia/MS",0.773,1
