,AD,ALS,AnorexiaNervosa,BipolarDisorder,Epilepsy,MajorDepressiveDisorder,MigraineDisorder,MS,OCD,PD,RestlessLeg,SCZ,Tourette
AD,1.0,1.0,0.9230769230769231,1.0,0.9230769230769231,0.6923076923076923,0.8461538461538461,1.0,1.0,0.6153846153846154,0.9230769230769231,0.38461538461538464,0.9230769230769231
ALS,1.0,1.0,0.6923076923076923,0.8461538461538461,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.6923076923076923,0.6153846153846154,0.15384615384615385,0.6153846153846154,0.07692307692307693,0.6153846153846154
AnorexiaNervosa,0.9230769230769231,0.6923076923076923,1.0,0.15384615384615385,0.46153846153846156,0.15384615384615385,0.38461538461538464,0.8461538461538461,0.07692307692307693,0.23076923076923078,0.38461538461538464,0.07692307692307693,0.07692307692307693
BipolarDisorder,1.0,0.8461538461538461,0.15384615384615385,1.0,0.7692307692307693,0.38461538461538464,0.5384615384615384,0.9230769230769231,0.07692307692307693,0.46153846153846156,0.8461538461538461,0.15384615384615385,0.23076923076923078
Epilepsy,0.9230769230769231,0.38461538461538464,0.46153846153846156,0.7692307692307693,1.0,0.15384615384615385,0.23076923076923078,0.46153846153846156,0.7692307692307693,0.23076923076923078,0.46153846153846156,0.07692307692307693,0.6153846153846154
MajorDepressiveDisorder,0.6923076923076923,0.3076923076923077,0.15384615384615385,0.38461538461538464,0.15384615384615385,1.0,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.15384615384615385
MigraineDisorder,0.8461538461538461,0.3076923076923077,0.38461538461538464,0.5384615384615384,0.23076923076923078,0.07692307692307693,1.0,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.23076923076923078
MS,1.0,0.6923076923076923,0.8461538461538461,0.9230769230769231,0.46153846153846156,0.3076923076923077,0.6153846153846154,1.0,0.6923076923076923,0.3076923076923077,0.8461538461538461,0.07692307692307693,0.7692307692307693
OCD,1.0,0.6153846153846154,0.07692307692307693,0.07692307692307693,0.7692307692307693,0.07692307692307693,0.3076923076923077,0.6923076923076923,1.0,0.07692307692307693,0.5384615384615384,0.07692307692307693,0.07692307692307693
PD,0.6153846153846154,0.15384615384615385,0.23076923076923078,0.46153846153846156,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.07692307692307693,1.0,0.23076923076923078,0.07692307692307693,0.23076923076923078
RestlessLeg,0.9230769230769231,0.6153846153846154,0.38461538461538464,0.8461538461538461,0.46153846153846156,0.3076923076923077,0.3076923076923077,0.8461538461538461,0.5384615384615384,0.23076923076923078,1.0,0.07692307692307693,0.38461538461538464
SCZ,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693
Tourette,0.9230769230769231,0.6153846153846154,0.07692307692307693,0.23076923076923078,0.6153846153846154,0.15384615384615385,0.23076923076923078,0.7692307692307693,0.07692307692307693,0.23076923076923078,0.38461538461538464,0.07692307692307693,1.0
