,0
AD/ALS,0.71
AD/AnorexiaNervosa,0.9
AD/BipolarDisorder,0.99
AD/BrainAneurysm,0.88
AD/EssentialTremor,0.83
AD/FrontotemporalDementia,0.72
AD/MajorDepressiveDisorder,0.94
AD/MigraineDisorder,0.98
AD/MS,0.69
AD/NeuroticDisorder,0.81
AD/OCD,0.83
AD/PartialEpilepsy,0.83
AD/PD,0.27
AD/RestlessLeg,0.88
AD/Schizophrenia,0.14
AD/TouretteSyndrome,0.94
AD/UnipolarDepression,0.88
ALS/AD,0.71
ALS/AnorexiaNervosa,0.38
ALS/BipolarDisorder,0.96
ALS/BrainAneurysm,0.36
ALS/EssentialTremor,0.04
ALS/FrontotemporalDementia,0.0
ALS/MajorDepressiveDisorder,0.15
ALS/MigraineDisorder,0.83
ALS/MS,0.29
ALS/NeuroticDisorder,0.18
ALS/OCD,0.31
ALS/PartialEpilepsy,0.29
ALS/PD,0.0
ALS/RestlessLeg,0.21
ALS/Schizophrenia,0.0
ALS/TouretteSyndrome,0.64
ALS/UnipolarDepression,0.38
AnorexiaNervosa/AD,0.9
AnorexiaNervosa/ALS,0.38
AnorexiaNervosa/BipolarDisorder,0.41
AnorexiaNervosa/BrainAneurysm,0.8
AnorexiaNervosa/EssentialTremor,0.58
AnorexiaNervosa/FrontotemporalDementia,0.65
AnorexiaNervosa/MajorDepressiveDisorder,0.04
AnorexiaNervosa/MigraineDisorder,0.97
AnorexiaNervosa/MS,0.53
AnorexiaNervosa/NeuroticDisorder,0.16
AnorexiaNervosa/OCD,0.0
AnorexiaNervosa/PartialEpilepsy,0.57
AnorexiaNervosa/PD,0.14
AnorexiaNervosa/RestlessLeg,0.11
AnorexiaNervosa/Schizophrenia,0.0
AnorexiaNervosa/TouretteSyndrome,0.01
AnorexiaNervosa/UnipolarDepression,0.13
BipolarDisorder/AD,0.99
BipolarDisorder/ALS,0.96
BipolarDisorder/AnorexiaNervosa,0.41
BipolarDisorder/BrainAneurysm,1.0
BipolarDisorder/EssentialTremor,0.99
BipolarDisorder/FrontotemporalDementia,0.98
BipolarDisorder/MajorDepressiveDisorder,0.85
BipolarDisorder/MigraineDisorder,1.0
BipolarDisorder/MS,0.95
BipolarDisorder/NeuroticDisorder,0.87
BipolarDisorder/OCD,0.31
BipolarDisorder/PartialEpilepsy,0.95
BipolarDisorder/PD,0.77
BipolarDisorder/RestlessLeg,0.99
BipolarDisorder/Schizophrenia,0.19
BipolarDisorder/TouretteSyndrome,0.2
BipolarDisorder/UnipolarDepression,0.52
BrainAneurysm/AD,0.88
BrainAneurysm/ALS,0.36
BrainAneurysm/AnorexiaNervosa,0.8
BrainAneurysm/BipolarDisorder,1.0
BrainAneurysm/EssentialTremor,0.59
BrainAneurysm/FrontotemporalDementia,0.64
BrainAneurysm/MajorDepressiveDisorder,0.89
BrainAneurysm/MigraineDisorder,0.95
BrainAneurysm/MS,0.46
BrainAneurysm/NeuroticDisorder,0.63
BrainAneurysm/OCD,0.62
BrainAneurysm/PartialEpilepsy,0.67
BrainAneurysm/PD,0.04
BrainAneurysm/RestlessLeg,0.86
BrainAneurysm/Schizophrenia,0.02
BrainAneurysm/TouretteSyndrome,0.94
BrainAneurysm/UnipolarDepression,0.87
EssentialTremor/AD,0.83
EssentialTremor/ALS,0.04
EssentialTremor/AnorexiaNervosa,0.58
EssentialTremor/BipolarDisorder,0.99
EssentialTremor/BrainAneurysm,0.59
EssentialTremor/FrontotemporalDementia,0.38
EssentialTremor/MajorDepressiveDisorder,0.64
EssentialTremor/MigraineDisorder,0.97
EssentialTremor/MS,0.31
EssentialTremor/NeuroticDisorder,0.02
EssentialTremor/OCD,0.32
EssentialTremor/PartialEpilepsy,0.42
EssentialTremor/PD,0.01
EssentialTremor/RestlessLeg,0.27
EssentialTremor/Schizophrenia,0.0
EssentialTremor/TouretteSyndrome,0.83
EssentialTremor/UnipolarDepression,0.71
FrontotemporalDementia/AD,0.72
FrontotemporalDementia/ALS,0.0
FrontotemporalDementia/AnorexiaNervosa,0.65
