,0
AD/ALS,0.6153846153846154
AD/AnorexiaNervosa,0.3076923076923077
AD/BipolarDisorder,0.46153846153846156
AD/BrainAneurysm,1.0
AD/EssentialTremor,1.0
AD/FrontotemporalDementia,0.15384615384615385
AD/MajorDepressiveDisorder,0.7692307692307693
AD/MigraineDisorder,0.5384615384615384
AD/MS,0.7692307692307693
AD/NeuroticDisorder,0.6923076923076923
AD/OCD,0.3076923076923077
AD/PartialEpilepsy,0.8461538461538461
AD/PD,0.07692307692307693
AD/RestlessLeg,1.0
AD/Schizophrenia,0.38461538461538464
AD/TouretteSyndrome,0.3076923076923077
AD/UnipolarDepression,0.3076923076923077
ALS/AD,0.6153846153846154
ALS/AnorexiaNervosa,1.0
ALS/BipolarDisorder,0.3076923076923077
ALS/BrainAneurysm,1.0
ALS/EssentialTremor,1.0
ALS/FrontotemporalDementia,0.07692307692307693
ALS/MajorDepressiveDisorder,0.07692307692307693
ALS/MigraineDisorder,1.0
ALS/MS,1.0
ALS/NeuroticDisorder,1.0
ALS/OCD,1.0
ALS/PartialEpilepsy,0.5384615384615384
ALS/PD,0.6153846153846154
ALS/RestlessLeg,1.0
ALS/Schizophrenia,0.23076923076923078
ALS/TouretteSyndrome,1.0
ALS/UnipolarDepression,0.07692307692307693
AnorexiaNervosa/AD,0.3076923076923077
AnorexiaNervosa/ALS,1.0
AnorexiaNervosa/BipolarDisorder,0.07692307692307693
AnorexiaNervosa/BrainAneurysm,1.0
AnorexiaNervosa/EssentialTremor,1.0
AnorexiaNervosa/FrontotemporalDementia,0.15384615384615385
AnorexiaNervosa/MajorDepressiveDisorder,0.07692307692307693
AnorexiaNervosa/MigraineDisorder,1.0
AnorexiaNervosa/MS,0.6923076923076923
AnorexiaNervosa/NeuroticDisorder,0.07692307692307693
AnorexiaNervosa/OCD,0.07692307692307693
AnorexiaNervosa/PartialEpilepsy,0.15384615384615385
AnorexiaNervosa/PD,0.23076923076923078
AnorexiaNervosa/RestlessLeg,0.07692307692307693
AnorexiaNervosa/Schizophrenia,0.07692307692307693
AnorexiaNervosa/TouretteSyndrome,0.07692307692307693
AnorexiaNervosa/UnipolarDepression,0.07692307692307693
BipolarDisorder/AD,0.46153846153846156
BipolarDisorder/ALS,0.3076923076923077
BipolarDisorder/AnorexiaNervosa,0.07692307692307693
BipolarDisorder/BrainAneurysm,1.0
BipolarDisorder/EssentialTremor,1.0
BipolarDisorder/FrontotemporalDementia,1.0
BipolarDisorder/MajorDepressiveDisorder,0.15384615384615385
BipolarDisorder/MigraineDisorder,1.0
BipolarDisorder/MS,0.9230769230769231
BipolarDisorder/NeuroticDisorder,0.07692307692307693
BipolarDisorder/OCD,0.07692307692307693
BipolarDisorder/PartialEpilepsy,0.3076923076923077
BipolarDisorder/PD,0.15384615384615385
BipolarDisorder/RestlessLeg,0.15384615384615385
BipolarDisorder/Schizophrenia,0.07692307692307693
BipolarDisorder/TouretteSyndrome,0.07692307692307693
BipolarDisorder/UnipolarDepression,0.07692307692307693
BrainAneurysm/AD,1.0
BrainAneurysm/ALS,1.0
BrainAneurysm/AnorexiaNervosa,1.0
BrainAneurysm/BipolarDisorder,1.0
BrainAneurysm/EssentialTremor,1.0
BrainAneurysm/FrontotemporalDementia,1.0
BrainAneurysm/MajorDepressiveDisorder,1.0
BrainAneurysm/MigraineDisorder,1.0
BrainAneurysm/MS,1.0
BrainAneurysm/NeuroticDisorder,1.0
BrainAneurysm/OCD,1.0
BrainAneurysm/PartialEpilepsy,1.0
BrainAneurysm/PD,1.0
BrainAneurysm/RestlessLeg,1.0
BrainAneurysm/Schizophrenia,1.0
BrainAneurysm/TouretteSyndrome,1.0
BrainAneurysm/UnipolarDepression,1.0
EssentialTremor/AD,1.0
EssentialTremor/ALS,1.0
EssentialTremor/AnorexiaNervosa,1.0
EssentialTremor/BipolarDisorder,1.0
EssentialTremor/BrainAneurysm,1.0
EssentialTremor/FrontotemporalDementia,1.0
EssentialTremor/MajorDepressiveDisorder,1.0
EssentialTremor/MigraineDisorder,1.0
EssentialTremor/MS,1.0
EssentialTremor/NeuroticDisorder,0.07692307692307693
EssentialTremor/OCD,1.0
EssentialTremor/PartialEpilepsy,0.23076923076923078
EssentialTremor/PD,1.0
EssentialTremor/RestlessLeg,1.0
EssentialTremor/Schizophrenia,0.3076923076923077
EssentialTremor/TouretteSyndrome,1.0
EssentialTremor/UnipolarDepression,0.38461538461538464
FrontotemporalDementia/AD,0.15384615384615385
FrontotemporalDementia/ALS,0.07692307692307693
FrontotemporalDementia/AnorexiaNervosa,0.15384615384615385
FrontotemporalDementia/BipolarDisorder,1.0
FrontotemporalDementia/BrainAneurysm,1.0
FrontotemporalDementia/EssentialTremor,1.0
FrontotemporalDementia/MajorDepressiveDisorder,0.15384615384615385
FrontotemporalDementia/MigraineDisorder,1.0
FrontotemporalDementia/MS,0.9230769230769231
FrontotemporalDementia/NeuroticDisorder,1.0
FrontotemporalDementia/OCD,1.0
FrontotemporalDementia/PartialEpilepsy,0.15384615384615385
FrontotemporalDementia/PD,0.3076923076923077
FrontotemporalDementia/RestlessLeg,0.23076923076923078
FrontotemporalDementia/Schizophrenia,0.9230769230769231
FrontotemporalDementia/TouretteSyndrome,1.0
FrontotemporalDementia/UnipolarDepression,0.07692307692307693
MajorDepressiveDisorder/AD,0.7692307692307693
MajorDepressiveDisorder/ALS,0.07692307692307693
MajorDepressiveDisorder/AnorexiaNervosa,0.07692307692307693
MajorDepressiveDisorder/BipolarDisorder,0.15384615384615385
MajorDepressiveDisorder/BrainAneurysm,1.0
MajorDepressiveDisorder/EssentialTremor,1.0
MajorDepressiveDisorder/FrontotemporalDementia,0.15384615384615385
MajorDepressiveDisorder/MigraineDisorder,1.0
MajorDepressiveDisorder/MS,0.6153846153846154
MajorDepressiveDisorder/NeuroticDisorder,0.15384615384615385
MajorDepressiveDisorder/OCD,0.15384615384615385
MajorDepressiveDisorder/PartialEpilepsy,0.6153846153846154
MajorDepressiveDisorder/PD,0.6923076923076923
MajorDepressiveDisorder/RestlessLeg,0.07692307692307693
MajorDepressiveDisorder/Schizophrenia,0.15384615384615385
MajorDepressiveDisorder/TouretteSyndrome,0.07692307692307693
MajorDepressiveDisorder/UnipolarDepression,0.07692307692307693
MigraineDisorder/AD,0.5384615384615384
