,AD,ALS,AnorexiaNervosa,BipolarDisorder,Epilepsy,MajorDepressiveDisorder,MigraineDisorder,MS,OCD,PD,RestlessLeg,SCZ,Tourette
AD,0.07692307692307693,1.0,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.46153846153846156,1.0,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.23076923076923078
ALS,1.0,0.07692307692307693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AnorexiaNervosa,0.07692307692307693,1.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693,1.0,0.3076923076923077,0.07692307692307693,0.07692307692307693
BipolarDisorder,0.15384615384615385,1.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.07692307692307693,1.0,0.15384615384615385,0.07692307692307693,0.07692307692307693
Epilepsy,0.3076923076923077,1.0,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.38461538461538464,1.0,0.15384615384615385,0.07692307692307693,1.0,1.0,0.38461538461538464,0.07692307692307693
MajorDepressiveDisorder,0.07692307692307693,1.0,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693
MigraineDisorder,0.46153846153846156,1.0,0.07692307692307693,0.23076923076923078,1.0,0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693,1.0,0.3076923076923077,0.07692307692307693,0.07692307692307693
MS,1.0,1.0,1.0,0.23076923076923078,0.15384615384615385,1.0,1.0,0.07692307692307693,1.0,1.0,0.3076923076923077,1.0,1.0
OCD,0.23076923076923078,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693,1.0,0.15384615384615385,0.07692307692307693,0.07692307692307693
PD,0.15384615384615385,1.0,1.0,1.0,1.0,0.15384615384615385,1.0,1.0,1.0,0.07692307692307693,1.0,0.07692307692307693,1.0
RestlessLeg,0.23076923076923078,1.0,0.3076923076923077,0.15384615384615385,1.0,0.07692307692307693,0.3076923076923077,0.3076923076923077,0.15384615384615385,1.0,0.07692307692307693,0.23076923076923078,0.07692307692307693
SCZ,0.07692307692307693,1.0,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693
Tourette,0.23076923076923078,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
