,0
AD/ALS,0.928
AD/AnorexiaNervosa,0.953
AD/BipolarDisorder,0.999
AD/BrainAneurysm,0.659
AD/EssentialTremor,0.588
AD/FrontotemporalDementia,0.016
AD/MajorDepressiveDisorder,0.745
AD/MigraineDisorder,0.923
AD/MS,0.995
AD/NeuroticDisorder,0.736
AD/OCD,0.912
AD/PartialEpilepsy,0.734
AD/PD,0.844
AD/RestlessLeg,0.36
AD/Schizophrenia,1.0
AD/TouretteSyndrome,0.912
AD/UnipolarDepression,0.999
ALS/AD,0.928
ALS/AnorexiaNervosa,0.886
ALS/BipolarDisorder,0.958
ALS/BrainAneurysm,0.558
ALS/EssentialTremor,0.489
ALS/FrontotemporalDementia,0.003
ALS/MajorDepressiveDisorder,0.292
ALS/MigraineDisorder,0.868
ALS/MS,0.972
ALS/NeuroticDisorder,0.63
ALS/OCD,0.836
ALS/PartialEpilepsy,0.884
ALS/PD,0.979
ALS/RestlessLeg,0.29
ALS/Schizophrenia,1.0
ALS/TouretteSyndrome,0.844
ALS/UnipolarDepression,0.991
AnorexiaNervosa/AD,0.953
AnorexiaNervosa/ALS,0.886
AnorexiaNervosa/BipolarDisorder,0.052
AnorexiaNervosa/BrainAneurysm,0.587
AnorexiaNervosa/EssentialTremor,0.518
AnorexiaNervosa/FrontotemporalDementia,0.607
AnorexiaNervosa/MajorDepressiveDisorder,0.0
AnorexiaNervosa/MigraineDisorder,0.891
AnorexiaNervosa/MS,0.982
AnorexiaNervosa/NeuroticDisorder,0.277
AnorexiaNervosa/OCD,0.0
AnorexiaNervosa/PartialEpilepsy,0.376
AnorexiaNervosa/PD,0.981
AnorexiaNervosa/RestlessLeg,0.043
AnorexiaNervosa/Schizophrenia,0.53
AnorexiaNervosa/TouretteSyndrome,0.0
AnorexiaNervosa/UnipolarDepression,0.112
BipolarDisorder/AD,0.999
BipolarDisorder/ALS,0.958
BipolarDisorder/AnorexiaNervosa,0.052
BipolarDisorder/BrainAneurysm,0.859
BipolarDisorder/EssentialTremor,0.816
BipolarDisorder/FrontotemporalDementia,0.855
BipolarDisorder/MajorDepressiveDisorder,0.0
BipolarDisorder/MigraineDisorder,0.99
BipolarDisorder/MS,1.0
BipolarDisorder/NeuroticDisorder,0.406
BipolarDisorder/OCD,0.017
BipolarDisorder/PartialEpilepsy,0.699
BipolarDisorder/PD,0.999
BipolarDisorder/RestlessLeg,0.591
BipolarDisorder/Schizophrenia,0.988
BipolarDisorder/TouretteSyndrome,0.006
BipolarDisorder/UnipolarDepression,0.734
BrainAneurysm/AD,0.659
BrainAneurysm/ALS,0.558
BrainAneurysm/AnorexiaNervosa,0.587
BrainAneurysm/BipolarDisorder,0.859
BrainAneurysm/EssentialTremor,0.226
BrainAneurysm/FrontotemporalDementia,0.25
BrainAneurysm/MajorDepressiveDisorder,0.348
BrainAneurysm/MigraineDisorder,0.516
BrainAneurysm/MS,0.784
BrainAneurysm/NeuroticDisorder,0.292
BrainAneurysm/OCD,0.504
BrainAneurysm/PartialEpilepsy,0.574
BrainAneurysm/PD,0.773
BrainAneurysm/RestlessLeg,0.121
