,AD,ALS,AnorexiaNervosa,BipolarDisorder,Epilepsy,MajorDepressiveDisorder,MigraineDisorder,MS,OCD,PD,RestlessLeg,SCZ,Tourette
AD,0.0,5.177117690320901,5.637725979342324,6.260335826904681,5.558594821151727,5.809820696615838,5.56055416825885,6.0069029125601014,5.548837127446471,5.28762080702668,5.765072785616581,5.449880792548264,5.548837127446471
ALS,5.177117690320901,0.0,2.855149070150828,4.10990077016331,2.7696617592015387,3.7223219068071334,3.0042272773255574,3.687723413992831,2.6868710017504855,2.349497280264382,3.3032344925404367,2.928824512331296,2.6868710017504855
AnorexiaNervosa,5.637725979342324,2.855149070150828,0.0,3.8192321957590947,3.5982875601141364,3.734764577385843,3.762356576741978,4.363349296753627,1.6496644124173072,3.279675541877692,3.974849533718425,3.455032445031235,1.6496644124173072
BipolarDisorder,6.260335826904681,4.10990077016331,3.819232195759095,0.0,4.621599042966554,4.7421342290120725,4.769332901893582,5.167638639869069,3.5070444678393082,4.415929985222698,4.826721566840333,4.447588878880359,3.5070444678393082
Epilepsy,5.558594821151727,2.769661759201539,3.5982875601141364,4.621599042966554,0.0,4.293170096134872,3.711914409219232,4.048831262370791,3.463622454105423,3.2303261380905286,3.955606042869628,3.6650031429865098,3.463622454105423
MajorDepressiveDisorder,5.809820696615838,3.722321906807134,3.7347645773858424,4.7421342290120725,4.293170096134872,0.0,4.253810929153264,4.907425492293014,3.790498129949917,3.9498723135149194,4.491467322561217,3.9224413089018917,3.790498129949917
MigraineDisorder,5.56055416825885,3.0042272773255574,3.7623565767419778,4.769332901893584,3.711914409219232,4.253810929153263,0.0,4.348174955180209,3.6320723829357644,3.407135456944102,4.041951598590624,3.7214163746573106,3.6320723829357644
MS,6.006902912560103,3.687723413992831,4.363349296753627,5.16763863986907,4.048831262370791,4.907425492293014,4.348174955180209,0.0,4.254681222292481,3.998922851229448,4.429574905266771,4.341145573493073,4.254681222292481
OCD,5.548837127446471,2.6868710017504855,1.6496644124173072,3.5070444678393082,3.463622454105423,3.7904981299499174,3.632072382935764,4.254681222292482,0.0,3.1295826460713725,3.8441170002866913,3.2676211142222322,0.0
PD,5.287620807026681,2.349497280264382,3.2796755418776926,4.415929985222698,3.230326138090529,3.94987231351492,3.4071354569441015,3.9989228512294477,3.129582646071373,0.0,3.6720870374926897,2.0910132520576874,3.129582646071373
RestlessLeg,5.7650727856165815,3.303234492540437,3.974849533718425,4.826721566840333,3.955606042869628,4.491467322561217,4.041951598590624,4.429574905266771,3.844117000286692,3.672087037492691,0.0,3.9233365439280243,3.844117000286692
SCZ,5.449880792548262,2.928824512331296,3.455032445031235,4.447588878880359,3.66500314298651,3.9224413089018917,3.72141637465731,4.341145573493073,3.2676211142222327,2.0910132520576874,3.9233365439280243,0.0,3.2676211142222327
Tourette,5.548837127446471,2.6868710017504855,1.6496644124173072,3.5070444678393082,3.463622454105423,3.7904981299499174,3.632072382935764,4.254681222292482,0.0,3.1295826460713725,3.8441170002866913,3.2676211142222322,0.0
