,AD,ALS,AnorexiaNervosa,BipolarDisorder,Epilepsy,MajorDepressiveDisorder,MigraineDisorder,MS,OCD,PD,RestlessLeg,SCZ,Tourette
AD,284.0,0.0,2.0,7.0,2.0,39.0,22.0,6.0,2.0,24.0,11.0,41.0,2.0
ALS,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnorexiaNervosa,2.0,0.0,33.0,22.0,1.0,33.0,3.0,0.0,22.0,2.0,3.0,22.0,22.0
BipolarDisorder,7.0,0.0,22.0,93.0,3.0,39.0,4.0,8.0,22.0,2.0,10.0,34.0,22.0
Epilepsy,2.0,0.0,1.0,3.0,117.0,5.0,3.0,17.0,1.0,1.0,1.0,2.0,1.0
MajorDepressiveDisorder,39.0,0.0,33.0,39.0,5.0,337.0,39.0,7.0,22.0,24.0,22.0,104.0,22.0
MigraineDisorder,22.0,0.0,3.0,4.0,3.0,39.0,370.0,12.0,3.0,5.0,9.0,26.0,3.0
MS,6.0,0.0,0.0,8.0,17.0,7.0,12.0,403.0,0.0,9.0,24.0,11.0,0.0
OCD,2.0,0.0,22.0,22.0,1.0,22.0,3.0,0.0,22.0,2.0,3.0,22.0,22.0
PD,24.0,0.0,2.0,2.0,1.0,24.0,5.0,9.0,2.0,265.0,3.0,211.0,2.0
RestlessLeg,11.0,0.0,3.0,10.0,1.0,22.0,9.0,24.0,3.0,3.0,161.0,25.0,3.0
SCZ,41.0,0.0,22.0,34.0,2.0,104.0,26.0,11.0,22.0,211.0,25.0,503.0,22.0
Tourette,2.0,0.0,22.0,22.0,1.0,22.0,3.0,0.0,22.0,2.0,3.0,22.0,22.0
