"","CellType","annotLevel","p","fold_change","sd_from_mean","q","MajorCellType","testList"
"Astro_L1_FGFR3_MT1G","Astro_L1_FGFR3_MT1G",2,2e-04,2.41823049395229,5.46511325434095,0.018,"Astro","0.7 threshold"
"Endo_L2_5_CLDN5","Endo_L2_5_CLDN5",2,3e-04,2.71899518506593,4.65378800005319,0.018,"Endo","0.7 threshold"
"Astro_L1_6_FGFR3_ETNPPL","Astro_L1_6_FGFR3_ETNPPL",2,0.0006125,2.05047369599886,4.58681187958765,0.0245,"Astro","0.7 threshold"
"Micro_L1_6_C1QC","Micro_L1_6_C1QC",2,0.001,2.49869278745977,4.08149409381788,0.02575,"Micro","0.7 threshold"
"Oligo_L4_6_MOBP_COL18A1","Oligo_L4_6_MOBP_COL18A1",2,0.0011875,2.02373033911017,4.02316521182004,0.02575,"Oligo","0.7 threshold"
"Astro_L1_FGFR3_FOS","Astro_L1_FGFR3_FOS",2,0.0012875,2.17140034927146,4.15541275087525,0.02575,"Astro","0.7 threshold"
"Exc_L6_FEZF2_P4HA3","Exc_L6_FEZF2_P4HA3",2,0.0035375,2.32653155981746,4.7347509827007,0.056625,"Exc","0.7 threshold"
"Inh_L3_VIP_CBLN1","Inh_L3_VIP_CBLN1",2,0.003775,2.00688489327509,5.34353121675586,0.056625,"Inh","0.7 threshold"
"Inh_L2_4_VIP_DSEL","Inh_L2_4_VIP_DSEL",2,0.01015,1.85100753930808,4.00615011573579,0.1236,"Inh","0.7 threshold"
"OPC_L1_6_MYT1","OPC_L1_6_MYT1",2,0.0103,1.93852954349466,3.34456041649514,0.1236,"OPC","0.7 threshold"
"Inh_L1_4_VIP_CHRNA2","Inh_L1_4_VIP_CHRNA2",2,0.0125125,1.67585964067951,3.37176972542919,0.12478125,"Inh","0.7 threshold"
"Peri_L1_6_MUSTN1","Peri_L1_6_MUSTN1",2,0.012825,2.05633114820823,2.75883633640583,0.12478125,"Peri","0.7 threshold"
"Inh_L1_LAMP5_NDNF","Inh_L1_LAMP5_NDNF",2,0.0160125,1.33011167639252,2.66450083828392,0.12478125,"Inh","0.7 threshold"
"Inh_L1_PAX6_CA4","Inh_L1_PAX6_CA4",2,0.0160375,1.32290984180761,2.55912206225011,0.12478125,"Inh","0.7 threshold"
"Oligo_L4_6_OPALIN","Oligo_L4_6_OPALIN",2,0.0166125,1.74914702365658,2.66323694292835,0.12478125,"Oligo","0.7 threshold"
"VLMC_L1_3_CYP1B1","VLMC_L1_3_CYP1B1",2,0.0166375,1.99241709931142,2.56432384651196,0.12478125,"VLMC","0.7 threshold"
