,CellType,annotLevel,p,fold_change,sd_from_mean,q
Vascular_cells,Vascular_cells,1,1e-05,1.95746856297953,5.24739320676383,0.00017
OPC,OPC,1,2e-05,1.70222042430391,5.12094134271706,0.00017
Astrocyte,Astrocyte,1,0.00028,1.60231052613879,4.03237444574091,0.00158666666666667
Microglia,Microglia,1,0.00268,1.56831101876535,3.20726560235066,0.009792
Oligodendrocyte,Oligodendrocyte,1,0.00288,1.511337363603,3.2270732997865,0.009792
Glutamatergic_L5_6_IT_Car3,Glutamatergic_L5_6_IT_Car3,1,0.01757,1.27937461910402,2.3952620021754,0.0497816666666667
GABAergic_VIP,GABAergic_VIP,1,0.02161,1.26231582449025,2.30510435650336,0.0524814285714286
GABAergic_LAMP5,GABAergic_LAMP5,1,0.05879,1.17358322351933,1.66085551955241,0.12492875
Glutamatergic_L5_6_NP,Glutamatergic_L5_6_NP,1,0.11341,1.14613360778636,1.22750094985546,0.198968
GABAergic_PAX6,GABAergic_PAX6,1,0.11704,1.13489547759622,1.20661498882449,0.198968
GABAergic_SST,GABAergic_SST,1,0.33623,1.03512457796475,0.347626550818094,0.519628181818182
Glutamatergic_L6b,Glutamatergic_L6b,1,0.47401,0.996933391489882,-0.026491951521836,0.671514166666667
Glutamatergic_L6_CT,Glutamatergic_L6_CT,1,0.71076,0.944519322753853,-0.576728436423683,0.88546625
Glutamatergic_L4_IT,Glutamatergic_L4_IT,1,0.77434,0.917535949107433,-0.761840769404625,0.88546625
GABAergic_PVALB,GABAergic_PVALB,1,0.80679,0.908575042986918,-0.858224327960718,0.88546625
Glutamatergic_L5_ET,Glutamatergic_L5_ET,1,0.83338,0.870847197891426,-0.949017404298031,0.88546625
Glutamatergic_IT,Glutamatergic_IT,1,0.95917,0.847106532583052,-1.57145869627102,0.95917
