,CellType,annotLevel,p,fold_change,sd_from_mean,q
EndoMural,EndoMural,1,0,1.75581262800582,10.6380141734454,0
Micro,Micro,1,0,1.40388154113171,5.58619960238417,0
OPC,OPC,1,6e-05,1.2790877381331,4.39216080075171,0.00026
Astro,Astro,1,0.00012,1.29271667326223,4.30873330524039,0.00039
Inhib,Inhib,1,0.00038,1.20812853556523,3.84019354230658,0.000988
Excit_L2_3,Excit_L2_3,1,0.01256,1.10782477414372,2.25332335179864,0.0272133333333333
Oligo,Oligo,1,0.02602,1.10333902053634,2.00373680162024,0.0483228571428571
Excit_L3,Excit_L3,1,0.09926,1.05851228352393,1.28599063711312,0.146276
Excit_L6,Excit_L6,1,0.1055,1.06040812036653,1.24889033861491,0.146276
Excit_L5_6,Excit_L5_6,1,0.11252,1.05635033648223,1.21374810323265,0.146276
Excit_L5,Excit_L5,1,0.21558,1.03557432186226,0.779468561025928,0.254776363636364
Excit_L4,Excit_L4,1,0.78302,0.961147515735231,-0.793539859781597,0.78942
Excit_L3_4_5,Excit_L3_4_5,1,0.78942,0.957112694340347,-0.80413163891131,0.78942
