"","CellType","annotLevel","p","fold_change","sd_from_mean","q","MajorCellType","testList"
"EndoMural","EndoMural",1,0,1.73032366214047,9.23770580890751,0,"EndoMural","0.7 threshold"
"Micro","Micro",1,0,1.52562086997535,6.42075784061323,0,"Micro","0.7 threshold"
"OPC","OPC",1,0,1.4045626667768,5.68333052541188,0,"OPC","0.7 threshold"
"Astro","Astro",1,0,1.36773788696196,4.88220627794627,0,"Astro","0.7 threshold"
"Oligo","Oligo",1,0.0178,1.12705247071125,2.20364595691891,0.03965,"Oligo","0.7 threshold"
"Inhib","Inhib",1,0.0183,1.1369519981269,2.26210159971991,0.03965,"Inhib","0.7 threshold"
"Excit_L2_3","Excit_L2_3",1,0.0235,1.10731366521976,2.02583777270759,0.0436428571428571,"Excit","0.7 threshold"
"Excit_L5_6","Excit_L5_6",1,0.1566,1.05249589566337,1.0161088396278,0.251622222222222,"Excit","0.7 threshold"
"Excit_L3","Excit_L3",1,0.1742,1.04725813139104,0.931344406428509,0.251622222222222,"Excit","0.7 threshold"
"Excit_L6","Excit_L6",1,0.2753,1.03069657650662,0.573917406865101,0.35789,"Excit","0.7 threshold"
"Excit_L3_4_5","Excit_L3_4_5",1,0.5952,0.985145596868285,-0.251388291780541,0.67535,"Excit","0.7 threshold"
"Excit_L5","Excit_L5",1,0.6234,0.98315641498835,-0.330026684039286,0.67535,"Excit","0.7 threshold"
"Excit_L4","Excit_L4",1,0.7518,0.963361269482313,-0.673309600930115,0.7518,"Excit","0.7 threshold"
"EndoMural1","EndoMural",1,0,1.56788049641823,10.890017425822,0,"EndoMural","0.4 threshold"
"Micro1","Micro",1,0,1.34167420241556,6.33021418371188,0,"Micro","0.4 threshold"
"OPC1","OPC",1,0,1.27544993331827,5.91108383379662,0,"OPC","0.4 threshold"
"Astro1","Astro",1,0,1.25226901247543,5.1208164817494,0,"Astro","0.4 threshold"
"Excit_L2_31","Excit_L2_3",1,0.001,1.11012505579092,3.05027568232529,0.0026,"Excit","0.4 threshold"
"Inhib1","Inhib",1,0.0016,1.1263252983035,3.10891583927384,0.00346666666666667,"Inhib","0.4 threshold"
"Oligo1","Oligo",1,0.0727,1.05587106802118,1.44769089026055,0.135014285714286,"Oligo","0.4 threshold"
"Excit_L61","Excit_L6",1,0.3526,1.01340227333889,0.36864742160831,0.572975,"Excit","0.4 threshold"
"Excit_L31","Excit_L3",1,0.4967,0.999814139202461,-0.00543637998967665,0.717455555555556,"Excit","0.4 threshold"
"Excit_L5_61","Excit_L5_6",1,0.7078,0.980903328185843,-0.550560677296591,0.92014,"Excit","0.4 threshold"
"Excit_L3_4_51","Excit_L3_4_5",1,0.8761,0.953664068082101,-1.15597999689027,0.9455,"Excit","0.4 threshold"
"Excit_L51","Excit_L5",1,0.8787,0.958899382678453,-1.19038273876426,0.9455,"Excit","0.4 threshold"
"Excit_L41","Excit_L4",1,0.9455,0.941652052707024,-1.59603346507612,0.9455,"Excit","0.4 threshold"
"EndoMural2","EndoMural",1,0,1.63037514683405,10.1836930994103,0,"EndoMural","0.55 threshold"
"OPC2","OPC",1,0,1.38305048110746,6.93259623248862,0,"OPC","0.55 threshold"
"Astro2","Astro",1,0,1.3177095515358,5.36930272373398,0,"Astro","0.55 threshold"
"Micro2","Micro",1,0,1.29836269075376,4.68616914813364,0,"Micro","0.55 threshold"
"Inhib2","Inhib",1,4e-05,1.20828537029031,4.38339411404119,0.000104,"Inhib","0.55 threshold"
"Excit_L2_32","Excit_L2_3",1,6e-05,1.1595137035979,3.80187541783889,0.00013,"Excit","0.55 threshold"
"Excit_L62","Excit_L6",1,0.02362,1.08580516207547,2.02397169073962,0.0438657142857143,"Excit","0.55 threshold"
"Oligo2","Oligo",1,0.03266,1.08523421146033,1.88783445948782,0.0530725,"Oligo","0.55 threshold"
"Excit_L32","Excit_L3",1,0.05284,1.06496815038797,1.63370148601621,0.0763244444444444,"Excit","0.55 threshold"
"Excit_L5_62","Excit_L5_6",1,0.12776,1.04635694925082,1.14223011970464,0.166088,"Excit","0.55 threshold"
"Excit_L52","Excit_L5",1,0.30816,1.02017901889311,0.502417783815797,0.364189090909091,"Excit","0.55 threshold"
"Excit_L3_4_52","Excit_L3_4_5",1,0.54402,0.994584059412873,-0.116300310936729,0.589355,"Excit","0.55 threshold"
"Excit_L42","Excit_L4",1,0.68988,0.97851841558815,-0.503775313592072,0.68988,"Excit","0.55 threshold"
