gene,AD,BipolarDisorder,MajorDepressiveDisorder,MigraineDisorder,MS,PD,RestlessLeg,SCZ,Empty
LILRB2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JAG1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
ESR1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
FES,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
STK39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
PLCG2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PTGER4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
PLXNA2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
IL2RA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CD86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
NPNT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
LRFN5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
SEMA6D,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
CAMK2D,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
IL5RA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
TREM2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ATP2B1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
CD58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
AKT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
PLK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
GRN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PTK2B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IL1RAPL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
PTK2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
APP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CALCA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
FYN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
CTSB,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
VRK2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
ITGB5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
IL12A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CD33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PRKD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
NECTIN2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADCY2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CD40,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
SNCA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
ANXA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
ERBB4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
PTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
PLCE1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
PILRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CNTN1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
TNFSF14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
TNFRSF1A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
INPP5D,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FGF5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
CR1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CD5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
EPHA1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GRIN2A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
DCC,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
PTPRD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
NPR3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
CD38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
LRP1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
APOE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CNTN4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
IL34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
IL7R,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
MAP2K5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
ADCYAP1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
GRM5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
GRIA1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
TRPM3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
EPHA4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
TLR4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
EFNA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
CNTNAP2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
