gene,AD,ALS,BipolarDisorder,MigraineDisorder,PartialEpilepsy,PD,Schizophrenia,UnipolarDepression,Empty
PLA2G6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
TUBA4A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
APOE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCN2A,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
SCN9A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
SCN1A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
APP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RELN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
TBK1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ATM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
GRIN2A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
NOTCH3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
ADCY2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
UNC5C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CR1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
VRK2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
GRIA1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
STK39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
TLR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
PRKD1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
PSEN1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CNTN4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
