gene,AD,BipolarDisorder,MajorDepressiveDisorder,MigraineDisorder,PD,RestlessLeg,SCZ,Empty
SCN2A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
TREM2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADCY2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
STK39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
APOE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ANXA1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
CNTN4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
APP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CR1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
VRK2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
GRIN2A,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
DCC,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
TLR4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
GRIA1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
