,sample_id,bayesSpace_harmony_9,All,layer of top network-expressing spots per sample (%)
0,Br3942_post,SpD7 ~ L6,274,33.91089108910891
1,Br6432_post,SpD5 ~ L3,208,36.68430335097002
2,Br3942_post,SpD4 ~ L5,206,25.495049504950494
3,Br3942_post,SpD8 ~ L4,165,20.42079207920792
4,Br3942_ant,SpD7 ~ L6,157,40.885416666666664
5,Br6522_mid,SpD4 ~ L5,150,38.56041131105398
6,Br6432_mid,SpD7 ~ L6,139,30.684326710816777
7,Br6432_post,SpD7 ~ L6,132,23.280423280423282
8,Br3942_post,SpD5 ~ L3,127,15.717821782178218
9,Br6522_mid,SpD5 ~ L3,111,28.53470437017995
10,Br6423_post,SpD7 ~ L6,107,28.99728997289973
11,Br6423_post,SpD4 ~ L5,99,26.829268292682926
12,Br3942_ant,SpD5 ~ L3,91,23.697916666666668
13,Br8667_mid,SpD7 ~ L6,90,32.72727272727273
14,Br6522_ant,SpD4 ~ L5,77,30.31496062992126
15,Br6432_mid,SpD5 ~ L3,76,16.777041942604857
16,Br6423_post,SpD8 ~ L4,75,20.32520325203252
17,Br6522_ant,SpD7 ~ L6,72,28.346456692913385
18,Br6423_post,SpD5 ~ L3,71,19.241192411924118
19,Br6432_mid,SpD8 ~ L4,71,15.673289183222957
20,Br6432_post,SpD3 ~ L2,69,12.16931216931217
21,Br6432_mid,SpD3 ~ L2,66,14.56953642384106
22,Br6432_post,SpD8 ~ L4,65,11.46384479717813
23,Br6432_post,SpD4 ~ L5,63,11.11111111111111
24,Br6432_mid,SpD4 ~ L5,62,13.686534216335541
25,Br3942_ant,SpD8 ~ L4,62,16.145833333333332
26,Br3942_ant,SpD4 ~ L5,59,15.364583333333334
27,Br6522_mid,SpD7 ~ L6,55,14.138817480719794
28,Br6522_ant,SpD8 ~ L4,53,20.866141732283463
29,Br8667_mid,SpD4 ~ L5,52,18.90909090909091
30,Br6423_ant,SpD7 ~ L6,43,32.82442748091603
31,Br8667_mid,SpD8 ~ L4,42,15.272727272727273
32,Br6522_mid,SpD8 ~ L4,41,10.539845758354756
33,Br6423_ant,SpD4 ~ L5,38,29.00763358778626
34,Br6522_ant,SpD5 ~ L3,37,14.566929133858268
35,Br6522_post,SpD7 ~ L6,37,31.092436974789916
36,Br8667_mid,SpD5 ~ L3,34,12.363636363636363
37,Br6522_post,SpD5 ~ L3,34,28.571428571428573
38,Br8667_ant,SpD8 ~ L4,33,30.275229357798164
39,Br6423_ant,SpD5 ~ L3,32,24.427480916030536
40,Br8667_mid,SpD3 ~ L2,32,11.636363636363637
41,Br8667_ant,SpD4 ~ L5,31,28.440366972477065
42,Br2720_post,SpD8 ~ L4,27,39.705882352941174
43,Br6522_mid,SpD3 ~ L2,25,6.426735218508997
44,Br8667_mid,SpD9 ~ WM,25,9.090909090909092
45,Br6471_ant,SpD7 ~ L6,24,75.0
46,Br3942_mid,SpD4 ~ L5,22,40.74074074074074
47,Br3942_mid,SpD7 ~ L6,20,37.03703703703704
48,Br8325_ant,SpD7 ~ L6,19,52.77777777777778
49,Br3942_post,SpD9 ~ WM,18,2.227722772277228
50,Br8667_ant,SpD5 ~ L3,17,15.596330275229358
51,Br6432_post,SpD6 ~ WM,17,2.998236331569665
52,Br6471_mid,SpD3 ~ L2,16,26.229508196721312
53,Br6522_post,SpD3 ~ L2,16,13.445378151260504
54,Br8667_ant,SpD3 ~ L2,16,14.678899082568808
55,Br6432_mid,SpD9 ~ WM,16,3.532008830022075
56,Br6522_ant,SpD3 ~ L2,15,5.905511811023622
57,Br6423_ant,SpD8 ~ L4,15,11.450381679389313
58,Br2720_post,SpD4 ~ L5,15,22.058823529411764
59,Br6471_mid,SpD7 ~ L6,14,22.950819672131146
60,Br6423_post,SpD3 ~ L2,14,3.794037940379404
61,Br2720_post,SpD7 ~ L6,13,19.11764705882353
62,Br6522_post,SpD8 ~ L4,13,10.92436974789916
63,Br6471_mid,SpD4 ~ L5,12,19.672131147540984
64,Br6471_post,SpD4 ~ L5,11,42.30769230769231
65,Br6432_mid,SpD2 ~ L1,11,2.4282560706401766
66,Br6423_mid,SpD3 ~ L2,10,35.714285714285715
67,Br2743_mid,SpD7 ~ L6,10,28.571428571428573
68,Br3942_post,SpD3 ~ L2,10,1.2376237623762376
69,Br6471_post,SpD7 ~ L6,10,38.46153846153846
70,Br6471_mid,SpD5 ~ L3,10,16.39344262295082
71,Br2743_ant,SpD7 ~ L6,10,52.63157894736842
72,Br2743_mid,SpD8 ~ L4,10,28.571428571428573
73,Br6423_mid,SpD8 ~ L4,10,35.714285714285715
74,Br8667_post,SpD7 ~ L6,10,37.03703703703704
75,Br2743_mid,SpD4 ~ L5,9,25.714285714285715
76,Br6522_post,SpD4 ~ L5,9,7.563025210084033
77,Br2743_post,SpD8 ~ L4,9,40.90909090909091
78,Br2743_post,SpD7 ~ L6,9,40.90909090909091
79,Br6522_post,SpD9 ~ WM,9,7.563025210084033
80,Br6471_mid,SpD8 ~ L4,8,13.114754098360656
81,Br2720_post,SpD5 ~ L3,7,10.294117647058824
82,Br3942_mid,SpD5 ~ L3,7,12.962962962962964
83,Br3942_ant,SpD3 ~ L2,7,1.8229166666666667
84,Br8667_post,SpD3 ~ L2,7,25.925925925925927
85,Br8325_ant,SpD4 ~ L5,6,16.666666666666668
86,Br2720_post,SpD3 ~ L2,6,8.823529411764707
87,Br6432_mid,SpD6 ~ WM,6,1.3245033112582782
88,Br6432_mid,SpD1 ~ L1,6,1.3245033112582782
89,Br2743_ant,SpD4 ~ L5,6,31.57894736842105
90,Br6432_post,SpD9 ~ WM,6,1.0582010582010581
91,Br6522_mid,SpD9 ~ WM,5,1.2853470437017995
92,Br3942_post,SpD6 ~ WM,5,0.6188118811881188
93,Br6423_mid,SpD5 ~ L3,5,17.857142857142858
94,Br2720_mid,SpD7 ~ L6,5,45.45454545454545
95,Br3942_mid,SpD8 ~ L4,5,9.25925925925926
96,Br2720_mid,SpD8 ~ L4,5,45.45454545454545
97,Br8325_ant,SpD5 ~ L3,4,11.11111111111111
98,Br8667_ant,SpD7 ~ L6,4,3.669724770642202
99,Br8667_ant,SpD6 ~ WM,4,3.669724770642202
100,Br8667_ant,SpD9 ~ WM,4,3.669724770642202
101,Br8667_post,SpD8 ~ L4,4,14.814814814814815
102,Br6432_post,SpD1 ~ L1,4,0.7054673721340388
103,Br3942_ant,SpD9 ~ WM,4,1.0416666666666667
104,Br3942_ant,SpD6 ~ WM,4,1.0416666666666667
105,Br2743_post,SpD4 ~ L5,4,18.181818181818183
106,Br6471_ant,SpD4 ~ L5,4,12.5
107,Br8492_ant,SpD8 ~ L4,3,42.857142857142854
108,Br3942_post,SpD1 ~ L1,3,0.3712871287128713
109,Br8492_ant,SpD5 ~ L3,3,42.857142857142854
