,Astro,EndoMural,Excit_L2_3,Excit_L3,Excit_L3_4_5,Excit_L4,Excit_L5,Excit_L5_6,Excit_L6,Inhib,Micro,OPC,Oligo
Astro,0.0,0.057925223802001054,0.013164823591363875,0.042127435492364404,0.007898894154818325,0.6924697209057399,0.866245392311743,0.0052659294365455505,0.007898894154818325,0.0631911532385466,0.01579778830963665,0.0026329647182727752,0.057925223802001054
EndoMural,0.057925223802001054,0.0,0.013164823591363875,0.07635597682991048,0.01579778830963665,1.1321748288572933,1.416535018430753,0.0,0.021063717746182202,0.09215376513954712,0.034228541337546076,0.018430753027909426,0.129015271195366
Excit_L2_3,0.013164823591363875,0.013164823591363875,0.0,0.0,0.0,0.0,0.0052659294365455505,0.0,0.0,0.0052659294365455505,0.0026329647182727752,0.0,0.0026329647182727752
Excit_L3,0.042127435492364404,0.07635597682991048,0.0,0.0,0.007898894154818325,5.052659294365455,5.42654028436019,0.0737230121116377,0.018430753027909426,0.17640863612427593,0.013164823591363875,0.0052659294365455505,0.0026329647182727752
Excit_L3_4_5,0.007898894154818325,0.01579778830963665,0.0,0.007898894154818325,0.0,4.971037388098999,4.971037388098999,0.0,0.0026329647182727752,0.0026329647182727752,0.007898894154818325,0.0,0.034228541337546076
Excit_L4,0.6924697209057399,1.1321748288572933,0.0,5.052659294365455,4.971037388098999,0.0,15.481832543443918,0.4370721432332807,0.4028436018957346,1.8799368088467616,0.20537124802527648,0.13164823591363875,0.7925223802001052
Excit_L5,0.866245392311743,1.416535018430753,0.0052659294365455505,5.42654028436019,4.971037388098999,15.481832543443918,0.0,0.5292259083728278,0.48973143759873616,2.2538177988414954,0.2738283307003686,0.1579778830963665,1.0558188520273828
Excit_L5_6,0.0052659294365455505,0.0,0.0,0.0737230121116377,0.0,0.4370721432332807,0.5292259083728278,0.0,0.010531858873091101,0.0,0.0,0.0,0.0026329647182727752
Excit_L6,0.007898894154818325,0.021063717746182202,0.0,0.018430753027909426,0.0026329647182727752,0.4028436018957346,0.48973143759873616,0.010531858873091101,0.0,0.007898894154818325,0.0026329647182727752,0.0026329647182727752,0.06582411795681938
Inhib,0.0631911532385466,0.09215376513954712,0.0052659294365455505,0.17640863612427593,0.0026329647182727752,1.8799368088467616,2.2538177988414954,0.0,0.007898894154818325,0.0,0.018430753027909426,0.013164823591363875,0.06845708267509215
Micro,0.01579778830963665,0.034228541337546076,0.0026329647182727752,0.013164823591363875,0.007898894154818325,0.20537124802527648,0.2738283307003686,0.0,0.0026329647182727752,0.018430753027909426,0.0,0.010531858873091101,0.09478672985781991
OPC,0.0026329647182727752,0.018430753027909426,0.0,0.0052659294365455505,0.0,0.13164823591363875,0.1579778830963665,0.0,0.0026329647182727752,0.013164823591363875,0.010531858873091101,0.0,0.047393364928909956
Oligo,0.057925223802001054,0.129015271195366,0.0026329647182727752,0.0026329647182727752,0.034228541337546076,0.7925223802001052,1.0558188520273828,0.0026329647182727752,0.06582411795681938,0.06845708267509215,0.09478672985781991,0.047393364928909956,0.0
