,Astro,EndoMural,Excit_L2_3,Excit_L3,Excit_L3_4_5,Excit_L4,Excit_L5,Excit_L5_6,Excit_L6,Inhib,Micro,OPC,Oligo
Astro,0.0,22.0,5.0,16.0,3.0,263.0,329.0,2.0,3.0,24.0,6.0,1.0,22.0
EndoMural,22.0,0.0,5.0,29.0,6.0,430.0,538.0,0.0,8.0,35.0,13.0,7.0,49.0
Excit_L2_3,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0
Excit_L3,16.0,29.0,0.0,0.0,3.0,1919.0,2061.0,28.0,7.0,67.0,5.0,2.0,1.0
Excit_L3_4_5,3.0,6.0,0.0,3.0,0.0,1888.0,1888.0,0.0,1.0,1.0,3.0,0.0,13.0
Excit_L4,263.0,430.0,0.0,1919.0,1888.0,0.0,5880.0,166.0,153.0,714.0,78.0,50.0,301.0
Excit_L5,329.0,538.0,2.0,2061.0,1888.0,5880.0,0.0,201.0,186.0,856.0,104.0,60.0,401.0
Excit_L5_6,2.0,0.0,0.0,28.0,0.0,166.0,201.0,0.0,4.0,0.0,0.0,0.0,1.0
Excit_L6,3.0,8.0,0.0,7.0,1.0,153.0,186.0,4.0,0.0,3.0,1.0,1.0,25.0
Inhib,24.0,35.0,2.0,67.0,1.0,714.0,856.0,0.0,3.0,0.0,7.0,5.0,26.0
Micro,6.0,13.0,1.0,5.0,3.0,78.0,104.0,0.0,1.0,7.0,0.0,4.0,36.0
OPC,1.0,7.0,0.0,2.0,0.0,50.0,60.0,0.0,1.0,5.0,4.0,0.0,18.0
Oligo,22.0,49.0,1.0,1.0,13.0,301.0,401.0,1.0,25.0,26.0,36.0,18.0,0.0
