,Astro,EndoMural,Excit_L2_3,Excit_L3,Excit_L3_4_5,Excit_L4,Excit_L5,Excit_L5_6,Excit_L6,Inhib,Micro,OPC,Oligo
Astro,0.0,8.662064431295201,8.333333333333332,0.01643655489809336,0.7067718606180144,0.26298487836949375,1.314924391847469,0.0,0.0,0.04930966469428008,0.591715976331361,0.5424063116370809,0.5259697567389875
EndoMural,8.662064431295201,0.0,8.349769888231426,0.01643655489809336,0.46022353714661407,0.11505588428665352,1.051939513477975,0.0,0.01643655489809336,0.06574621959237344,0.31229454306377386,0.09861932938856016,0.2794214332675871
Excit_L2_3,8.333333333333332,8.349769888231426,0.0,0.0,0.04930966469428008,0.01643655489809336,0.0821827744904668,0.0,0.0,0.03287310979618672,0.03287310979618672,0.01643655489809336,0.01643655489809336
Excit_L3,0.01643655489809336,0.01643655489809336,0.0,0.0,0.01643655489809336,0.04930966469428008,0.04930966469428008,0.0,0.0,0.0,0.01643655489809336,0.0,0.0
Excit_L3_4_5,0.7067718606180144,0.46022353714661407,0.04930966469428008,0.01643655489809336,0.0,1.9559500328731099,4.174884944115713,0.0,0.01643655489809336,0.18080210387902695,0.641025641025641,0.39447731755424065,1.0683760683760684
Excit_L4,0.26298487836949375,0.11505588428665352,0.01643655489809336,0.04930966469428008,1.9559500328731099,0.0,2.7942143326758715,0.0,0.0,0.14792899408284024,0.11505588428665352,0.0821827744904668,0.31229454306377386
Excit_L5,1.314924391847469,1.051939513477975,0.0821827744904668,0.04930966469428008,4.174884944115713,2.7942143326758715,0.0,0.0,0.04930966469428008,0.39447731755424065,1.2491781722550954,0.7560815253122946,1.824457593688363
Excit_L5_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excit_L6,0.0,0.01643655489809336,0.0,0.0,0.01643655489809336,0.0,0.04930966469428008,0.0,0.0,0.0,0.0,0.0,0.01643655489809336
Inhib,0.04930966469428008,0.06574621959237344,0.03287310979618672,0.0,0.18080210387902695,0.14792899408284024,0.39447731755424065,0.0,0.0,0.0,0.03287310979618672,0.04930966469428008,0.13149243918474687
Micro,0.591715976331361,0.31229454306377386,0.03287310979618672,0.01643655489809336,0.641025641025641,0.11505588428665352,1.2491781722550954,0.0,0.0,0.03287310979618672,0.0,0.3780407626561473,0.641025641025641
OPC,0.5424063116370809,0.09861932938856016,0.01643655489809336,0.0,0.39447731755424065,0.0821827744904668,0.7560815253122946,0.0,0.0,0.04930966469428008,0.3780407626561473,0.0,0.4437869822485207
Oligo,0.5259697567389875,0.2794214332675871,0.01643655489809336,0.0,1.0683760683760684,0.31229454306377386,1.824457593688363,0.0,0.01643655489809336,0.13149243918474687,0.641025641025641,0.4437869822485207,0.0
