,Astro,EndoMural,Excit_L2_3,Excit_L3,Excit_L3_4_5,Excit_L4,Excit_L5,Excit_L5_6,Excit_L6,Inhib,Micro,OPC,Oligo
Astro,0.0,527.0,507.0,1.0,43.0,16.0,80.0,0.0,0.0,3.0,36.0,33.0,32.0
EndoMural,527.0,0.0,508.0,1.0,28.0,7.0,64.0,0.0,1.0,4.0,19.0,6.0,17.0
Excit_L2_3,507.0,508.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,2.0,2.0,1.0,1.0
Excit_L3,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
Excit_L3_4_5,43.0,28.0,3.0,1.0,0.0,119.0,254.0,0.0,1.0,11.0,39.0,24.0,65.0
Excit_L4,16.0,7.0,1.0,3.0,119.0,0.0,170.0,0.0,0.0,9.0,7.0,5.0,19.0
Excit_L5,80.0,64.0,5.0,3.0,254.0,170.0,0.0,0.0,3.0,24.0,76.0,46.0,111.0
Excit_L5_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excit_L6,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Inhib,3.0,4.0,2.0,0.0,11.0,9.0,24.0,0.0,0.0,0.0,2.0,3.0,8.0
Micro,36.0,19.0,2.0,1.0,39.0,7.0,76.0,0.0,0.0,2.0,0.0,23.0,39.0
OPC,33.0,6.0,1.0,0.0,24.0,5.0,46.0,0.0,0.0,3.0,23.0,0.0,27.0
Oligo,32.0,17.0,1.0,0.0,65.0,19.0,111.0,0.0,1.0,8.0,39.0,27.0,0.0
