source,Astro,EndoMural,Excit_L2/3,Excit_L3,Excit_L3/4/5,Excit_L4,Excit_L5,Excit_L5/6,Excit_L6,Inhib,Micro,OPC,Oligo
Astro,5,8,4,5,2,3,3,5,5,3,2,4,4
EndoMural,4,5,0,0,0,1,0,1,0,0,5,3,2
Excit_L2/3,0,2,0,0,0,0,0,0,0,0,0,2,0
Excit_L3,0,5,2,2,2,4,2,3,2,1,0,5,4
Excit_L3/4/5,2,2,0,0,0,1,0,1,0,0,1,3,2
Excit_L4,0,1,0,1,1,3,0,2,0,0,0,4,1
Excit_L5,1,4,0,0,0,1,0,1,0,0,0,2,1
Excit_L5/6,0,3,0,0,0,0,0,0,0,0,0,2,2
Excit_L6,0,4,0,0,0,0,0,0,0,0,0,0,0
Inhib,2,5,4,6,3,5,3,6,3,3,0,4,3
Micro,3,3,1,1,0,1,0,1,0,0,1,1,1
OPC,3,8,3,3,1,3,3,3,2,2,1,4,2
Oligo,4,7,0,0,0,1,0,1,0,0,0,4,1
