,CellType,annotLevel,p,fold_change,sd_from_mean,q
Vascular_cells,Vascular_cells,1,0,1.9652599382198,5.25935930873153,0
OPC,OPC,1,1.25e-05,1.70871079534401,5.15194493097655,0.00010625
Astrocyte,Astrocyte,1,0.0002375,1.60820538337271,4.08081734801787,0.00134583333333333
Microglia,Microglia,1,0.002575,1.57057415874721,3.23308492934066,0.0096475
Oligodendrocyte,Oligodendrocyte,1,0.0028375,1.51774106101259,3.25827043023179,0.0096475
Glutamatergic_L5_6_IT_Car3,Glutamatergic_L5_6_IT_Car3,1,0.016925,1.28389065073575,2.41546150625548,0.0479541666666667
GABAergic_VIP,GABAergic_VIP,1,0.02055,1.26513205235995,2.32276013343055,0.0499071428571429
GABAergic_LAMP5,GABAergic_LAMP5,1,0.0573625,1.17612211737894,1.67347195825748,0.1218953125
Glutamatergic_L5_6_NP,Glutamatergic_L5_6_NP,1,0.1063625,1.15152711203332,1.27067155149428,0.19669
GABAergic_PAX6,GABAergic_PAX6,1,0.1157,1.13669101227425,1.2084644976204,0.19669
GABAergic_SST,GABAergic_SST,1,0.3242,1.03872113134489,0.381047569993584,0.501036363636364
Glutamatergic_L6b,Glutamatergic_L6b,1,0.461275,1.00062743382904,0.00541381795469501,0.653472916666667
Glutamatergic_L6_CT,Glutamatergic_L6_CT,1,0.6971625,0.947641851814772,-0.543694093243336,0.87575234375
Glutamatergic_L4_IT,Glutamatergic_L4_IT,1,0.76355,0.92026629453865,-0.73509620218629,0.87575234375
GABAergic_PVALB,GABAergic_PVALB,1,0.797925,0.911859288928357,-0.82943834329785,0.87575234375
Glutamatergic_L5_ET,Glutamatergic_L5_ET,1,0.8242375,0.874681059809523,-0.920261087707793,0.87575234375
Glutamatergic_IT,Glutamatergic_IT,1,0.9553,0.849984093160602,-1.54565409419935,0.9553
