,number of LRs,number of diseases,% ligands,% receptors,% genes in major network
0.1,1262.0,25.0,4.39121756487026,10.6187624750499,0.9587955625990491
0.15,1213.0,25.0,4.370546318289787,11.49643705463183,0.964550700741962
0.2,1163.0,23.0,4.601571268237935,12.289562289562289,0.9604471195184867
0.25,1097.0,22.0,4.53074433656958,13.009708737864079,0.9580674567000912
0.3,1029.0,22.0,4.518518518518518,13.62962962962963,0.9552964042759962
0.35,939.0,19.0,4.561101549053356,13.855421686746988,0.9616613418530351
0.4,898.0,19.0,5.112474437627812,14.11042944785276,0.9632516703786191
0.45,744.0,18.0,4.7803617571059425,14.21188630490956,0.9717741935483871
0.5,648.0,17.0,4.975124378109453,14.427860696517413,0.9660493827160493
0.55,565.0,11.0,5.097087378640777,16.2621359223301,0.9486725663716814
0.6,372.0,10.0,4.9853372434017595,16.129032258064516,0.7338709677419355
0.65,269.0,9.0,4.382470119521913,16.334661354581673,0.6914498141263941
0.7,195.0,9.0,5.208333333333334,15.625,0.6564102564102564
