,number of LRs,number of diseases,% ligands,% receptors,% genes in major network
0.1,1247.0,24.0,4.604130808950086,10.628227194492254,0.9566960705693665
0.15,1196.0,24.0,4.561763198359816,11.532547411583803,0.9623745819397993
0.2,1136.0,22.0,4.758999389871873,12.385600976205003,0.9595070422535211
0.25,1070.0,21.0,4.667609618104668,13.154172560113153,0.9551401869158879
0.3,1000.0,21.0,4.611650485436893,13.592233009708737,0.952
0.35,906.0,18.0,4.627006610009444,13.692162417374881,0.9580573951434879
0.4,863.0,18.0,5.186020293122886,13.979706877113868,0.9594438006952491
0.45,714.0,17.0,4.913294797687861,14.30635838150289,0.9677871148459384
0.5,609.0,16.0,5.075187969924812,14.661654135338345,0.9605911330049262
0.55,522.0,10.0,5.027932960893855,16.480446927374302,0.9348659003831418
0.6,340.0,9.0,5.1194539249146755,16.723549488054605,0.7470588235294118
0.65,244.0,8.0,4.205607476635514,17.75700934579439,0.7213114754098361
0.7,170.0,8.0,4.848484848484849,16.363636363636363,0.6941176470588235
