,AD,ALS,AnorexiaNervosa,BipolarDisorder,BrainAneurysm,EssentialTremor,FrontotemporalDementia,IntracranialHemorrhage,LBD,MajorDepressiveDisorder,MigraineDisorder,MigraineWithAura,MS,NarcolepsyCataplexy,Narcolepsy,NeuroticDisorder,OCD,PartialEpilepsy,PD,ProgressiveSupranuclearPalsy,RestlessLeg,Schizophrenia,TouretteSyndrome,UnipolarDepression
AD,0.0,4.540877811564325,5.306284512891431,5.3456843388441895,4.381270724141272,4.153944499818786,4.298126530848857,3.849835138473556,4.045536115515641,5.022941705700662,4.558755179123192,4.365554584975718,6.058382146398411,4.403204690214572,4.403204690214572,4.638320448379125,5.264471004739012,4.5946206973346655,4.146708394938529,4.330205700342519,4.583548823868607,4.850127453851797,5.316864129913593,5.5072146474886265
ALS,4.540877811564325,0.0,4.653934442703235,4.914329221186264,3.5836464406939115,3.302331826947552,3.083795187380575,3.0101182243555993,3.4491426349157264,4.055881452405008,3.925733930228537,3.610663974774727,5.667090222198392,3.605717031261619,3.605717031261619,3.927197294428063,4.626492995513772,3.793934117997108,3.6360258375850996,3.5604320261501328,3.8300869175929035,4.201281553061964,4.683954497265394,4.796414075983331
AnorexiaNervosa,5.306284512891431,4.653934442703235,0.0,3.7869267255335712,4.416935181339609,4.21161288926957,4.560798373377813,3.9866150208250892,4.3612728027412775,4.350302290992505,4.6585287727188,4.440343599859164,6.205203531939078,4.466318594407472,4.466318594407472,4.3636722148852325,1.2867190494337428,4.626149575716148,4.527452939810002,4.394375316556139,4.452860188550677,3.8205452564325646,1.4432487299309664,3.783360972391802
BipolarDisorder,5.3456843388441895,4.914329221186264,3.7869267255335712,0.0,4.681730036337963,4.4877354784584504,4.8063343957539955,4.24499353128871,4.617288088515431,4.682583578614582,4.857724648748956,4.679793325085832,6.256945068417773,4.683230078650504,4.683230078650504,4.700267853452679,3.7550402438854973,4.8073026440795426,4.696227318550102,4.6618759890843515,4.783701274286132,4.035456665289206,3.732611839632426,3.691806683434646
BrainAneurysm,4.381270724141272,3.5836464406939115,4.416935181339609,4.681730036337963,0.0,2.9656759743099697,3.5338729212638555,2.6364085825088517,3.1713191833502097,4.151534822169245,3.6598174097075247,3.284186583430336,5.440467343268356,3.3230760163829385,3.3230760163829385,3.6464093902552674,4.3552613116931065,3.6053445780044675,3.4290693888977426,3.2506175878062904,3.5439249830121167,3.9792510286577065,4.42164838045507,4.729973777449615
EssentialTremor,4.153944499818786,3.302331826947552,4.21161288926957,4.4877354784584504,2.9656759743099697,0.0,3.178397726197347,2.131892701081384,2.7737615018404367,3.853939811651004,3.3690694879753678,2.9207788871634524,5.26683531646837,2.9389029386843317,2.9389029386843317,3.251145086975345,4.146541029411087,3.2558694344485177,3.085457524778751,2.856716817812604,3.186490320186567,3.6193437734503657,4.216214928271492,4.491086972801751
FrontotemporalDementia,4.298126530848857,3.083795187380575,4.560798373377813,4.8063343957539955,3.5338729212638555,3.178397726197347,0.0,2.873608918371945,3.308261223844579,3.703410991334591,3.879621665798486,3.496172439533022,5.58725054248754,3.5126586952769707,3.5126586952769707,3.793686223798011,4.566986929218678,3.7547295201122597,3.5573022916658568,3.4070531722145856,3.6716766696948775,4.154832517006162,4.630338590360096,4.661058106054705
IntracranialHemorrhage,3.849835138473556,3.0101182243555993,3.9866150208250892,4.24499353128871,2.6364085825088517,2.131892701081384,2.873608918371945,0.0,2.4185055506281277,3.606697693754505,3.0831875460489075,2.5858007539168186,5.088798743562601,2.60625530502867,2.60625530502867,3.0103902689876234,3.917807895213375,3.0002171705196967,2.7704628433061536,2.5132145166102147,2.8825573350706546,3.4588941350344458,3.991476483281097,4.306720820166483
LBD,4.045536115515641,3.4491426349157264,4.3612728027412775,4.617288088515431,3.1713191833502097,2.7737615018404367,3.308261223844579,2.4185055506281277,0.0,4.019583894047027,3.5451688158551002,3.1087455047206576,5.369722052551355,3.152991134645013,3.152991134645013,3.494457892605041,4.298471901717606,3.4657734768912354,2.8615838598395795,3.0765294711108258,3.38495541609871,3.8760360775814586,4.36572176193644,4.6536593054949105
MajorDepressiveDisorder,5.022941705700662,4.055881452405008,4.350302290992505,4.682583578614582,4.151534822169245,3.853939811651004,3.703410991334591,3.606697693754505,4.019583894047027,0.0,4.445814873892865,4.120452214897564,5.93714606184283,4.130604374381316,4.130604374381316,3.810954921418171,4.398529702567152,4.364928080929571,4.216593579838787,4.077270262001872,4.072025984472787,4.23478740424781,4.464278745124666,4.417012994637708
