,0
0,TNFRSF6B
1,COL6A3
2,SIK1
3,VEGFA
4,AVP
5,RARRES2
6,SLAMF1
7,LPA
8,CD36
9,LSR
10,CD3E
11,ICOSLG
12,VIPR1
13,TSPAN1
14,NRG1
15,TRPC6
16,CHRNA5
17,LRRN3
18,ROBO2
19,CCL16
20,FZD5
21,SDC2
22,HBEGF
23,IL12B
24,NOS2
25,EPO
26,RYK
27,CXCL10
28,DLL1
29,PTPRF
30,PTK2B
31,FSTL1
32,NRXN1
33,GRIN1
34,TUBB
35,TNFSF13B
36,IL9R
37,MOG
38,SYK
39,BMP6
40,CASP8
41,ANG
42,CD80
43,ERBB2
44,SV2C
45,WNT3
46,LEFTY1
47,SLURP1
48,NCR2
49,TBK1
50,IL17A
51,TSHR
52,IL12A
53,CXCL11
54,S100P
55,ENO1
56,LRP5
57,MUC1
58,CDH10
59,PTPRJ
60,TEC
61,PIK3R2
62,EFNA2
63,PTPRZ1
64,CD300LB
65,GHR
66,CHRNA9
67,CD46
68,PDGFB
69,OPN4
70,GREM1
71,MS4A4A
72,TLR9
73,CXCL14
74,COL11A2
75,ETV5
76,BMPR2
77,ODC1
78,F2RL1
79,CD72
80,HDGF
81,FXYD1
82,XCL2
83,CTLA4
84,IL11RA
85,NOG
86,TNFSF11
87,ITGB4
88,IL24
89,CXCL5
90,PLXNA4
91,TNFSF9
92,SEMA3D
93,SLC2A1
94,SLK
95,GPR20
96,NOX3
97,BMP4
98,CRHR1
99,SSTR2
100,ADRB2
101,GRIN2B
102,CD274
103,PLAU
104,NTRK1
105,PTAFR
106,CCR3
107,CD8B
108,OSM
109,FGF21
110,CES1
111,CLEC2D
112,MCHR2
113,SCN2A
114,FZD9
115,FCER2
116,FURIN
117,CD58
118,ALPK1
119,CNTNAP2
120,ADAMTS4
121,MMP3
122,PTPRC
123,PRKCZ
124,APOC2
125,APOC4
126,IFNAR1
127,UNC5B
128,ACKR3
129,CXCL1
130,FGF7
131,IL6ST
132,GDF11
133,UCN3
134,CD40LG
135,FGR
136,TAC4
137,RETN
138,CD8A
139,CD163
140,PRKCB
141,LRRTM2
142,ACKR1
143,AATK
144,IL10
145,CD40
146,CYP19A1
147,CD38
148,MAP2K6
149,IAPP
150,FGF3
151,ITGA4
152,PLXNB2
153,CALR
154,SHANK2
155,GDF1
156,APOE
157,TRPV6
158,SCARB1
159,CRHR2
160,ADA
161,CCL17
162,RELN
163,WNT7B
164,TUBA1A
165,STK39
166,CHEK1
167,IFNGR2
168,TNFRSF18
169,SSTR1
170,CD3G
171,BMP8A
172,MAPK7
173,FZD4
174,MAPK9
175,KLRK1
176,PSMB2
177,EFNA1
178,TYRO3
179,FCGRT
180,SLURP2
181,INHBC
182,CNTN4
183,FCGR3A
184,HDAC4
185,IFNL2
186,NRP2
187,LAT
188,ITGA6
189,SMPD3
190,TMED5
191,AGRP
192,GAL
193,SEMA3B
194,ULK1
195,LAMA5
196,CD3D
197,PTN
198,CCK
199,CCL8
200,CD44
201,ALCAM
202,C1QTNF4
203,PRF1
204,NLGN1
205,RORA
206,IL5
207,VLDLR
208,MAPK10
209,DPP4
210,CCL28
211,DLL4
212,IFNA5
213,L1CAM
214,CD6
215,ALPK3
216,IL26
217,CXCL13
218,DLL3
219,WNT5A
220,EDIL3
221,EPHB2
222,IFNA4
223,ESR2
224,IL16
225,PDGFRA
226,PAK1
227,RPH3A
228,SLIT2
229,PLG
230,PPBP
231,HJV
232,LTA
233,POMC
234,MMP9
235,BCL2L1
236,SLITRK1
237,AREG
238,CHRM1
239,FPR1
240,IGF1R
241,NECTIN4
242,GPR75
243,VEGFD
244,THRA
245,PRKCE
246,CCR5
247,FASLG
248,GPR151
249,IL34
250,PTGS1
251,PAM
252,MICB
253,IL20RA
254,CCL22
255,CD5
256,APOA1
257,LRP1
258,EPHA1
259,PLCG1
260,PSMB8
261,NPTX1
262,CHL1
263,APLP1
264,SV2B
265,CNTN3
266,PTEN
267,JAM3
268,CD2
269,PLXNA2
270,MCHR1
271,PTPN11
272,MAP4K5
273,SEMA3A
274,EFNB1
275,LGALS1
276,CXCL8
277,CCL5
278,HCK
279,GPHA2
280,NRG3
281,STAT3
282,IL11
283,CNTNAP1
284,LHB
285,POSTN
286,ADAMTS16
287,ATM
288,CCL4L1
289,BMP2
290,LAG3
291,PTPRG
292,NTN1
293,THRB
294,SCARF1
295,TPO
296,KL
297,CALCR
298,PSMB9
299,TNFSF4
300,MCAM
301,PROK1
302,TTR
303,DKK1
304,XPO1
305,EPHA4
306,ADAM23
307,FGFR2
308,FCGR2B
309,NTF4
310,DLK1
311,ADIPOQ
312,CCL26
313,MIF
314,CD5L
315,IL7R
316,PLXNA3
317,DYRK1A
318,S1PR1
319,GPR84
320,APOD
321,IL22
322,CKLF
323,ITGA7
324,UNC119
325,PTGS2
326,NXPH2
327,MAP4K2
328,SCNN1A
329,ZAP70
330,IL27RA
331,APOC3
332,TREM2
333,TFF2
334,STK11
335,FCER1G
336,UCN
337,GDF6
338,IL2
339,SFTPA1
340,MET
341,CSF3R
342,LIMK2
343,IGF2
344,LRP8
345,EPOR
346,C6orf15
347,UNC5D
348,VCL
349,ITGB2
350,ACTR2
351,ADRA2A
352,DCLK3
353,EPHA3
354,CD209
355,LEPR
356,FAM3C
357,MAP2K3
358,SFTPA2
359,PKM
360,CD86
361,SMPD1
362,PIK3CG
363,MAP4K4
364,INSRR
365,BMP7
366,FGF9
367,FLRT3
368,CD22
369,CDK6
370,EIF2AK2
371,CCN2
372,SIGLEC6
373,GZMA
374,SGK1
375,RPS6KA2
376,CD48
377,BSG
378,LILRB1
379,MAP2K1
380,IL31
381,AXL
382,THPO
383,ROR2
384,LDLR
385,IL1B
386,GDF3
387,NODAL
388,PLK2
389,PPARA
390,ARF6
391,IMPG2
392,ACE
393,LILRB2
394,NPY
395,CSF1
396,MPO
397,HP
398,ILDR1
399,PTHLH
400,PDGFC
401,MAP2K4
402,IL7
403,GH1
404,TGFB2
405,LGI3
406,FLT4
407,CCL19
408,ICAM4
409,JAG1
410,BLK
411,TYR
412,PECAM1
413,IFNL4
414,RLN2
415,CSK
416,ADCY3
417,CD247
418,MTOR
419,ITGA2
420,AMH
421,LRRC4B
422,HCRTR2
423,SPP1
424,ADGRV1
425,IL5RA
426,PLD2
427,STK4
428,OPRD1
429,BCL6
430,SEMA3E
431,FGF4
432,ADCY2
433,GRM1
434,NOTCH1
435,PDGFD
436,ADM
437,PIK3C2A
438,EDN2
439,FNDC5
440,ADCY5
441,IFNK
442,FLRT2
443,LILRA3
444,CRLF2
445,C4B_2
446,LAMB2
447,PCSK9
448,MDK
449,GZMB
450,NRAS
451,TNFRSF1B
452,EFNB3
453,EPHA7
454,ADCYAP1
455,SIRPB2
456,ADCY1
457,EPHA10
458,RAMP1
459,SPHK1
460,PHB2
461,ATP2B1
462,VEGFC
463,NOS1
464,PRG4
465,FGF17
466,PIK3CA
467,VRK2
468,ITGA2B
469,PLD1
470,GMFB
471,BMPR1A
472,PRND
473,LEFTY2
474,JAML
475,SORCS2
476,TNFRSF25
477,TNFSF18
478,AGT
479,PF4V1
480,BMP3
481,MS4A2
482,MAPK3
483,IL4R
484,SNCA
485,VDR
486,WNT6
487,PVRIG
488,CHRM4
489,PRKCA
490,CALCRL
491,XCL1
492,NECTIN3
493,GRIN2A
494,PDE4D
495,FRS3
496,FGF8
497,DCN
498,LILRB5
499,PRKAB1
500,HDC
501,CCL18
502,CD96
503,CHRNA3
504,PLA2G6
505,NCL
506,CHRNA7
507,DDR1
508,RACK1
509,CD226
510,TNFRSF14
511,FZD1
512,FGF22
513,NGFR
514,FLOT1
515,PTK2
516,CNTN2
517,CYP7A1
518,LGALS3
519,SDC1
520,GHRH
521,FGF14
522,CCL25
523,SOCS2
524,TLR2
525,PTK7
526,GPC2
527,CCL24
528,GDF2
529,MAPK11
530,SLIT1
531,GRIA1
532,PLAUR
533,MAP2K5
534,LAMA1
535,BMP5
536,CXCL12
537,ICAM1
538,EFNA3
539,SPON1
540,RAF1
541,TNFRSF9
542,EDN1
543,SEMA3G
544,IL4
545,CD55
546,PENK
547,PLK1
548,NFE2L2
549,BTC
550,MC4R
551,SEMA3C
552,LILRA1
553,VWF
554,SCGB3A1
555,ALOX12B
556,TYK2
557,ITGA1
558,CCL27
559,IFNW1
560,SEMA7A
561,PLXNC1
562,LAMA2
563,VIP
564,PIK3R3
565,TLN1
566,CXCL9
567,MC2R
568,PTPN1
569,VASN
570,NTF3
571,PSMB1
572,KREMEN2
573,MAPK8
574,CASP6
575,FGF23
576,TH
577,MMP14
578,CNTN1
579,MAP3K1
580,PPARG
581,ERBB3
582,PSEN1
583,IL1R1
584,HMOX1
585,CDH11
586,BMX
587,FES
588,MAPKAPK3
589,ZPBP2
590,CTSK
591,DCC
592,PTPN6
593,TGFA
594,CXCL2
595,TUBA4A
596,UNC5A
597,CHRM2
598,TGFB1
599,BCL2
600,FER
601,IL23A
602,MS4A1
603,CSF3
604,MAP4K3
605,LIF
606,CD99
607,TNFSF12
608,TRPV5
609,CD69
610,THY1
611,FBLN1
612,MAP3K7
613,WNT4
614,BIRC3
615,PRKCQ
616,PRLH
617,VIPR2
618,IL2RG
619,MMP13
620,SRC
621,LRFN5
622,IKBKB
623,SSTR4
624,PYY
625,WNT3A
626,PCNA
627,KDM3B
628,COL6A6
629,NSMAF
630,CASP3
631,CCL14
632,FGF12
633,CXCL6
634,MAGED1
635,HSP90AA1
636,TLR6
637,PTPRK
638,NRG2
639,NECTIN2
640,INS
641,CHAD
642,PLCE1
643,PTGES3
644,CASP1
645,LRIG1
646,IL10RA
647,TSHB
648,TRPV1
649,ZP3
650,TSLP
651,CD79B
652,LEP
653,GRM7
654,CD53
655,CD109
656,CNTN6
657,MRGPRX3
658,LCK
659,NTS
660,ADGRL1
661,IL6
662,SLC10A2
663,TAC1
664,IDE
665,CCL15
666,ERFE
667,ANOS1
668,DCBLD2
669,RIPK3
670,PF4
671,XIAP
672,IGF1
673,STAT6
674,PAK2
675,GDF15
676,VTN
677,EGFR
678,TNFSF15
679,TNFRSF4
680,WNT9A
681,SIGLEC10
682,FGF1
683,CTSB
684,SMO
685,IFNA8
686,KIR2DL5A
687,SDK2
688,BTNL9
689,NXPH3
690,OLR1
691,PTH2
692,GDF5
693,LTB
694,SLC12A5
695,ITGB1
696,ATP2A2
697,NTRK2
698,CD4
699,ITGA8
700,CCN1
701,BTN3A2
702,APOA2
703,ASGR1
704,IL18BP
705,PIK3R5
706,CNMD
707,LAMB3
708,IFNA2
709,RLN3
710,IL22RA2
711,ADCYAP1R1
712,LAMC2
713,PRKD1
714,NTN4
715,IFNL1
716,TIGIT
717,RGMB
718,PTPRT
719,LTBP3
720,TGFBR1
721,EREG
722,FCN2
723,FGF16
724,FGF5
725,IL2RA
726,PRKAA2
727,PSG6
728,CREBBP
729,FGF11
730,ABL1
731,IFNA1
732,SLC25A6
733,PILRA
734,GP6
735,TNFSF10
736,FGF18
737,PGF
738,GPC1
739,CCR4
740,YES1
741,CCL3
742,IFNA10
743,INPP5D
744,CD79A
745,MFGE8
746,SEMA6D
747,F2R
748,CCBE1
749,NCAM2
750,PRLR
751,GALR2
752,NOTCH4
753,TRPC4
754,TFF3
755,PRMT5
756,TFRC
757,LYVE1
758,ANGPTL4
759,PRKAB2
760,BMP15
761,CD19
762,BCR
763,IFNA6
764,ITGAM
765,HPX
766,LGALS9
767,INHBB
768,FCGR2C
769,NXPH1
770,GDF9
771,CXCR4
772,ACVR1B
773,NGF
774,ITGB5
775,ADM2
776,PLXND1
777,ITPR1
778,IFNB1
779,ACVR2A
780,CHRNB2
781,CTSS
782,ANGPTL2
783,C1QL1
784,HSPA4
785,MERTK
786,PLCG2
787,FGF10
788,MRGPRX2
789,CCL23
790,ITGA11
791,TNFSF14
792,NOX4
793,ANGPT2
794,UCN2
795,APP
796,CMKLR1
797,NLGN3
798,PRKD2
