,0
0,MAP4K4
1,FGFR3
2,DKK3
3,KDM3B
4,BTN3A2
5,TNFRSF25
6,THY1
7,VWF
8,LAT
9,DAG1
10,NLGN3
11,AGTR1
12,BTC
13,PDCD1LG2
14,CRLF2
15,FCN1
16,WNT3A
17,CD3G
18,IL3
19,FGF13
20,CD46
21,THRA
22,TNFRSF1A
23,FCER1G
24,LOX
25,NRAS
26,IFNA16
27,LRFN5
28,SOCS2
29,CXCR5
30,INHBC
31,IL11RA
32,CHRNA2
33,PCSK9
34,IL22
35,CHRM2
36,IGF2
37,SLK
38,FNDC5
39,GRIN2A
40,BMP6
41,CD48
42,CCL8
43,GSK3A
44,S100A8
45,NOX3
46,CSF1
47,TNFSF14
48,PLCB1
49,ZPBP2
50,TTR
51,NR0B2
52,IL36G
53,RIPK1
54,BMP10
55,TGFB2
56,SFTPA1
57,IL10RA
58,PTK2
59,NODAL
60,KDR
61,CALR
62,BMPR2
63,FAM3C
64,ERBB4
65,PTGES3
66,PDE4D
67,AFDN
68,CYP19A1
69,FGF23
70,CSNK1A1
71,IL15RA
72,APOC3
73,FRS3
74,PIK3C2A
75,MUC1
76,CCL19
77,ESR1
78,SPN
79,BMPR1A
80,CHAT
81,PENK
82,PTPN11
83,F2RL1
84,TYRO3
85,DYRK1A
86,NOS3
87,CD5L
88,PLG
89,CD40LG
90,IL23R
91,SDK2
92,LCK
93,RACK1
94,HDAC5
95,PF4V1
96,PTH
97,IGF1
98,RPH3A
99,MTOR
100,S100A1
101,BCR
102,IFNL1
103,THBS2
104,ADGRV1
105,CD8A
106,SORCS2
107,ADCYAP1
108,ITGB8
109,IL24
110,LTB
111,PDGFRB
112,PTPRG
113,INSL3
114,MAP3K14
115,GHRL
116,TMED5
117,GRM1
118,PTGER4
119,CCL20
120,VIPR2
121,LDLR
122,INSR
123,EPHB2
124,BMP2
125,EPHB6
126,PLK1
127,ANG
128,TGFBR2
129,RPS6KB1
130,CLEC4M
131,MXRA5
132,DLL1
133,CCL4
134,EDAR
135,UGCG
136,L1CAM
137,NRK
138,PLK2
139,ALK
140,TUBB
141,MAP4K2
142,ACHE
143,MAP2K3
144,ANGPTL4
145,CCR3
146,TUBA4A
147,GDF9
148,TLR6
149,NECTIN4
150,TAC3
151,EDA
152,EBI3
153,ACVR2A
154,HCRT
155,VRK1
156,ITGA8
157,CSF3
158,PON1
159,MCAM
160,TGFBR1
161,CD109
162,RLN3
163,SMPD1
164,F2R
165,OSM
166,IFNGR2
167,GDF15
168,TNFSF13
169,LAMA5
170,RTN4R
171,FCGR2C
172,BTN1A1
173,AR
174,GDF2
175,PIK3R1
176,CHRNB2
177,IL31
178,TUBA1A
179,RPSA
180,IL9R
181,CCL25
182,C4B_2
183,DCBLD2
184,SDC1
185,GP6
186,PTPRZ1
187,OPRD1
188,SLURP2
189,COMP
190,CXCL11
191,CHRNA9
192,OCLN
193,ADM2
194,FSTL1
195,HGF
196,CCRL2
197,PDGFRA
198,ADRA2A
199,HDAC4
200,CXCL2
201,IL34
202,SLIT2
203,MAPKAPK3
204,KIT
205,IL10
206,FGF21
207,CDK5
208,TPH1
209,DKK1
210,CXCL10
211,KNG1
212,TXK
213,IFNK
214,CNTN4
215,NXPH3
216,CDK4
217,CD58
218,PLCG1
219,NOTCH3
220,IFNL2
221,ITGB3
222,CDK2
223,IL6
224,CD96
225,COL6A6
226,MST1R
227,TNFRSF11B
228,TNFSF4
229,PTPRD
230,TSHB
231,TEK
232,CDK6
233,TNIK
234,RAMP3
235,CD247
236,NSMAF
237,ADAM15
238,MERTK
239,MAP4K3
240,CHRNA1
241,CCL18
242,CCL23
243,PIK3R5
244,TNFSF11
245,CNTN6
246,IFNA10
247,IL6ST
248,NTRK1
249,SGMS1
250,PYY
251,IFNE
252,SRC
253,IFNG
254,UNC5B
255,S100A6
256,CIRBP
257,ADA
258,LPA
259,GRIA1
260,GSK3B
261,PTPN6
262,SRPK2
263,SI
264,BMP5
265,FGF3
266,PRKAB1
267,JAM3
268,VEGFD
269,CCL17
270,PRKCA
271,ITK
272,RARA
273,TACR3
274,RPS6KA3
275,NRG3
276,PLD2
277,KL
278,PRKAG1
279,PTPRC
280,EPHA5
281,PDGFB
282,CD300LB
283,CLEC2D
284,EPHA8
285,GALR3
286,CEACAM19
287,VDR
288,CUL5
289,SCN3A
290,CXCL1
291,IL1B
292,HPX
293,ITGA4
294,CD274
295,ACVR2B
296,APOC2
297,MAP2K7
298,CCL1
299,ICAM4
300,NPTX1
301,NR1H3
302,ACTR2
303,SLC9A8
304,MAPK7
305,PLXNA2
306,UNC5A
307,TNF
308,MFGE8
309,CASP6
310,IL27
311,IFNA7
312,SEMA6D
313,DLL4
314,SEMA3D
315,UCN2
316,IGSF1
317,WNT9B
318,CD300LF
319,STK4
320,CHRNA7
321,GRN
322,THPO
323,CD79A
324,COL11A2
325,LGALS1
326,C3
327,ITGB1
328,SMPD2
329,PAM
330,ALPK3
331,FASLG
332,ZP3
333,BMP15
334,TYK2
335,KMT2E
336,NPS
337,KLRB1
338,LILRA3
339,TFRC
340,SLC25A6
341,TRIM28
342,IL2RB
343,LEPR
