,AD,ALS,AnorexiaNervosa,BipolarDisorder,BrainAneurysm,EssentialTremor,FrontotemporalDementia,IntracranialHemorrhage,LBD,MajorDepressiveDisorder,MigraineDisorder,MigraineWithAura,MS,NarcolepsyCataplexy,Narcolepsy,NeuroticDisorder,OCD,PartialEpilepsy,PD,ProgressiveSupranuclearPalsy,RestlessLeg,Schizophrenia,TouretteSyndrome,UnipolarDepression
AD,5.0,3.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,3.0,7.0,3.0,10.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,3.0
ALS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0
AnorexiaNervosa,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0
BipolarDisorder,7.0,0.0,5.0,5.0,0.0,0.0,2.0,1.0,0.0,2.0,7.0,3.0,14.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,14.0,3.0,8.0
BrainAneurysm,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
EssentialTremor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FrontotemporalDementia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IntracranialHemorrhage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBD,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
MajorDepressiveDisorder,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
MigraineDisorder,4.0,0.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,17.0,0.0,0.0,1.0,8.0,3.0,5.0,0.0,1.0,22.0,8.0,10.0
MigraineWithAura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,22.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,7.0,0.0,1.0
NarcolepsyCataplexy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Narcolepsy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NeuroticDisorder,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
OCD,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0
PartialEpilepsy,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,6.0,2.0,4.0
PD,9.0,3.0,5.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,17.0,0.0,0.0,2.0,5.0,5.0,6.0,0.0,0.0,12.0,5.0,7.0
ProgressiveSupranuclearPalsy,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
RestlessLeg,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Schizophrenia,9.0,1.0,8.0,12.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,2.0,17.0,0.0,0.0,4.0,7.0,2.0,6.0,0.0,0.0,18.0,7.0,11.0
TouretteSyndrome,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0
UnipolarDepression,6.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,3.0,14.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,17.0,2.0,5.0
