Disease,perc LR,pval,LR
AD,15.12605042,0,target
ALS,9.90990991,0.0247,target
AnorexiaNervosa,13.08016878,0,target
BipolarDisorder,9.9609375,0,target
BrainAneurysm,11.68831169,0.0152,target
EssentialTremor,7.317073171,0.2259,target
FrontotemporalDementia,22.85714286,0.0002,target
IntracranialHemorrhage,4.761904762,0.5484,target
LBD,0,0.4324,target
MajorDepressiveDisorder,14.28571429,0.0008,target
MigraineDisorder,10.48951049,0.0107,target
MigraineWithAura,41.66666667,0.0001,target
MS,16.97530864,0,target
NarcolepsyCataplexy,14.28571429,0.049,target
Narcolepsy,14.28571429,0.0486,target
NeuroticDisorder,12.04819277,0.0094,target
OCD,14.0625,0,target
PartialEpilepsy,22.97297297,0,target
PD,10.03717472,0.0012,target
ProgressiveSupranuclearPalsy,4.761904762,0.5598,target
RestlessLeg,7.692307692,0.2111,target
Schizophrenia,8.950617284,0,target
TouretteSyndrome,12.85714286,0.0001,target
UnipolarDepression,8.828828829,0.0003,target
AD,6.722689076,0.003,source
ALS,3.603603604,0.273,source
AnorexiaNervosa,3.797468354,0.2001,source
BipolarDisorder,4.1015625,0.0801,source
BrainAneurysm,2.597402597,0.5369,source
EssentialTremor,0,0.6214,source
FrontotemporalDementia,8.571428571,0.0483,source
IntracranialHemorrhage,0,0.3867,source
LBD,14.28571429,0.0314,source
MajorDepressiveDisorder,3.80952381,0.2457,source
MigraineDisorder,8.391608392,0.0023,source
MigraineWithAura,0,0.2499,source
MS,6.172839506,0.0031,source
NarcolepsyCataplexy,19.04761905,0.0021,source
Narcolepsy,19.04761905,0.0024,source
NeuroticDisorder,3.614457831,0.3081,source
OCD,3.645833333,0.2919,source
PartialEpilepsy,8.108108108,0.0207,source
PD,3.717472119,0.2231,source
ProgressiveSupranuclearPalsy,14.28571429,0.0118,source
RestlessLeg,5.128205128,0.2339,source
Schizophrenia,2.366255144,0.8109,source
TouretteSyndrome,3.80952381,0.2195,source
UnipolarDepression,3.783783784,0.1374,source
