,AD,ALS,AnorexiaNervosa,BipolarDisorder,BrainAneurysm,EssentialTremor,FrontotemporalDementia,IntracranialHemorrhage,LBD,MajorDepressiveDisorder,MigraineDisorder,MigraineWithAura,MS,NarcolepsyCataplexy,Narcolepsy,NeuroticDisorder,OCD,PartialEpilepsy,PD,ProgressiveSupranuclearPalsy,RestlessLeg,Schizophrenia,TouretteSyndrome,UnipolarDepression
AD,0.0,4.540877811564323,5.30628451289143,5.34568433884419,4.381270724141273,4.153944499818787,4.298126530848857,3.8498351384735567,4.045536115515642,5.022941705700661,4.558755179123192,4.36555458497572,6.058382146398415,4.403204690214574,4.403204690214574,4.638320448379125,5.26447100473901,4.599812026799348,4.146708394938531,4.33020570034252,4.583548823868607,4.850127453851797,5.316864129913592,5.507214647488626
ALS,4.540877811564323,0.0,4.6539344427032345,4.914329221186264,3.5836464406939106,3.302331826947552,3.083795187380575,3.0101182243555993,3.4491426349157273,4.055881452405008,3.9257339302285374,3.6106639747747273,5.667090222198393,3.60571703126162,3.60571703126162,3.9271972944280646,4.62649299551377,3.8002193911853235,3.6360258375851,3.560432026150133,3.8300869175929044,4.201281553061966,4.683954497265393,4.796414075983331
AnorexiaNervosa,5.30628451289143,4.6539344427032345,0.0,3.786926725533572,4.416935181339608,4.211612889269571,4.560798373377812,3.9866150208250897,4.3612728027412775,4.350302290992503,4.6585287727188,4.440343599859163,6.205203531939079,4.466318594407471,4.466318594407471,4.363672214885231,1.286719049433743,4.631305563913611,4.527452939810002,4.394375316556138,4.452860188550676,3.820545256432564,1.4432487299309669,3.783360972391802
BipolarDisorder,5.34568433884419,4.914329221186264,3.786926725533572,0.0,4.681730036337961,4.487735478458449,4.806334395753995,4.24499353128871,4.617288088515432,4.682583578614581,4.857724648748956,4.67979332508583,6.256945068417773,4.683230078650502,4.683230078650502,4.700267853452679,3.755040243885499,4.812264544003372,4.696227318550103,4.661875989084351,4.783701274286131,4.035456665289206,3.7326118396324266,3.6918066834346446
BrainAneurysm,4.381270724141273,3.5836464406939106,4.416935181339608,4.681730036337961,0.0,2.965675974309969,3.533872921263857,2.6364085825088504,3.1713191833502097,4.151534822169246,3.6598174097075256,3.2841865834303365,5.440467343268357,3.323076016382939,3.323076016382939,3.6464093902552692,4.3552613116931065,3.6119580362435957,3.4290693888977426,3.2506175878062904,3.5439249830121176,3.9792510286577056,4.421648380455071,4.729973777449613
EssentialTremor,4.153944499818787,3.302331826947552,4.211612889269571,4.487735478458449,2.965675974309969,0.0,3.178397726197347,2.131892701081384,2.7737615018404367,3.853939811651005,3.3690694879753664,2.9207788871634524,5.266835316468371,2.9389029386843317,2.9389029386843317,3.2511450869753453,4.146541029411087,3.263191248090129,3.085457524778751,2.856716817812604,3.186490320186567,3.6193437734503653,4.2162149282714925,4.491086972801751
FrontotemporalDementia,4.298126530848857,3.083795187380575,4.560798373377812,4.806334395753995,3.533872921263857,3.178397726197347,0.0,2.873608918371945,3.308261223844579,3.7034109913345925,3.8796216657984863,3.496172439533022,5.587250542487542,3.5126586952769703,3.5126586952769703,3.793686223798012,4.566986929218678,3.761080310049349,3.5573022916658577,3.407053172214586,3.671676669694878,4.154832517006163,4.630338590360096,4.661058106054707
IntracranialHemorrhage,3.8498351384735567,3.0101182243555993,3.9866150208250897,4.24499353128871,2.6364085825088504,2.131892701081384,2.873608918371945,0.0,2.4185055506281277,3.606697693754506,3.0831875460489067,2.5858007539168186,5.088798743562602,2.6062553050286703,2.6062553050286703,3.010390268987624,3.9178078952133766,3.008161298820209,2.770462843306153,2.5132145166102147,2.8825573350706546,3.4588941350344444,3.991476483281097,4.306720820166483
LBD,4.045536115515642,3.4491426349157273,4.3612728027412775,4.617288088515432,3.1713191833502097,2.7737615018404367,3.308261223844579,2.4185055506281277,0.0,4.019583894047027,3.5451688158550985,3.1087455047206576,5.369722052551356,3.1529911346450126,3.1529911346450126,3.4944578926050416,4.2984719017176065,3.472652750176215,2.8615838598395786,3.0765294711108253,3.38495541609871,3.8760360775814577,4.365721761936441,4.6536593054949105
MajorDepressiveDisorder,5.022941705700661,4.055881452405008,4.350302290992503,4.682583578614581,4.151534822169246,3.853939811651005,3.7034109913345925,3.606697693754506,4.019583894047027,0.0,4.445814873892867,4.120452214897564,5.93714606184283,4.130604374381315,4.130604374381315,3.8109549214181717,4.398529702567153,4.3703922571236085,4.216593579838789,4.077270262001872,4.072025984472787,4.234787404247812,4.464278745124665,4.417012994637708
