,AD,ALS,AnorexiaNervosa,BipolarDisorder,BrainAneurysm,EssentialTremor,FrontotemporalDementia,MajorDepressiveDisorder,MigraineDisorder,MS,NeuroticDisorder,OCD,PartialEpilepsy,PD,RestlessLeg,Schizophrenia,TouretteSyndrome,UnipolarDepression
AD,0.0,4.507174278431699,4.825802810849978,5.869845018003845,4.503762083740852,4.233218308284298,4.5340289805248934,5.039704797803431,5.311043991468642,5.072502861277222,4.470189874239198,4.685201270502322,5.061098369168241,4.379216436796673,4.2562517981167,4.596642292938462,5.04025691610581,5.447854037702882
ALS,4.507174278431699,0.0,3.5312824840980523,4.858781180141984,2.9852354613670156,2.5543278798739943,2.71133812999647,3.373734507943689,4.019211215870199,3.8913832125591736,2.9626916780702746,3.3365361757692975,3.7956188045376833,3.007384660954699,2.592384681086138,3.2039388902760013,3.8031534565231997,4.079345545489834
AnorexiaNervosa,4.825802810849978,3.5312824840980523,0.0,3.9731774077414443,3.469240660066248,3.1357108279668724,3.801999581237857,3.2008540327529964,4.524432531673811,4.274521248623092,3.017754752492418,1.332831817972053,4.057853260821167,3.5172408013129766,2.57992397993028,3.2358688517810315,2.28549364346433,3.6075440516601103
BipolarDisorder,5.869845018003845,4.858781180141984,3.9731774077414443,0.0,4.870025895101937,4.640259471236237,5.143610591545321,4.745065655377263,5.65549843504173,5.472761762853687,4.56814916302837,3.8530985289048245,5.210440826571337,4.856417948045509,4.6092486896901255,4.446777095291516,3.742944278515687,4.653371955890847
BrainAneurysm,4.503762083740852,2.9852354613670156,3.469240660066248,4.870025895101937,0.0,2.5048666977860794,3.3523328420686878,3.7366147074069405,4.113963178140189,3.8593232521211775,2.905788217409149,3.27080241333721,3.779632407989498,3.011195592668633,2.5436636158317474,3.1890300713633666,3.7644438007344942,4.374965914997291
EssentialTremor,4.233218308284298,2.5543278798739943,3.1357108279668724,4.640259471236237,2.5048666977860794,0.0,2.975079098420949,3.415162352692763,3.8128274533780226,3.536614950135115,2.3777466084996357,2.9146526493330747,3.390487794828988,2.5846197119028504,2.020689176581871,2.7616727807339023,3.4594925593300756,4.043562850664544
FrontotemporalDementia,4.5340289805248934,2.71133812999647,3.801999581237857,5.143610591545321,3.3523328420686878,2.975079098420949,0.0,3.4378265188259727,4.414283621509216,4.157795525278679,3.332273503651956,3.668648030734512,4.028262942645538,3.3764101859420657,2.9381587657739177,3.5605734836885734,4.1148349995704825,4.13980751082073
MajorDepressiveDisorder,5.039704797803431,3.373734507943689,3.2008540327529964,4.745065655377263,3.7366147074069405,3.415162352692763,3.4378265188259727,0.0,4.721797888468795,4.49057991877585,3.4323893097078852,3.2643071947875413,4.417747388199673,3.7817712100263283,3.1109087470744616,3.68820293989425,3.7570054981379477,3.9532288736934476
MigraineDisorder,5.311043991468642,4.019211215870199,4.524432531673811,5.65549843504173,4.113963178140189,3.8128274533780226,4.414283621509216,4.721797888468795,0.0,4.779862999689229,4.096861420468906,4.375561212440197,4.652959139541691,4.116288108819494,3.8360184684871586,4.272279429301361,4.741159485808949,5.219967114105727
MS,5.072502861277222,3.8913832125591736,4.274521248623092,5.472761762853687,3.8593232521211775,3.536614950135115,4.157795525278679,4.49057991877585,4.779862999689229,0.0,3.8407435861382577,4.134714855920604,4.530408122021921,3.8582309134780175,3.536540044447361,3.9754204378379914,4.53455640918066,5.018817270937436
NeuroticDisorder,4.470189874239198,2.9626916780702746,3.017754752492418,4.56814916302837,2.905788217409149,2.3777466084996357,3.332273503651956,3.4323893097078852,4.096861420468906,3.8407435861382577,0.0,2.787357425201547,3.7647061744494343,2.97346863940268,2.5171682124497368,3.061635175139302,3.3529464829642075,3.2705783595809828
OCD,4.685201270502322,3.3365361757692975,1.332831817972053,3.8530985289048245,3.27080241333721,2.9146526493330747,3.668648030734512,3.2643071947875413,4.375561212440197,4.134714855920604,2.787357425201547,0.0,3.8895617691447706,3.322078538965472,2.9480616484552717,3.1272742139935215,1.9712937031176967,3.6585389794794785
PartialEpilepsy,5.061098369168241,3.7956188045376833,4.057853260821167,5.210440826571337,3.779632407989498,3.390487794828988,4.028262942645538,4.417747388199673,4.652959139541691,4.530408122021921,3.7647061744494343,3.8895617691447706,0.0,3.7561429772558177,3.480794296618894,3.918533258659185,4.312954840685464,4.875758193443416
PD,4.379216436796673,3.007384660954699,3.5172408013129766,4.856417948045509,3.011195592668633,2.5846197119028504,3.3764101859420657,3.7817712100263283,4.116288108819494,3.8582309134780175,2.97346863940268,3.322078538965472,3.7561429772558177,0.0,2.6214758131732285,2.1477272315334788,3.805588512987788,4.410986298968719
RestlessLeg,4.2562517981167,2.592384681086138,2.57992397993028,4.6092486896901255,2.5436636158317474,2.020689176581871,2.9381587657739177,3.1109087470744616,3.8360184684871586,3.536540044447361,2.5171682124497368,2.9480616484552717,3.480794296618894,2.6214758131732285,0.0,2.706593093507775,3.4876863656138375,3.8600748078366554
Schizophrenia,4.596642292938462,3.2039388902760013,3.2358688517810315,4.446777095291516,3.1890300713633666,2.7616727807339023,3.5605734836885734,3.68820293989425,4.272279429301361,3.9754204378379914,3.061635175139302,3.1272742139935215,3.918533258659185,2.1477272315334788,2.706593093507775,0.0,3.6252037217040742,4.146417712657908
TouretteSyndrome,5.04025691610581,3.8031534565231997,2.28549364346433,3.742944278515687,3.7644438007344942,3.4594925593300756,4.1148349995704825,3.7570054981379477,4.741159485808949,4.53455640918066,3.3529464829642075,1.9712937031176967,4.312954840685464,3.805588512987788,3.4876863656138375,3.6252037217040742,0.0,4.104251133665844
UnipolarDepression,5.447854037702882,4.079345545489834,3.6075440516601103,4.653371955890847,4.374965914997291,4.043562850664544,4.13980751082073,3.9532288736934476,5.219967114105727,5.018817270937436,3.2705783595809828,3.6585389794794785,4.875758193443416,4.410986298968719,3.8600748078366554,4.146417712657908,4.104251133665844,0.0
