genes,AD,ALS,AnorexiaNervosa,BipolarDisorder,MigraineDisorder,MS,PartialEpilepsy,PD,Schizophrenia,UnipolarDepression
ABCA7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACMSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ADAM10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AGBL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AHI1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AKT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALPK2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ALS2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANK3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
ANKRD55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ANXA11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APH1B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AREL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ASAH1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ASTN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ATM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ATP13A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ATP1A2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ATP2A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ATXN2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAIAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BAK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BCL11A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BCL11B,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
BEND4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BIN1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRCA2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
BRINP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BST1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C2orf69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
C9orf72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CABP4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CACNA1A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CACNA1B,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CACNA1C,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
CACNA1H,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CACNA1I,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
CACNB2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
CACNB4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CADM1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CADM2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CALN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CAMK2D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CAPN3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CARMIL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CASR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CBLB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCDC192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CCDC6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCDC68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CD2AP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CD58,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CD86,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CDH9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CDKL5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CELF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CHCHD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CHD2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CHI3L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHMP2B,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHRM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CHRNA2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CHRNA3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CHRNA4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CHRNA7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CHRNB2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CILK1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CLCN2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CLEC2D,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CLU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNTN4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
CNTNAP2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
COL4A1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CPA6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CPEB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CPNE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CR1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREB5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CRH,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CTTNBP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CUL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CYP24A1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DCC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
DCLK3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
