symbol,AD,ALS,AnorexiaNervosa,BipolarDisorder,BrainAneurysm,EssentialTremor,FrontotemporalDementia,IntracranialHemorrhage,LBD,MajorDepressiveDisorder,MigraineDisorder,MigraineWithAura,MS,NarcolepsyCataplexy,Narcolepsy,NeuroticDisorder,OCD,PartialEpilepsy,PD,ProgressiveSupranuclearPalsy,RestlessLeg,Schizophrenia,TouretteSyndrome,UnipolarDepression,cluster2129,cluster0565
BCL11B,0.0,0.0,0.5327137280579215,0.793632288240279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5327137280579215,0.0,0.0,0.0,0.0,0.8335267579603428,0.5327137280579215,0.5327137280579215,1,7
CACNA1C,0.0,0.0,0.6527877973585098,0.7445450003773973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5834090576224175,0.0,0.0,0.0,0.0,0.7646391792493669,0.5834090576224175,0.7033580927111781,1,7
CACNA1I,0.0,0.0,0.5858287193196451,0.5858287193196451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5858287193196451,0.0,0.0,0.0,0.0,0.8305742159089006,0.6742154119730027,0.5858287193196451,1,7
CACNB2,0.0,0.0,0.3231437977238849,0.7076798491091406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3231437977238849,0.0,0.0,0.0,0.0,0.7892434117182935,0.3231437977238849,0.6227376281360503,1,7
CCDC68,0.0,0.0,0.3894330574007785,0.4980018180196165,0.0,0.0,0.0,0.0,0.0,0.3930726208990544,0.0,0.0,0.0,0.0,0.0,0.1600998317053312,0.3894330574007785,0.0,0.0,0.0,0.0,0.5912021285752399,0.3894330574007785,0.5609528112829828,1,6
CHRNA3,0.0,0.6309105817613403,0.361519379136952,0.4072122338393069,0.1397458829856425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2893586697670575,0.0,0.0,0.0,0.0,0.6729191039310854,0.2893586697670575,0.2893586697670575,1,3
CNNM2,0.0,0.0,0.4000626790746041,0.4783828852052643,0.2175523390502895,0.0,0.0,0.0,0.0,0.3001957508718059,0.0,0.0,0.0,0.0,0.0,0.0,0.3099314650491229,0.0,0.0,0.0,0.0,0.5266859016863257,0.3099314650491229,0.4244665622218067,1,7
CNTN4,0.0,0.0,0.588976415608721,0.6991200858293966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4738689441256777,0.0,0.0,0.0,0.0,0.7722966413459582,0.4738689441256777,0.4738689441256777,1,7
DCC,0.0,0.0,0.4774283572159896,0.6441941005511566,0.0,0.0,0.0,0.0,0.0,0.6418298670892659,0.0,0.0,0.0,0.0,0.0,0.4934223079898842,0.4774283572159896,0.0,0.0,0.0,0.0,0.6970129617751085,0.4774283572159896,0.7624397813717476,1,6
DCLK3,0.0,0.0,0.3649364818334376,0.5749983202122658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3649364818334376,0.0,0.0,0.0,0.0,0.5424426292505017,0.3649364818334376,0.4833389539557576,1,7
DPYD,0.0,0.0,0.5289348546664646,0.5759968003951176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4258389710610039,0.0,0.0,0.0,0.0,0.761864011087786,0.4258389710610039,0.5283053172204244,1,7
DRD2,0.0,0.0,0.4854270175536515,0.7242497726645118,0.0,0.0,0.0,0.0,0.0,0.666761689256073,0.0,0.0,0.0,0.0,0.0,0.4788076614945473,0.4854270175536515,0.0,0.0,0.0,0.0,0.7734369382721068,0.4854270175536515,0.7523777082710527,1,6
ENOX1,0.0,0.0,0.517932217088586,0.6460818774597115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517932217088586,0.0,0.0,0.0,0.0,0.6582894646624938,0.517932217088586,0.7029488312154565,1,7
ESR2,0.0,0.0,0.5038472248856353,0.629365635420598,0.0,0.0,0.0,0.0,0.0,0.5181870251192393,0.0,0.0,0.0,0.0,0.0,0.0,0.5038472248856353,0.0,0.0,0.0,0.0,0.6568686148742454,0.5038472248856353,0.7281260306209689,1,6
FHIT,0.0,0.0,0.4625156375039073,0.0,0.5434657065698097,0.0,0.0,0.0,0.0,0.5169909999958359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5156793836298579,0.0,0.7401536235172573,1,1
GRIN2A,0.0,0.0,0.4225320106938947,0.6911136093689877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4225320106938947,0.9098864095935448,0.0,0.0,0.0,0.5580573861426095,0.4225320106938947,0.4225320106938947,1,12
