symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
PSEN1	0.8718348048253193	0.9613984559408313	No data	0.6432229884302734	0.4559480982087158	0.9649714394289323	0.04988096311450684	0.5481496693239833	presenilin 1
APP	0.8661413491147394	0.9335276434799978	No data	0.9138939571353245	0.607930797611621	0.9862599920068108	No data	0.44040364545311866	amyloid beta precursor protein
PSEN2	0.7887390968527654	0.8831631839100227	No data	0.6432229884302734	No data	0.7987492632035833	No data	No data	presenilin 2
ACE	0.6660293626250134	0.853530849863293	No data	0.12158615952232422	No data	0.9474763744583945	No data	No data	angiotensin I converting enzyme
UNC5C	0.5054926577420483	0.8274613634158176	No data	No data	No data	0.08071349888867925	No data	No data	unc-5 netrin receptor C
BIN1	0.5249132737228226	0.8152028791435755	No data	No data	No data	0.9647919567488022	No data	No data	bridging integrator 1
CR1	0.5209221904169125	0.8133052010289301	No data	No data	No data	0.8714449393839605	No data	No data	complement C3b/C4b receptor 1 (Knops blood group)
HFE	0.6170313609586816	0.8061162376330095	No data	No data	No data	0.32959973837924583	No data	No data	homeostatic iron regulator
SORL1	0.6672997589784957	0.7632346043107299	No data	No data	No data	0.9681637883137699	0.04768036208430157	0.5702843283432227	sortilin related receptor 1
APOE	0.6807668564590496	0.7470954609259576	No data	No data	No data	0.997703563615797	0.017251532679053088	0.4752195044930042	apolipoprotein E
CD2AP	0.4590970606506828	0.7309620745022006	No data	No data	No data	0.48435459208699	No data	No data	CD2 associated protein
ECHDC3	0.42231823308984534	0.686300170671189	No data	No data	No data	0.1676250965647843	No data	No data	enoyl-CoA hydratase domain containing 3
APH1B	0.5040833196012033	0.6640756463123517	No data	0.6432229884302734	No data	0.19338258213260406	No data	No data	aph-1 homolog B, gamma-secretase subunit
INPP5D	0.4114198003753414	0.6634640698470698	No data	No data	No data	0.26580522777599425	No data	No data	inositol polyphosphate-5-phosphatase D
PLCG2	0.4133957444473333	0.6571615064145996	No data	No data	No data	0.45686205560268617	No data	No data	phospholipase C gamma 2
SLC24A4	0.39522972682452107	0.6442360997997556	No data	No data	No data	0.11773579615033725	No data	No data	solute carrier family 24 member 4
CD33	0.39836166406162526	0.6214388088197688	No data	No data	No data	0.6767175944966259	No data	No data	CD33 molecule
