symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
SOD1	0.8692376446469685	0.9480358337332502	No data	0.5792229543910723	No data	0.9944462669730388	No data	0.4095731105309092	superoxide dismutase 1
FUS	0.8388895479352816	0.9372417602110948	No data	No data	No data	0.9865050145155176	No data	0.654534505906243	FUS RNA binding protein
ALS2	0.8100383164019973	0.9310468689727995	No data	No data	No data	0.39421414952977435	No data	0.6015969394989475	alsin Rho guanine nucleotide exchange factor ALS2
SETX	0.8239808187790548	0.9251225655245223	No data	No data	No data	0.24591841755813834	No data	No data	senataxin
TARDBP	0.8410856488759446	0.9236980448248714	No data	No data	No data	0.9955170579632007	No data	0.5970209561920193	TAR DNA binding protein
UBQLN2	0.8314842202479443	0.9148323918234845	No data	No data	No data	0.8005303369791659	0.02882240242908652	No data	ubiquilin 2
TBK1	0.7916972746954271	0.9096248484449108	No data	No data	No data	0.9162324569151529	No data	No data	TANK binding kinase 1
DCTN1	0.7857534251522037	0.9023555264524328	No data	No data	No data	0.3883444154589688	No data	0.7179871344518562	dynactin subunit 1
VCP	0.7651504616222577	0.879147200431765	No data	No data	No data	0.706808985668658	No data	0.2513185917326442	valosin containing protein
ANG	0.7975212696842348	0.8762380677763174	No data	No data	No data	0.9171025596105706	No data	No data	angiogenin
SPG11	0.7560044857803482	0.8697655754321858	No data	No data	No data	0.17503770134086494	No data	0.5487005527249708	SPG11 vesicle trafficking associated, spatacsin
SIGMAR1	0.7567486786932548	0.8584567986263155	No data	0.4665024523339175	No data	0.7245682468788036	No data	No data	sigma non-opioid intracellular receptor 1
ENSG00000259171	0.5163346947452293	0.849331365960985	No data	No data	No data	No data	No data	No data	novel protein, ANG-RNASE4 readthrough
RNASE4	0.5184289805884426	0.849331365960985	No data	No data	No data	0.06889882372931705	No data	No data	ribonuclease A family member 4
SQSTM1	0.7368953309532776	0.8462146365655252	No data	No data	No data	0.932038208807421	No data	No data	sequestosome 1
PFN1	0.7520366157694264	0.8429942252805485	No data	No data	No data	0.580934474049918	No data	No data	profilin 1
FIG4	0.7288246453359736	0.839376418205214	No data	No data	No data	0.12068940989248764	No data	0.40563844731303417	FIG4 phosphoinositide 5-phosphatase
OPTN	0.730627505263506	0.8391210295720702	No data	No data	No data	0.905593259996094	No data	No data	optineurin
TUBA4A	0.6860522955281279	0.8266028851749727	No data	No data	No data	0.272444846147663	No data	No data	tubulin alpha 4a
VAPB	0.7222255493363884	0.8069312599198895	No data	No data	No data	0.863248391794106	No data	0.533317350375039	VAMP associated protein B and C
PRPH	0.6921030096949882	0.7965046704967867	No data	No data	No data	0.5679998061092021	No data	No data	peripherin
CHMP2B	0.6128174635445609	0.7956158541490058	No data	No data	No data	0.6083269521177304	No data	No data	charged multivesicular body protein 2B
MOB3B	0.4816769322307946	0.7889023675595823	No data	No data	No data	0.06839221473130737	No data	No data	MOB kinase activator 3B
MATR3	0.6745500854330571	0.7728134919882365	No data	No data	No data	0.8993484818660944	No data	0.3965414384054402	matrin 3
FGGY	0.46729080350381214	0.7599134970145264	No data	No data	No data	0.17488783818223377	No data	No data	FGGY carbohydrate kinase domain containing
UBQLN4	0.47118351640177103	0.7599134970145264	No data	No data	No data	0.3029521808097912	No data	No data	ubiquilin 4
ANXA11	0.6189006373344625	0.7411284606882272	No data	No data	No data	0.7429096613358324	No data	No data	annexin A11
HNRNPA1	0.5971716230703322	0.7195915563566126	No data	No data	No data	0.22863296306817682	No data	No data	heterogeneous nuclear ribonucleoprotein A1
SPTLC1	0.5358907892928176	0.7051997252294805	No data	No data	No data	No data	No data	No data	serine palmitoyltransferase long chain base subunit 1
ATXN2	0.5894183875047653	0.7037384856705954	No data	No data	No data	0.9345775132950229	No data	No data	ataxin 2
SYNE1	0.43771890466220853	0.6991204172533643	No data	No data	No data	0.1853141940786224	No data	0.3355170072018536	spectrin repeat containing nuclear envelope protein 1
NEK1	0.6218996823234951	0.6960540054792209	No data	No data	No data	0.7605680935511971	No data	No data	NIMA related kinase 1
NEFH	0.5355782185520231	0.685709610891832	No data	No data	No data	0.7504730444143595	No data	0.573704721852478	neurofilament heavy chain
ERBB4	0.6051020962378573	0.6769936541243664	No data	No data	No data	0.38014960469832104	No data	0.2825054416501203	erb-b2 receptor tyrosine kinase 4
PLEKHG5	0.4072769998625414	0.6687238773727833	No data	No data	No data	0.024317231904464845	No data	No data	pleckstrin homology and RhoGEF domain containing G5
C9orf72	0.5541229799978145	0.6606195481707439	No data	No data	No data	0.9850894869901553	No data	No data	C9orf72-SMCR8 complex subunit
CHRNA3	0.38354997319178347	0.6309105817613403	No data	No data	No data	No data	No data	No data	cholinergic receptor nicotinic alpha 3 subunit
PON2	0.3706603624543008	0.607930797611621	No data	No data	No data	0.03554706469367951	No data	No data	paraoxonase 2
PPARGC1A	0.38406562081901274	0.607930797611621	No data	No data	No data	0.4765597068357536	No data	No data	PPARG coactivator 1 alpha
KIF5A	0.38120511189494677	0.5934472560876458	No data	No data	No data	0.5401896452047902	No data	0.29685260847375455	kinesin family member 5A
UNC13A	0.4525584292346029	0.5901774180401357	No data	No data	No data	0.3016115718972242	No data	No data	unc-13 homolog A
