symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
DRD2	0.7199807041288684	0.7242497726645118	No data	0.9992252256498336	No data	0.18116635985805188	No data	No data	dopamine receptor D2
SCN2A	0.7180525080215812	0.7419360190384194	No data	0.9956578469817372	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 2
GRIN2A	0.6835325129720385	0.6911136093689877	No data	0.9494862304584434	No data	0.09425017325028823	No data	No data	glutamate ionotropic receptor NMDA type subunit 2A
SCN3A	0.6352430398759855	0.19707487055948425	No data	0.9956578469817372	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 3
ALOX5AP	0.5433068487905857	0.5351400570870092	No data	0.7599134970145264	No data	No data	No data	No data	arachidonate 5-lipoxygenase activating protein
CACNA1C	0.5274936444697413	0.7445450003773973	No data	0.4559480982087158	No data	0.411973469755478	No data	No data	calcium voltage-gated channel subunit alpha1 C
NDUFA13	0.520285316883073	0.19453134359725965	No data	0.8071970034954302	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A13
ANK3	0.5179353162333252	0.8246191540618044	No data	No data	No data	0.5469022541388816	No data	No data	ankyrin 3
TENM4	0.5066157617650671	0.82882146204137	No data	No data	No data	0.09045994311950491	No data	No data	teneurin transmembrane protein 4
NDUFA6	0.5049627702849563	0.09371364093561217	No data	0.8071970034954302	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A6
GPD2	0.49682165230379516	0.04014755734093215	No data	0.8071970034954302	No data	No data	No data	No data	glycerol-3-phosphate dehydrogenase 2
NDUFA4L2	0.49638873839627085	0.03729911531940492	No data	0.8071970034954302	No data	No data	No data	No data	NDUFA4 mitochondrial complex associated like 2
BCL11B	0.48247351000024874	0.793632288240279	No data	No data	No data	No data	No data	No data	BAF chromatin remodeling complex subunit BCL11B
ADCY2	0.4694138731148578	0.770296832638162	No data	No data	No data	0.03706689168770857	No data	No data	adenylate cyclase 2
SORCS3	0.4625526204456	0.7602560067802039	No data	No data	No data	0.012158615952232422	No data	No data	sortilin related VPS10 domain containing receptor 3
PDE4B	0.45971627440845914	0.526699867191112	No data	0.6216092405578825	No data	0.1168954241104316	0.025318421781410555	No data	phosphodiesterase 4B
TCF4	0.45798898182349773	0.7495360898125176	No data	No data	No data	0.0764201752635094	No data	No data	transcription factor 4
ZNF804A	0.4562334897524479	0.7395567887306822	No data	No data	No data	0.21825317376183825	No data	No data	zinc finger protein 804A
PDE10A	0.45544727030006305	0.503178607453665	No data	0.6216092405578825	No data	0.0797527664272874	No data	No data	phosphodiesterase 10A
KCNB1	0.4540375538911527	0.7468572996711648	No data	No data	No data	No data	No data	No data	potassium voltage-gated channel subfamily B member 1
NEGR1	0.44663322678206063	0.7346777438102321	No data	No data	No data	No data	No data	No data	neuronal growth regulator 1
TRANK1	0.44469217906270336	0.7306574063382476	No data	No data	No data	0.01654922726831635	No data	No data	tetratricopeptide repeat and ankyrin repeat containing 1
SNAP91	0.4438004554697296	0.7300180501025599	No data	No data	No data	No data	No data	No data	synaptosome associated protein 91
GSDME	0.43874815408293305	0.7217073979581949	No data	No data	No data	No data	No data	No data	gasdermin E
NKAIN2	0.43514096459473767	0.7157738451551999	No data	No data	No data	No data	No data	No data	sodium/potassium transporting ATPase interacting 2
VRK2	0.4333896778682882	0.705994785614592	No data	No data	No data	0.13796651712463734	No data	No data	VRK serine/threonine kinase 2
CACNB2	0.4333586213942184	0.7076798491091406	No data	No data	No data	0.10324353640105358	No data	No data	calcium voltage-gated channel auxiliary subunit beta 2
HOMER1	0.42941825429072433	0.6961682885837762	No data	No data	No data	0.20384265328931225	No data	No data	homer scaffold protein 1
MEF2C	0.42808520208841194	0.7041676515982265	No data	No data	No data	No data	No data	No data	myocyte enhancer factor 2C
CNTN4	0.42593544798774446	0.6991200858293966	No data	No data	No data	0.030227670214577826	No data	No data	contactin 4
GRIA1	0.4240605140680367	0.27284504305138	No data	0.626721252748173	No data	0.11766743553312788	No data	No data	glutamate ionotropic receptor AMPA type subunit 1
ZSWIM6	0.4200363931604625	0.690927972082777	No data	No data	No data	No data	No data	No data	zinc finger SWIM-type containing 6
TFAP2B	0.41996380219553736	0.6898966692611149	No data	No data	No data	0.01823792392834863	No data	No data	transcription factor AP-2 beta
GRIK3	0.41880682364807276	0.24996943196882274	No data	0.6257713608769049	No data	0.028876712886552	No data	No data	glutamate ionotropic receptor kainate type subunit 3
CD47	0.4122847017269068	0.6781770282845523	No data	No data	No data	No data	No data	No data	CD47 molecule
ZCCHC2	0.4080059170306242	0.6711387523605612	No data	No data	No data	No data	No data	No data	zinc finger CCHC-type containing 2
RGS6	0.4071158971942236	0.6690668065140374	No data	No data	No data	0.012158615952232422	No data	No data	regulator of G protein signaling 6
OLFM4	0.4052516551545108	0.666608200714002	No data	No data	No data	No data	No data	No data	olfactomedin 4
SSBP2	0.40483792418897674	0.665927644691574	No data	No data	No data	No data	No data	No data	single stranded DNA binding protein 2
SOX5	0.40383613404738805	0.6642797759776933	No data	No data	No data	No data	No data	No data	SRY-box transcription factor 5
SHISA9	0.4006027261810557	0.6589610655602651	No data	No data	No data	No data	No data	No data	shisa family member 9
SP4	0.4003596768220903	0.6388976824384595	No data	No data	No data	0.3932717076359851	No data	No data	Sp4 transcription factor
PCLO	0.40027348089931436	0.6539400882474142	No data	No data	No data	0.08958787650003708	No data	No data	piccolo presynaptic cytomatrix protein
GRIK2	0.3984730280139817	0.11232976681782865	No data	0.6257713608769049	No data	0.07218320438943246	No data	No data	glutamate ionotropic receptor kainate type subunit 2
THSD7A	0.39750159797335255	0.6538599451368772	No data	No data	No data	No data	No data	No data	thrombospondin type 1 domain containing 7A
KCNG1	0.39626516143503354	0.6518261009178039	No data	No data	No data	No data	No data	No data	potassium voltage-gated channel modifier subfamily G member 1
GRM3	0.39617208124418024	0.6419127980685257	No data	No data	No data	0.19520386006384097	No data	No data	glutamate metabotropic receptor 3
NGEF	0.39592611257624694	0.6512683912901315	No data	No data	No data	No data	No data	No data	neuronal guanine nucleotide exchange factor
CACNA1B	0.393354118848291	0.6161007340953141	No data	0.12158615952232422	No data	0.024317231904464845	No data	No data	calcium voltage-gated channel subunit alpha1 B
LMAN2L	0.39307676920087664	0.6430741837039067	No data	No data	No data	0.07014508186442087	No data	No data	lectin, mannose binding 2 like
ENOX1	0.392773071086496	0.6460818774597115	No data	No data	No data	No data	No data	No data	ecto-NOX disulfide-thiol exchanger 1
DCC	0.3916254333647654	0.6441941005511566	No data	No data	No data	No data	No data	No data	DCC netrin 1 receptor
STARD9	0.3914645100196605	0.6439293938678676	No data	No data	No data	No data	No data	No data	StAR related lipid transfer domain containing 9
FSTL5	0.3889795981614699	0.639841902548209	No data	No data	No data	No data	No data	No data	follistatin like 5
XPNPEP1	0.38861639951992516	0.6392444683616675	No data	No data	No data	No data	No data	No data	X-prolyl aminopeptidase 1
ESR2	0.385870601040514	0.629365635420598	No data	No data	No data	0.10724405878867005	No data	No data	estrogen receptor 2
JADE2	0.3846092272562061	0.6326529742648689	No data	No data	No data	No data	No data	No data	jade family PHD finger 2
CADM2	0.37682630879769247	0.6198506643817532	No data	No data	No data	No data	No data	No data	cell adhesion molecule 2
THRA	0.37197185093085305	0.2352691745770948	No data	0.5530481561605719	No data	No data	No data	No data	thyroid hormone receptor alpha
INSYN2B	0.370445061222249	0.6093539966680702	No data	No data	No data	No data	No data	No data	inhibitory synaptic factor family member 2B
TSNARE1	0.36820020224404243	0.605053443310414	No data	No data	No data	0.012158615952232422	No data	No data	t-SNARE domain containing 1
SLC39A8	0.36597398561295097	0.6019994167934142	No data	No data	No data	No data	No data	No data	solute carrier family 39 member 8
ZNF391	0.3646093064700272	0.5997546232276247	No data	No data	No data	No data	No data	No data	zinc finger protein 391
LRFN5	0.3598084021405954	0.5918575001532664	No data	No data	No data	No data	No data	No data	leucine rich repeat and fibronectin type III domain containing 5
