symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
THSD1	0.643815230281986	0.8446819337644896	No data	No data	No data	0.14286373743873096	No data	No data	thrombospondin type 1 domain containing 1
EDNRA	0.4861802849961923	0.7953086494002863	No data	No data	No data	0.0884200448279366	No data	No data	endothelin receptor type A
CDKN2B	0.4560471058746771	0.7486651550247645	No data	No data	No data	0.029954101355652598	No data	No data	cyclin dependent kinase inhibitor 2B
PDE3A	0.4264806777808499	0.374390133348694	No data	0.607930797611621	No data	No data	No data	No data	phosphodiesterase 3A
STARD13	0.3915068192676321	0.6439989893681085	No data	No data	No data	No data	No data	No data	StAR related lipid transfer domain containing 13
RP1	0.38778066860752625	0.6378697544704116	No data	No data	No data	No data	No data	No data	RP1 axonemal microtubule associated
ATP2B1	0.38766615136071336	0.6376813822950542	No data	No data	No data	No data	No data	No data	ATPase plasma membrane Ca2+ transporting 1
CDKN2A	0.35123503208943996	0.576848296184925	No data	No data	No data	0.018133224735426633	No data	No data	cyclin dependent kinase inhibitor 2A
FHIT	0.33038954046954766	0.5434657065698097	No data	No data	No data	No data	No data	No data	fragile histidine triad diadenosine triphosphatase
LINGO2	0.3222740440758091	0.5301163312369234	No data	No data	No data	No data	No data	No data	leucine rich repeat and Ig domain containing 2
FMO4	0.3221826250705975	0.5299659539150788	No data	No data	No data	No data	No data	No data	flavin containing dimethylaniline monoxygenase 4
MYEOV	0.3167389206973672	0.5210114735784731	No data	No data	No data	No data	No data	No data	myeloma overexpressed
RNF144A	0.3154717871991054	0.5189271351912094	No data	No data	No data	No data	No data	No data	ring finger protein 144A
TMOD1	0.3120163690888634	0.5132432347804762	No data	No data	No data	No data	No data	No data	tropomodulin 1
DRAM1	0.3084548829038999	0.5073848604409041	No data	No data	No data	No data	No data	No data	DNA damage regulated autophagy modulator 1
DTHD1	0.30560097981927475	0.5026904065724092	No data	No data	No data	No data	No data	No data	death domain containing 1
OLFML2A	0.3038206001999462	0.4997618172883605	No data	No data	No data	No data	No data	No data	olfactomedin like 2A
FBN1	0.29817454040939684	0.4904744776557393	No data	No data	No data	No data	No data	No data	fibrillin 1
ZNF746	0.297588511542976	0.4895105046694666	No data	No data	No data	No data	No data	No data	zinc finger protein 746
SOX17	0.29130001921918824	0.4720134514584968	No data	No data	No data	0.14305921686132886	No data	No data	SRY-box transcription factor 17
