symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
TLR1	0.5888286486471591	0.9664963936604385	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04164043556885234	No data	No data	No data	1	0	1	1	0	0	No data	0.870493852886018	0	0	No data	No data	-0.22391749999999994	0.5	0
IL4R	0.6887887004885166	0.9626460214779112	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6501732154447037	No data	No data	No data	No data	No data	No data	0.35171032959174836	No data	No data	1	1	1	0	0	0	0	No data	-0.09783288185038552	-0.8084523459059023	0	No data	No data	0	-1	-1
LPP	0.5840297738110155	0.9606846307268762	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.4771250000000002	No data	-0.4238382996457596	-0.8463607193438341	0	No data	No data	0	-1	-1
IL33	0.7132175148698309	0.9543448559666172	0.7874359284535156	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16253705352810702	No data	No data	No data	No data	No data	No data	0.3140115558807681	No data	No data	0.75	0	1	0	0	0	0	No data	0.7926651385705354	-0.8848157382817753	0	No data	No data	No data	0.5	0
IL1RL1	0.5964163699347228	0.9476698902511161	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.13469447997061018	No data	No data	0.75	1	1	0	0	0	0	No data	0.31787872473431955	0	0	No data	No data	0	0.75	0
IL13	0.6867007503935187	0.9475199684236688	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6608941403961972	No data	No data	No data	No data	No data	No data	0.7572189400498485	No data	No data	1	0	1	0	0	1	0	No data	0.703063138153782	-0.8039983479926279	0	-1	No data	No data	1	1
D2HGDH	0.5753656971374258	0.9464328824890369	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.02111500000000035	No data	-0.398728901854553	No data	0	No data	No data	0	-1	-1
TNFRSF8	0.5829971363331296	0.9460841302385334	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25803780497174106	No data	No data	1	1	0	0	0	0	0	No data	-0.6803500729318608	0	0	No data	No data	0	0.5	0.5
FLG	0.7366798507799368	0.9456871391535315	0.9736103886860301	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07876092026298667	No data	No data	No data	0	0	0	0	0	0	No data	0.9898937278599709	-0.6832389583536377	0	No data	No data	0	1	0.5
GATA3	0.579130935024003	0.9453162967189667	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14620232374596379	No data	No data	No data	0	0	0	0	0	0.81982	No data	-0.6419045634507189	-0.9689960211737705	0	-1	-1	-0.16103500000000004	0.5	0
BACH2	0.5744911878914765	0.9449943811836498	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5005949999999999	No data	-0.8465305271931652	-0.35063214038584284	0	No data	No data	0	0.75	0
OTULINL	0.5744030186344042	0.9448493494507312	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.18539499999999975	No data	0.3903938320483433	No data	0	No data	No data	0	0.5	0
RUNX1	0.570726540773919	0.9378899263401831	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	1	1	1	0.6666649999999997	No data	-0.5762658887268182	-0.9639351999928477	0	No data	No data	-0.11979250000000015	0.5	0
SUOX	0.5663786800632611	0.9316499218141179	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.2844050000000003	No data	0.20754323817461962	0	0	No data	No data	No data	-1	-1
IL7R	0.5667346528036727	0.927369716154308	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0973150757534566	No data	No data	No data	1	0	0	0	0	0	No data	0.16263804959366546	0	0	No data	-1	0	0.5	0
RAD51B	0.5621110544264161	0.9246300016955596	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.22856999999999986	No data	0.7078558032923525	No data	0	No data	No data	0	-1	-1
NPNT	0.5589639651141726	0.9194532787451719	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.3716799999999999	No data	0.02969368618462176	-0.5512941723678829	0	No data	No data	0	0.5	0
TESPA1	0.5576988927597546	0.9173723307830223	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.14742654719733272	0	0	No data	No data	0	0.75	0
GLB1	0.55713394429733	0.9156831199636083	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	No data	0	0	1	1	0	0	No data	-0.06292977703688274	-0.850885216570878	0	No data	No data	0	-1	-1
ID2	0.5540546856829092	0.9113778868575583	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.36567000000000005	No data	-0.10533444467597419	-0.859042245558905	0	No data	No data	0	0.5	-1
PRKCQ	0.5533624469119126	0.9102392066431061	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.7379600000000004	No data	-0.6379454052927693	-0.8218496443611364	0	-1	No data	-0.050992500000000086	0.75	0
PTPRC	0.5424966715328117	0.8905167083737773	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03698245685470695	No data	No data	0.5	0	0	1	1	0	0	No data	-0.8799749947905814	-0.8898810246155964	0	-1	No data	0	0.5	-1
IRAG1	0.5409446798986955	0.8898129228259302	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.0953949999999999	No data	-0.34767659929151906	-0.9190114056985579	0	No data	No data	0	-1	-1
IL2RA	0.564076794760899	0.8888364104600617	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.38837452231711467	No data	No data	1	0	0	0	1	0	0	No data	-0.3085017712023338	-0.8950522684742601	0	No data	No data	No data	0.5	0
APOE	0.5464654975925892	0.8856036149612885	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2658126751657012	No data	No data	No data	0	1	0	0	0	0	No data	0.1554490518858096	-0.9832509398565298	0	-1	No data	0	0.75	-1
IRF1	0.5414383760248233	0.8848370076632714	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11576015604521284	No data	No data	No data	0	0	0	0	0	0.276925	No data	-0.816941029381121	-0.8227683026382671	0	-1	No data	0	0.5	-1
TNFSF4	0.5637174911846001	0.8841420147072311	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1587374860430344	No data	No data	No data	No data	No data	No data	0.1550736883375587	No data	No data	0.5	0	0	0	0	0	0	No data	0.7350489685351116	-0.8276856512144117	0	No data	No data	No data	-1	0
TSLP	0.6784806762402689	0.8742451744794749	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8910769493885154	No data	No data	No data	No data	No data	No data	0.2884927619082878	No data	No data	1	0	1	0	0	0	0	No data	0.6713898728901855	-0.6546822634396826	0	No data	No data	No data	0.5	0
IL21R	0.5289384416132278	0.8683157714741158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03495602086266821	No data	No data	No data	1	0	0	0	0	0	No data	-0.8824755157324442	-0.2837935592821403	0	No data	No data	0	0.75	0.5
SMAD3	0.5304329344121326	0.864820012697545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1540377398485731	No data	No data	No data	0	0	1	1	0	1	No data	-0.6261721191914982	-0.8758774639922706	0	No data	-1	-0.7941175000000001	-1	-1
NOD2	0.528478535402936	0.8645899882950191	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.094341468568102	No data	No data	1	0	0	1	1	0	0	No data	0.510418837257762	-0.8138788816324416	0	No data	No data	0	0.5	0
