symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PAM	0.6491951791038656	0.9617307401441463	0.33878053229923205	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10201026066678306	No data	0.9079097735238562	No data	0	1	1	1	0	0.5323749999999997	No data	-0.4702021254428006	-0.7963879467785456	0	No data	No data	No data	0.5	-1
SLC30A8	0.7069534794531324	0.9592133691722488	No data	0.7055374645614869	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.886254086084053	No data	0.6074017576781405	No data	1	0	0	0	0	0.010840000000000316	No data	0.6247134819754114	-0.28503567362602955	0	No data	No data	0	1	0.5
KCNJ11	0.9232502927261775	0.9578627770710963	No data	0.9328940388012861	0.9786773616146389	0.607930797611621	0.8274613634158176	0.9779019396789099	0.8897742701710087	0.607930797611621	No data	No data	0.7633784717337354	No data	0.9987018130869717	No data	No data	No data	No data	No data	No data	0.9318787238794924	No data	0.5845590318235875	1	0	0	1	1	0	0.7948700000000002	1	0.3572619295686601	-0.8256793913435675	0	-1	No data	-0.23718000000000003	0.5	0
PTPN22	0.6350362235984289	0.9480812172193327	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8970851084906678	0.046286079625440485	No data	No data	1	0	1	1	0	0	No data	0.2202542196290893	-0.7777096794822363	0	No data	No data	0	0.5	0
GLIS3	0.8270172940531982	0.9461109508832859	No data	0.8796992140720642	0.9285669064556789	0.607930797611621	0.607930797611621	No data	0.607930797611621	No data	No data	No data	0.015198269940290528	No data	No data	No data	No data	No data	No data	No data	No data	0.7990238850455478	No data	0.555132100903967	No data	0	0	0	0	0	0.21505500000000027	No data	-0.21525317774536357	-0.7065079334132873	0	No data	No data	0	0.5	0
HNF1A	0.8664518401873358	0.9430505803711565	0.6574297179417129	0.9687817483447488	0.9421515329208274	No data	0.607930797611621	0.607930797611621	0.607930797611621	0.607930797611621	No data	No data	0.6442833536574455	No data	No data	No data	No data	No data	No data	No data	No data	0.9705486926136183	No data	0.5565055960579484	No data	0	0	0	0	0	0.7305849999999999	No data	-0.7157741196082517	-0.9498188453850278	0	No data	-1	0	0.75	0.5
IGF2BP2	0.6020244932139663	0.9428982540036823	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7812547581777888	No data	0.37456136267845996	No data	0	0	0	0	0	No data	No data	-0.5897061887893311	-0.8673313267742724	0	No data	No data	-0.14023499999999983	-1	0
TCF7L2	0.6896211123444815	0.9384988800050411	No data	0.24013266505659034	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9682035852781613	0.014807031873015564	0.6283214994946954	No data	0	0	1	1	0	0.7334400000000002	No data	-0.7949572827672432	-0.8839520763137076	0	-1	-1	0	-1	-1
APOE	0.6038729143807705	0.9379991514438991	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9674512280332592	No data	0.3129019815307013	No data	0	1	0	0	0	0	No data	0.1554490518858096	-0.9832509398565298	0	-1	No data	0	0.75	-1
RREB1	0.5799585982111771	0.9346545561919811	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.24886039726710577	No data	0.2760613751954371	No data	0	0	0	0	0	0.04132999999999996	No data	-0.9360283392373411	-0.9022933022533566	0	No data	No data	0	-1	-1
