symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
RPLP1	0.5520440969635921	0.886438416869506	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08274613634158175	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	1	0	0	1	1	0	No data	No data	0.11148155865805376	-0.6438662712850307	-1	No data	No data	0	-1	-1
GATA3	0.6936906747099345	0.8858427062326424	No data	No data	No data	No data	No data	No data	No data	No data	0.7915765593901316	0.33421132821739574	No data	No data	No data	No data	No data	0.42415104521756597	No data	No data	No data	0.8677909432340039	No data	No data	No data	0	0	0	0	0	0.81982	No data	-0.6419045634507189	-0.9689960211737705	0	-1	-1	-0.16103500000000004	0.5	0
ACOXL	0.5207627474546973	0.8550414800147988	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03147392834968165	No data	No data	No data	0	0	0	0	0	0	No data	0.23015211502396338	-0.8101810840512602	0	No data	No data	0	0.5	0.5
ARID5B	0.6190765186869727	0.8458432084094072	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9228580662360768	No data	No data	No data	1	0	0	0	0	0.39814999999999967	No data	-0.9734319649927068	-0.8666773335478478	0	-1	No data	0	0.5	-1
IRF4	0.6671799905668901	0.8379462147914163	No data	No data	No data	No data	No data	No data	No data	No data	0.7725787219647684	0.4252339488325096	No data	No data	No data	No data	No data	0.3827459360611051	No data	No data	No data	0.8950626393695539	No data	No data	No data	0	0	0	0	0	0.6119750000000004	No data	-0.6487809960408418	-0.12055862702313541	0	No data	No data	0	0.5	0
SP140	0.5025751016687384	0.8190925815056687	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15210597306140317	No data	No data	No data	0	0	0	0	0	0	No data	-0.39456136695144817	-0.2968774632995319	0	No data	No data	0	0.75	0
GRAMD1B	0.4981373294028712	0.81645654104309	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.05883081424220459	No data	No data	No data	1	0	0	0	0	0.8460650000000001	No data	-0.8313190247968327	-0.21262327637709716	0	No data	No data	0	0.75	0
BAK1	0.49429209181137373	0.787666643759097	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5081262827781441	No data	No data	No data	0	0	1	1	0	0	No data	0.515628255886643	0	0	No data	No data	0	-1	-1
C11orf21	0.473290610242247	0.7756098919442221	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0583444696041153	No data	No data	No data	0	0	0	0	0	No data	No data	0.2055636590956449	No data	0	No data	No data	No data	0.75	0
BCL2	0.738598711499456	0.7680395080108756	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	0.9470979890134119	No data	No data	No data	No data	No data	No data	0.9728304580692316	0.0430531040350025	No data	1	0	0	1	1	0	0.5188299999999998	1	-0.24369660345905397	-0.9497681429128482	0	-1	No data	0	-1	-1
BMF	0.462454244800638	0.7457766693228594	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2985089557792294	No data	No data	No data	0	0	0	0	0	0.375	No data	0.12200458428839345	0	0	No data	No data	No data	0.5	-1
IRF8	0.47179025215034454	0.7288549765735646	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6915276184779483	No data	0.5682502256683476	No data	0	0	0	0	0	0.4835700000000003	No data	-0.6987914148780996	-0.8355707132960744	0	No data	No data	0	0.5	0
FAS	0.6286930933262047	0.7284760456889512	No data	No data	No data	No data	No data	No data	No data	No data	0.8381820024672366	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.623312370697612	No data	No data	No data	1	1	0	0	0	0	1	-0.5725151073140238	-0.9710333384808884	0	-1	-1	0	-1	0
CDKN2A	0.6671705620809784	0.7245411380110924	No data	No data	No data	No data	No data	No data	No data	No data	0.8277568853313232	No data	0.6433242253724347	No data	No data	No data	No data	No data	No data	No data	No data	0.9596742279597676	No data	0.6345433904512346	No data	0	0	0	0	0	No data	No data	0.04928110022921439	-0.7105358998641403	0	No data	-1	-0.23077000000000006	0.5	0
IKZF1	0.7429184571260458	0.7126097378585338	No data	0.30821537656653375	0.7176960805137194	No data	No data	No data	No data	No data	0.8390711529535394	No data	0.8688748024384031	No data	No data	No data	No data	No data	No data	No data	No data	0.98050091448874	No data	0.32925531998645396	No data	0	0	1	1	0	0.6242750000000001	0	-0.936340904355074	-0.9049832714841854	0	No data	-1	0	0.75	0
ERG	0.5625124286791746	0.712441064072798	No data	No data	No data	No data	No data	No data	No data	No data	0.6757741859284179	No data	0.3014884905346648	No data	No data	No data	No data	No data	No data	No data	No data	0.8325520110667787	No data	No data	No data	0	0	1	1	0	0.8225450000000002	No data	-0.7169201917066055	-0.9546738487107798	0	No data	No data	-0.08141999999999996	-1	0
CHEK2	0.5799005100754799	0.698816653375773	0.7038750578052535	No data	No data	No data	No data	No data	No data	No data	0.6227068933869035	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.29048274683588693	No data	No data	0.5	0	0	1	1	1	0.16206000000000031	1	0.6344030006251302	-0.6079308829258029	0	No data	-1	No data	-1	0
CAMK2D	0.41562580687004186	0.6830649617469211	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	1	0	1	1	1	No data	No data	-0.44623879974994796	-0.7551011697620835	0	No data	No data	-0.6153849999999998	0.5	-1
TERT	0.5037172108619511	0.6638454443613934	No data	No data	No data	No data	No data	No data	No data	No data	0.6227068933869035	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4074477907302391	No data	No data	0.75	0	0	1	1	0	0	1	-0.7657845384455095	-0.7960963888256584	0	No data	No data	No data	No data	No data
PIP4K2A	0.4008245898798941	0.6511421364502253	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1636775609566027	No data	No data	No data	1	0	1	1	0	0.9014800000000001	1	-0.4224838508022505	No data	0	No data	No data	-0.4458124999999999	0.5	-1
CDKN2B	0.42277459522049793	0.6156626459584614	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.24317231904464845	No data	No data	No data	No data	No data	No data	No data	No data	0.8539371374281264	No data	No data	No data	0	0	0	0	0	0.09420500000000018	No data	0.8534069597832883	-0.4782711760133934	0	No data	No data	-0.45652250000000016	0.5	0
POU5F1B	0.374158884271476	0.6142470919867218	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	No data	0	0	0	0	0	0.06685000000000016	No data	0.872681808710148	No data	0	No data	No data	-0.9025075000000001	0.5	0.5
EOMES	0.3791317581078301	0.6115654062708961	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.241550943322331	No data	No data	No data	0	0	0	0	0	0.531915	No data	-0.7564075849135237	-0.8778647371123263	0	No data	No data	0	0.75	0.5
ACTA2	0.3654449894316193	0.59849168293014	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.052751506266088384	No data	No data	No data	0	0	0	0	0	1	No data	-0.6742029589497812	-0.8666642750842404	0	No data	No data	-0.9734749999999999	0.5	-1
LHPP	0.3659274757867845	0.598439974799689	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06965873722633158	No data	No data	No data	0	0	0	0	1	0.40740499999999996	No data	0.6142946447176496	No data	0	No data	No data	0	1	-1
FIGNL1	0.36385647462858284	0.597908341215694	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	1	0	No data	-0.1530527193165243	No data	0	No data	No data	0	-1	-1
CASP10	0.3576769170940317	0.578417407666437	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19867922871006077	No data	No data	0.5	0	0	1	1	0	No data	No data	0.43811210668889355	No data	0	-1	No data	0	-1	-1
CEP43	0.5737145552267525	0.5757255117391812	No data	No data	No data	No data	No data	No data	No data	No data	0.3588480402568597	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0	0	0	0	0	0.23558999999999983	No data	-0.22275474057095224	-0.6891598773629914	0	No data	No data	No data	0.5	-1
