symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PTPN22	0.6947515431586848	0.9614398193381726	No data	0.19453785523571876	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4334319249172637	No data	0.29472485068211385	No data	1	0	1	1	0	0	No data	0.2202542196290893	-0.7777096794822363	0	No data	No data	0	0.5	0
TYK2	0.7374406788634729	0.9498785610649338	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9691194615623101	No data	No data	No data	No data	No data	No data	0.2900168434692359	No data	No data	1	0	0	1	1	0	0	1	-0.41800375078141283	-0.9014193774316098	0	No data	No data	0	-1	0
CD40	0.5859627669286507	0.9391874247786175	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	0.2555547940459038	No data	No data	0.5	1	1	0	1	0	0	No data	-0.5973119399874973	-0.2546990079032288	0	-1	No data	0	-1	0
PADI4	0.714659336480302	0.9354425889776856	No data	0.8007968431539079	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.39504285296850755	0.15082169763292783	No data	No data	0	0	1	1	1	0	1	0.2766201291935819	-0.8912229285937756	0	No data	No data	0	0.75	0.5
NFKBIE	0.5631534730649409	0.9263447012018523	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.5868931027297354	0	0	No data	-1	0	0.5	-1
RUNX1	0.5675098168514149	0.9181203750058509	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09152735897374963	No data	0.26712479247054627	No data	0	0	1	1	1	0.6666649999999997	No data	-0.5762658887268182	-0.9639351999928477	0	No data	No data	-0.11979250000000015	0.5	0
IL2RA	0.5660508930207893	0.9125246264460989	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.37172221146079226	No data	No data	1	0	0	0	1	0	0	No data	-0.3085017712023338	-0.8950522684742601	0	No data	No data	No data	0.5	0
SYNGR1	0.5522083094336765	0.9083407381286462	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7210299999999996	No data	-0.3352781829547823	0	0	No data	No data	0	0.5	-1
IRF5	0.6452842205335062	0.9072017440771334	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10165953893394329	No data	No data	No data	0	0	0	0	0	0.27043000000000034	No data	-0.3823713273598667	-0.632939079468739	0	No data	No data	0	-1	0
FCGR2A	0.5687144896643807	0.9060585510296721	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22161915482879918	No data	0.49017460211425007	No data	1	0	0	0	0	0	No data	0.49468639299854145	-0.9111105592264029	0	No data	No data	-0.6372250000000002	0.5	-1
STAT4	0.642995426588207	0.9034296354241663	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10198427730173551	No data	No data	No data	0	0	0	1	0	0.7393050000000002	No data	-0.6938945613669514	-0.6979722743392575	0	No data	No data	0	0.5	-1
RASGRP1	0.5567914258395007	0.9023467833772092	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03544038255805995	0.25490538343855274	No data	1	0	1	1	0	0.5169400000000003	No data	-0.7300479266513857	-0.6663769787781831	0	No data	No data	0	0.5	0
RPLP1	0.5475130350834788	0.9006173683493159	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	No data	No data	0.11148155865805376	-0.6438662712850307	-1	No data	No data	0	-1	-1
IL23R	0.5583375906648556	0.8940860482855438	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.48673784106112955	No data	No data	No data	1	0	0	1	0	0	No data	-0.3694519691602417	-0.25968950302935195	0	-1	No data	0	0.5	0.5
