symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
COL4A1	0.6285760075523721	0.7220391890555263	No data	No data	No data	0.6896918705778324	No data	No data	collagen type IV alpha 1 chain
COL4A2	0.6058284872795479	0.6991534857487594	No data	No data	No data	0.15239855683576722	No data	No data	collagen type IV alpha 2 chain
ACE	0.46926032504951226	0.5982039048498351	No data	0.17309140765330877	No data	0.3928274099196398	No data	No data	angiotensin I converting enzyme
KAT6B	0.3400134663099256	0.5592963338026914	No data	No data	No data	No data	No data	No data	lysine acetyltransferase 6B
DLX5	0.30643097076472403	0.5040556786538862	No data	No data	No data	No data	No data	No data	distal-less homeobox 5
ADGRG1	0.27295197078546596	0.44898526585231885	No data	No data	No data	No data	No data	No data	adhesion G protein-coupled receptor G1
PWWP2B	0.26258064985927027	0.43192523045529424	No data	No data	No data	No data	No data	No data	PWWP domain containing 2B
APOC1	0.2046387077334845	0.3357032391733467	No data	No data	No data	0.01823792392834863	No data	No data	apolipoprotein C1
PMF1-BGLAP	0.198282708897732	0.32615999991565764	No data	No data	No data	No data	No data	No data	PMF1-BGLAP readthrough
PIRT	0.18706608434271413	0.30770950423574694	No data	No data	No data	No data	No data	No data	phosphoinositide interacting regulator of transient receptor potential channels
DPH1	0.184837949855932	0.304044392194153	No data	No data	No data	No data	No data	No data	diphthamide biosynthesis 1
ZBTB46	0.17274710352773245	0.28415586807972937	No data	No data	No data	No data	No data	No data	zinc finger and BTB domain containing 46
ICA1L	0.1443909877922705	0.23751221086271604	No data	No data	No data	No data	No data	No data	islet cell autoantigen 1 like
MEGF6	0.14156966511938227	0.2328713492975965	No data	No data	No data	No data	No data	No data	multiple EGF like domains 6
TMEM238L	0.12254070005552888	0.20157014669589823	No data	No data	No data	No data	No data	No data	transmembrane protein 238 like
PMF1	0.12094169858668717	0.1972005531369616	No data	No data	No data	0.034787151196664985	No data	No data	polyamine modulated factor 1
APOE	0.11727471133435281	0.06039956767474428	No data	No data	No data	0.8890405159686747	No data	No data	apolipoprotein E
CARF	0.11411423585767694	0.18770925293799517	No data	No data	No data	No data	No data	No data	calcium responsive transcription factor
DLX6	0.08760542698947038	0.14410427524587666	No data	No data	No data	No data	No data	No data	distal-less homeobox 6
RTN4RL1	0.0816826113053573	0.13436169318327668	No data	No data	No data	No data	No data	No data	reticulon 4 receptor like 1
WDR12	0.0810161392215192	0.13326539721265557	No data	No data	No data	No data	No data	No data	WD repeat domain 12
SLC25A44	0.07774044889783775	0.12622221263669464	No data	No data	No data	0.0330984545366327	No data	No data	solute carrier family 25 member 44
ADGRG3	0.056606824256481045	0.09311392757016487	No data	No data	No data	No data	No data	No data	adhesion G protein-coupled receptor G3
PRDM16	0.04894096618199029	0.08050417313000882	No data	No data	No data	No data	No data	No data	PR/SET domain 16
NBEAL1	0.046941819781756426	0.07721572910301114	No data	No data	No data	No data	No data	No data	neurobeachin like 1
SDHAF3	0.04373214531971068	0.07193605833348343	No data	No data	No data	No data	No data	No data	succinate dehydrogenase complex assembly factor 3
SHISA6	0.04240504701191593	0.06975308238785191	No data	No data	No data	No data	No data	No data	shisa family member 6
TMEM220	0.03656286041217351	0.0601431290466252	No data	No data	No data	No data	No data	No data	transmembrane protein 220
OVCA2	0.03533483607448468	0.05812312225882406	No data	No data	No data	No data	No data	No data	OVCA2 serine hydrolase domain containing
LRRC27	0.030314946905114375	0.04986578575096502	No data	No data	No data	No data	No data	No data	leucine rich repeat containing 27
ADPRM	0.020263490614533322	0.03333190339121252	No data	No data	No data	No data	No data	No data	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent
