"","Feature","Comparison","Estimate","P","FDR","Gene","Color","invert_P"
"1","0610009B22Rik","NeuN vs pSyn",0.309257602931129,0.0576990252468212,0.0969692676265092,"0610009B22Rik","NS or FC < 0.5",1.23883152364674
"2","0610010K14Rik","NeuN vs pSyn",0.156175998749977,0.221239776566695,0.299865193711385,"0610010K14Rik","NS or FC < 0.5",0.655136788803037
"3","0610012G03Rik","NeuN vs pSyn",-0.126138214023375,0.369310128543419,0.455338020113236,"0610012G03Rik","NS or FC < 0.5",-0.432608781408873
"4","1110002E22Rik","NeuN vs pSyn",0.913271137927742,1.24608157434406e-07,2.11623064364635e-06,"1110002E22Rik","Enriched in pSyn FDR < 0.01",6.90445352579254
"5","1110004F10Rik","NeuN vs pSyn",-0.549996976835525,9.78334537370656e-06,8.18449309735544e-05,"1110004F10Rik","Enriched in NeuN FDR < 0.01",-5.00951261464903
"6","Bbln","NeuN vs pSyn",0.0258959625382458,0.838013202056239,0.876934130249956,"Bbln","NS or FC < 0.5",0.0767491394425032
"7","1110032A03Rik","NeuN vs pSyn",0.185035873207469,0.124426963711795,0.185419366177811,"1110032A03Rik","NS or FC < 0.5",0.905085496475304
"8","1110032F04Rik","NeuN vs pSyn",-0.0143982150087118,0.91193408938865,0.931839459129886,"1110032F04Rik","NS or FC < 0.5",-0.0400365494448452
"9","1110051M20Rik","NeuN vs pSyn",-0.475444334486006,0.000144255286307706,0.000711433685474959,"1110051M20Rik","NS or FC < 0.5",-3.84086826294034
"10","1110059E24Rik","NeuN vs pSyn",0.246337030305491,0.0363989631154403,0.0659179458304275,"1110059E24Rik","NS or FC < 0.5",1.43891098777008
"11","1110059G10Rik","NeuN vs pSyn",0.375542084836416,0.00806345582313456,0.0187007877293284,"1110059G10Rik","NS or FC < 0.5",2.09347878905633
"12","1110065P20Rik","NeuN vs pSyn",-0.479461173699208,0.000395792295526909,0.00160862950521171,"1110065P20Rik","NS or FC < 0.5",-3.40253266400207
"13","1190007I07Rik","NeuN vs pSyn",0.0830347258043355,0.554646528930627,0.635539808356146,"1190007I07Rik","NS or FC < 0.5",0.255983700552947
"14","1500009C09Rik","NeuN vs pSyn",-0.396292239748231,0.00747418493063351,0.0176500943147605,"1500009C09Rik","NS or FC < 0.5",-2.12643616078661
