symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
KEAP1	0.6330455351646367	0.24002662839045533	No data	0.9806887175069495	No data	0.027740773360126633	No data	No data	kelch like ECH associated protein 1
IL2RA	0.6096891974672887	0.7479782788772511	No data	0.8086126682451745	No data	0.3278338324798777	No data	No data	interleukin 2 receptor subunit alpha
KCNH8	0.607563066967571	0.1320448950095157	No data	0.9663838872610871	No data	No data	No data	No data	potassium voltage-gated channel subfamily H member 8
IL6ST	0.5400264116915713	0.09570806697076259	No data	0.8626369148442898	No data	0.07823293943325835	No data	No data	interleukin 6 cytokine family signal transducer
CD58	0.48799012308116013	0.780052313028679	No data	No data	No data	0.4530876967231365	No data	No data	CD58 molecule
IL7R	0.48688047857770483	0.6350223463070637	No data	No data	No data	0.3196567814207055	No data	No data	interleukin 7 receptor
ANKRD55	0.4521791283422391	0.7370980403836027	No data	No data	No data	0.13404580751230968	No data	No data	ankyrin repeat domain 55
CD86	0.4419905892436457	0.6791461199830037	No data	0.1587374860430344	No data	0.369470974304071	No data	No data	CD86 molecule
AHI1	0.4359884809110496	0.714584239251141	No data	No data	No data	0.051674117796987794	No data	No data	Abelson helper integration site 1
TAGAP	0.4218516417274684	0.689732297235866	No data	No data	No data	0.08363241804363043	No data	No data	T cell activation RhoGTPase activating protein
EOMES	0.4209952783490547	0.6824178036879909	No data	No data	No data	0.20174923437787484	No data	No data	eomesodermin
CYP24A1	0.41290954938418856	0.6730796132689606	No data	No data	No data	0.12250483930398902	No data	No data	cytochrome P450 family 24 subfamily A member 1
RGS1	0.405718583036067	0.6647090671369761	No data	No data	No data	0.05334388973806908	No data	No data	regulator of G protein signaling 1
TNFRSF1A	0.4001901297019514	0.5240723657562989	No data	No data	No data	0.14363633189229313	No data	No data	TNF receptor superfamily member 1A
MYC	0.39902885090401413	0.6521103120430068	No data	No data	No data	0.08523696391512936	No data	No data	MYC proto-oncogene, bHLH transcription factor
STAT4	0.3938379968742742	0.6415912935688136	No data	No data	No data	0.1248461189734948	No data	No data	signal transducer and activator of transcription 4
ELMO1	0.39178685484187215	0.6427878169303317	No data	No data	No data	0.03343619386863916	No data	No data	engulfment and cell motility 1
JAZF1	0.3894969994415386	0.640692988366038	No data	No data	No data	No data	No data	No data	JAZF zinc finger 1
GPR65	0.38807075376653727	0.6371310609346956	No data	No data	No data	0.024317231904464845	No data	No data	G protein-coupled receptor 65
CBLB	0.3799042655454521	0.6249136695130149	No data	No data	No data	No data	No data	No data	Cbl proto-oncogene B
IL22RA2	0.37237365318860993	0.6020156075819625	No data	No data	No data	0.21021552853602812	No data	No data	interleukin 22 receptor subunit alpha 2
PDCD1	0.3723479028452769	0.607930797611621	No data	No data	No data	0.09106458075326894	No data	No data	programmed cell death 1
IL12A	0.3716118704874858	0.6089678213643609	No data	No data	No data	0.04610975891154429	No data	No data	interleukin 12A
MMEL1	0.3712120834674067	0.6018163983325462	No data	No data	No data	0.1759858337286041	No data	No data	membrane metalloendopeptidase like 1
ZNF438	0.37020155987297815	0.6074336284443033	No data	No data	No data	0.030396539880581056	No data	No data	zinc finger protein 438
LBH	0.36585990521925865	0.6018117632082685	No data	No data	No data	No data	No data	No data	LBH regulator of WNT signaling pathway
ZPLD1	0.3644046519148269	0.5994179820243755	No data	No data	No data	No data	No data	No data	zona pellucida like domain containing 1
INAVA	0.3573881241579211	0.5869644304545641	No data	No data	No data	0.01823792392834863	No data	No data	innate immunity activator
VMP1	0.3544312889647808	0.5830125572799334	No data	No data	No data	No data	No data	No data	vacuole membrane protein 1
TNFSF14	0.3534396733673272	0.5653256723409078	No data	0.06079307976116211	No data	0.03858671868173762	No data	No data	TNF superfamily member 14
STAT3	0.3526667686666692	0.5697441860885367	No data	No data	No data	0.20731738573004835	No data	No data	signal transducer and activator of transcription 3
IRF8	0.3471454109061421	0.5638051995900206	No data	No data	No data	0.14445283045544263	No data	No data	interferon regulatory factor 8
RREB1	0.34357922121171564	0.5651617298573062	No data	No data	No data	No data	No data	No data	ras responsive element binding protein 1
HHEX	0.34256103853861103	0.562878965876206	No data	No data	No data	0.012158615952232422	No data	No data	hematopoietically expressed homeobox
