symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
DRD2	0.7047552340179697	0.666761689256073	No data	0.9891584386538719	No data	0.15389931333470339	No data	No data	dopamine receptor D2
TCF4	0.4329501573114112	0.7076570917049839	No data	No data	No data	0.09026083647872539	No data	No data	transcription factor 4
LRFN5	0.40417554060291955	0.6568589822706976	No data	No data	No data	0.15958183437305054	No data	No data	leucine rich repeat and fibronectin type III domain containing 5
NEGR1	0.40096875110654784	0.6530272463185582	No data	No data	No data	0.1307180490146715	No data	No data	neuronal growth regulator 1
TPH2	0.3952421533956582	0.607930797611621	No data	No data	No data	0.8442506552316789	No data	No data	tryptophan hydroxylase 2
DCC	0.39101969770357875	0.6418298670892659	No data	No data	No data	0.02735688589252295	No data	No data	DCC netrin 1 receptor
CHRM2	0.3745308567942446	0.607930797611621	No data	No data	No data	0.16288045050501793	No data	No data	cholinergic receptor muscarinic 2
VRK2	0.36407129788946113	0.5988696399652539	No data	No data	No data	No data	No data	No data	VRK serine/threonine kinase 2
SORCS3	0.35459461938514314	0.5822173445234236	No data	No data	No data	0.021277577916406734	No data	No data	sortilin related VPS10 domain containing receptor 3
GRM5	0.3505732156200297	0.5309895869523106	No data	0.1587374860430344	No data	0.2696562504101031	No data	No data	glutamate metabotropic receptor 5
KCNG2	0.3413219372794766	0.5614486691913434	No data	No data	No data	No data	No data	No data	potassium voltage-gated channel modifier subfamily G member 2
ACTL8	0.3264084520650005	0.5369171184407207	No data	No data	No data	No data	No data	No data	actin like 8
ESR2	0.3191565261170174	0.5181870251192393	No data	No data	No data	0.13602451596560022	No data	No data	estrogen receptor 2
MEGF11	0.3157653413348767	0.5194100094540771	No data	No data	No data	No data	No data	No data	multiple EGF like domains 11
FHIT	0.3153521600141793	0.5169909999958359	No data	No data	No data	0.034787151196664985	No data	No data	fragile histidine triad diadenosine triphosphatase
AGBL4	0.31064488575260457	0.5109872488333141	No data	No data	No data	No data	No data	No data	AGBL carboxypeptidase 4
PCLO	0.3084781868942386	0.4848270663927405	No data	No data	No data	0.4519225468545313	No data	No data	piccolo presynaptic cytomatrix protein
SEMA6D	0.30436351894752384	0.5006548774026212	No data	No data	No data	No data	No data	No data	semaphorin 6D
NCAM1	0.3017683263996991	0.4914348633275873	No data	No data	No data	0.09902238789763922	No data	No data	neural cell adhesion molecule 1
CELF4	0.29984874181062404	0.49322841183345273	No data	No data	No data	No data	No data	No data	CUGBP Elav-like family member 4
WNT7B	0.2942661851856828	0.48404553008626466	No data	No data	No data	No data	No data	No data	Wnt family member 7B
TMEM106B	0.29418065334412	0.4839048367015919	No data	No data	No data	No data	No data	No data	transmembrane protein 106B
ERBB4	0.28696096580533664	0.46998989769657284	No data	No data	No data	0.04078202433977958	No data	No data	erb-b2 receptor tyrosine kinase 4
KLF7	0.2795202170375037	0.45978953218960994	No data	No data	No data	No data	No data	No data	Kruppel like factor 7
FOXP2	0.27931840490144916	0.45252830049697435	No data	No data	No data	0.13858532106094773	No data	No data	forkhead box P2
PDE4B	0.27472692653522596	0.40678714274177363	No data	0.1473387835878165	No data	0.3727392589822852	No data	No data	phosphodiesterase 4B
B3GLCT	0.2727493510240353	0.4486519717303124	No data	No data	No data	No data	No data	No data	beta 3-glucosyltransferase
FES	0.2667571987055628	0.4387953361691369	No data	No data	No data	No data	No data	No data	FES proto-oncogene, tyrosine kinase
AREL1	0.2635137184866802	0.43346005749658856	No data	No data	No data	No data	No data	No data	apoptosis resistant E3 ubiquitin protein ligase 1
METTL9	0.26122670134907133	0.429698087965527	No data	No data	No data	No data	No data	No data	methyltransferase like 9
RBMS3	0.2580119685523095	0.42441009661948637	No data	No data	No data	No data	No data	No data	RNA binding motif single stranded interacting protein 3
FAM120A	0.2554642860921296	0.4202193524259219	No data	No data	No data	No data	No data	No data	family with sequence similarity 120A
PPARA	0.24922638500746508	0.40738743813992745	No data	No data	No data	0.05142081329798295	No data	No data	peroxisome proliferator activated receptor alpha
ACVR1B	0.24643825640648273	0.4053722189674634	No data	No data	No data	No data	No data	No data	activin A receptor type 1B
CCDC68	0.2389609519424525	0.3930726208990544	No data	No data	No data	No data	No data	No data	coiled-coil domain containing 68
ZSCAN31	0.23847776287888742	0.3922778115795342	No data	No data	No data	No data	No data	No data	zinc finger and SCAN domain containing 31
CTTNBP2	0.23153964605544505	0.38086513623770224	No data	No data	No data	No data	No data	No data	cortactin binding protein 2
AMPH	0.22676470724004016	0.3680797302149819	No data	No data	No data	0.0986198849458852	No data	No data	amphiphysin
HS6ST3	0.22479486199430693	0.36977047860950446	No data	No data	No data	No data	No data	No data	heparan sulfate 6-O-sulfotransferase 3
ASTN2	0.22271925405983456	0.3663562611646459	No data	No data	No data	No data	No data	No data	astrotactin 2
FAM172A	0.21628472187084136	0.35577194430773956	No data	No data	No data	No data	No data	No data	family with sequence similarity 172 member A
ERCC4	0.20796367590177023	0.3420844555314479	No data	No data	No data	No data	No data	No data	ERCC excision repair 4, endonuclease catalytic subunit
ELAVL4	0.20174324041438	0.3318523114916518	No data	No data	No data	No data	No data	No data	ELAV like RNA binding protein 4
EYS	0.200532037724367	0.3298599750369575	No data	No data	No data	No data	No data	No data	eyes shut homolog
BTN3A2	0.1987851732375535	0.3257706540057649	No data	No data	No data	0.024317231904464845	No data	No data	butyrophilin subfamily 3 member A2
TRAF3	0.1987488384345163	0.32692674760900625	No data	No data	No data	No data	No data	No data	TNF receptor associated factor 3
