symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
CACNA1A	0.7913736213027883	0.9121055461169688	No data	No data	No data	0.4082407038984164	No data	No data	calcium voltage-gated channel subunit alpha1 A
SCN1A	0.7855476073234751	0.8812595980320942	No data	No data	No data	0.20419329414059872	No data	0.27204903193120045	sodium voltage-gated channel alpha subunit 1
ATP1A2	0.7821021023896447	0.8780289921613169	No data	No data	No data	0.25300479374021023	No data	No data	ATPase Na+/K+ transporting subunit alpha 2
NOTCH3	0.4300549249342548	0.7008091139133965	No data	No data	No data	0.13197164398152275	No data	No data	notch receptor 3
PRRT2	0.3764818558852791	0.607930797611621	No data	No data	No data	0.22706535769180505	No data	No data	proline rich transmembrane protein 2
IRAG1	0.336613825468061	0.5537041827630981	No data	No data	No data	No data	No data	No data	inositol 1,4,5-triphosphate receptor associated 1
FHL5	0.275812366210421	0.45369039912767306	No data	No data	No data	No data	No data	No data	four and a half LIM domains 5
UFL1	0.2358071136724328	0.38788479642559426	No data	No data	No data	No data	No data	No data	UFM1 specific ligase 1
STAT6	0.16857091815459316	0.2772863602516241	No data	No data	No data	No data	No data	No data	signal transducer and activator of transcription 6
LRP1	0.14813053176497523	0.24366347674264233	No data	No data	No data	No data	No data	No data	LDL receptor related protein 1
DGUOK	0.1478319418738807	0.24317231904464845	No data	No data	No data	No data	No data	No data	deoxyguanosine kinase
LYVE1	0.10260109568676413	0.16877101158528776	No data	No data	No data	No data	No data	No data	lymphatic vessel endothelial hyaluronan receptor 1
RNF141	0.045832397835407275	0.07539081424311633	No data	No data	No data	No data	No data	No data	ring finger protein 141
