symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
HLA-DQA1	0.16389134299492686	0.2683729528534066	No data	No data	No data	0.024317231904464845	No data	No data	major histocompatibility complex, class II, DQ alpha 1
TNXB	0.10313707264783155	0.16965265298785054	No data	No data	No data	No data	No data	No data	tenascin XB
ATF6B	0.07535613527909049	0.12395512050901565	No data	No data	No data	No data	No data	No data	activating transcription factor 6 beta
TSBP1	0.05221017107561504	0.08588176693915367	No data	No data	No data	No data	No data	No data	testis expressed basic protein 1
VWA7	0.0482367672369954	0.07934581933750237	No data	No data	No data	No data	No data	No data	von Willebrand factor A domain containing 7
BTNL2	0.03317039062026406	0.05456277383968808	No data	No data	No data	No data	No data	No data	butyrophilin like 2
ABHD16A	0.03226094774781547	0.05306680937132831	No data	No data	No data	No data	No data	No data	abhydrolase domain containing 16A, phospholipase
PRRC2A	0.028951558763070814	0.04762311578359389	No data	No data	No data	No data	No data	No data	proline rich coiled-coil 2A
CLIC1	0.028779631142810104	0.047340307903262505	No data	No data	No data	No data	No data	No data	chloride intracellular channel 1
SLC44A4	0.02818532431300322	0.04636271829579116	No data	No data	No data	No data	No data	No data	solute carrier family 44 member 4
BAG6	0.026250399419732492	0.04317991377120963	No data	No data	No data	No data	No data	No data	BAG cochaperone 6
VARS1	0.02450718355353167	0.040312456039097035	No data	No data	No data	No data	No data	No data	valyl-tRNA synthetase 1
HLA-DRA	0.018627941278852964	0.03064154892635246	No data	No data	No data	No data	No data	No data	major histocompatibility complex, class II, DR alpha
