symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
DRD2	0.6539253870384651	0.4788076614945473	No data	0.9469307670681231	No data	0.40612160941017844	No data	No data	dopamine receptor D2
GRIK3	0.5377872404533817	0.19823470522638673	No data	0.8350604983859629	No data	No data	No data	No data	glutamate ionotropic receptor kainate type subunit 3
PRTFDC1	0.3330714823194009	0.5462698269139702	No data	No data	No data	0.032149407013694564	No data	No data	phosphoribosyl transferase domain containing 1
ASXL3	0.32790402769110566	0.5387692959843559	No data	No data	No data	0.012158615952232422	No data	No data	ASXL transcriptional regulator 3
TENM3	0.32466752580430674	0.5340534269358103	No data	No data	No data	No data	No data	No data	teneurin transmembrane protein 3
TLL1	0.3240897576913689	0.5331030422617524	No data	No data	No data	No data	No data	No data	tolloid like 1
GRM5	0.3207930137140164	0.5217166526291762	No data	No data	No data	0.11926992243654778	No data	No data	glutamate metabotropic receptor 5
PAX6	0.3184417200781775	0.5232045184634558	No data	No data	No data	0.012158615952232422	No data	No data	paired box 6
PTCH1	0.3178754068767361	0.5222729762490027	No data	No data	No data	0.012158615952232422	No data	No data	patched 1
XKR6	0.314800132869249	0.5178223148193921	No data	No data	No data	No data	No data	No data	XK related 6
CELF4	0.306827626373426	0.5016684930228522	No data	No data	No data	0.06079307976116211	No data	No data	CUGBP Elav-like family member 4
ARPP21	0.30510379348412603	0.5003527458099609	No data	No data	No data	0.030396539880581056	No data	No data	cAMP regulated phosphoprotein 21
GRM3	0.30266357483557604	0.48266032848020574	No data	0.06079307976116211	No data	No data	No data	No data	glutamate metabotropic receptor 3
DCC	0.300890566892369	0.4934223079898842	No data	No data	No data	0.030396539880581056	No data	No data	DCC netrin 1 receptor
CTTNBP2	0.30033740392932545	0.49403222391308615	No data	No data	No data	No data	No data	No data	cortactin binding protein 2
GLIS3	0.2997492162526611	0.493064699847888	No data	No data	No data	No data	No data	No data	GLIS family zinc finger 3
BAIAP2	0.2976471518783672	0.4896069635684426	No data	No data	No data	No data	No data	No data	BAR/IMD domain containing adaptor protein 2
ARNTL	0.29667443163423896	0.4880069126285169	No data	No data	No data	No data	No data	No data	aryl hydrocarbon receptor nuclear translocator like
CCSER1	0.29166832690884725	0.47977225048430705	No data	No data	No data	No data	No data	No data	coiled-coil serine rich protein 1
ZNF804A	0.290647055462915	0.4780923365040572	No data	No data	No data	No data	No data	No data	zinc finger protein 804A
TMEM106B	0.2897245385712873	0.47657486626689866	No data	No data	No data	No data	No data	No data	transmembrane protein 106B
TLR4	0.28537552951192835	0.46736931015606137	No data	No data	No data	0.04103532883878443	No data	No data	toll like receptor 4
BARHL2	0.2830602693207634	0.4656126493884219	No data	No data	No data	No data	No data	No data	BarH like homeobox 2
BBX	0.2794873061956275	0.4597353963537459	No data	No data	No data	No data	No data	No data	BBX high mobility group box domain containing
GRM8	0.27863343065827445	0.4583308359322182	No data	No data	No data	No data	No data	No data	glutamate metabotropic receptor 8
LINGO1	0.27568687496258415	0.45348397555392117	No data	No data	No data	No data	No data	No data	leucine rich repeat and Ig domain containing 1
ZNF184	0.2731998374473073	0.4493929876897635	No data	No data	No data	No data	No data	No data	zinc finger protein 184
ZDHHC14	0.2717455483181351	0.4470007925009596	No data	No data	No data	No data	No data	No data	zinc finger DHHC-type palmitoyltransferase 14
CSMD1	0.2706629270096692	0.4452199626553272	No data	No data	No data	No data	No data	No data	CUB and Sushi multiple domains 1
SOX6	0.26748857277593224	0.4399983909793929	No data	No data	No data	No data	No data	No data	SRY-box transcription factor 6
PLCL2	0.2656904600724602	0.43704063211845634	No data	No data	No data	No data	No data	No data	phospholipase C like 2
MYCN	0.2608373885589253	0.42905769798746446	No data	No data	No data	No data	No data	No data	MYCN proto-oncogene, bHLH transcription factor
PRKN	0.2435839797155134	0.39915732355087225	No data	No data	No data	0.030396539880581056	No data	No data	parkin RBR E3 ubiquitin protein ligase
FAM120A	0.24098930920837525	0.39640911458203865	No data	No data	No data	No data	No data	No data	family with sequence similarity 120A
NR4A2	0.2367429005576837	0.38608047540776735	No data	No data	No data	0.06687238773727831	No data	No data	nuclear receptor subfamily 4 group A member 2
SIPA1L1	0.23581071995025887	0.3878907284787823	No data	No data	No data	No data	No data	No data	signal induced proliferation associated 1 like 1
DNM3	0.22660683073495438	0.37275102959946277	No data	No data	No data	No data	No data	No data	dynamin 3
FAM120AOS	0.22454994717504342	0.36936761232895793	No data	No data	No data	No data	No data	No data	family with sequence similarity 120A opposite strand
SOX5	0.22427546987264885	0.36891611800843177	No data	No data	No data	No data	No data	No data	SRY-box transcription factor 5
MYO1H	0.2215112895851869	0.3643692513283399	No data	No data	No data	No data	No data	No data	myosin IH
ATF4	0.2206075411254726	0.3628826537365336	No data	No data	No data	No data	No data	No data	activating transcription factor 4
HIVEP1	0.21189863625886846	0.34855716652512925	No data	No data	No data	No data	No data	No data	HIVEP zinc finger 1
FBXL17	0.21073221786707122	0.3466384968403892	No data	No data	No data	No data	No data	No data	F-box and leucine rich repeat protein 17
SLC7A11	0.2058750490198087	0.3386488229065387	No data	No data	No data	No data	No data	No data	solute carrier family 7 member 11
MAD1L1	0.20358127031228762	0.33084818957222156	No data	No data	No data	0.0805508306835398	No data	No data	mitotic arrest deficient 1 like 1
ELAVL2	0.2017961973513749	0.33193942163182394	No data	No data	No data	No data	No data	No data	ELAV like RNA binding protein 2
FANCL	0.18395333330128422	0.3025892651334363	No data	No data	No data	No data	No data	No data	FA complementation group L
