symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
SLC6A4	0.6906727643928474	0.48634463808929684	No data	0.9915181536354248	No data	0.7596910592855542	No data	0.48943326428049594	solute carrier family 6 member 4
DRD2	0.615500740130601	0.48542701755365153	No data	0.8801973880479003	No data	0.24563131516890674	No data	0.35223510413617326	dopamine receptor D2
GRIA1	0.5289084764335132	0.218276034441104	No data	0.8071970034954302	No data	0.012158615952232422	No data	0.36433292700864445	glutamate ionotropic receptor AMPA type subunit 1
GRIK3	0.5216753091189636	0.1970722704107784	No data	0.8071970034954302	No data	0.07430399902073101	No data	No data	glutamate ionotropic receptor kainate type subunit 3
TCF4	0.42055693249426046	0.6917842197607085	No data	No data	No data	No data	No data	No data	transcription factor 4
SORCS3	0.4157854100300269	0.6839354276235451	No data	No data	No data	No data	No data	No data	sortilin related VPS10 domain containing receptor 3
CACNA2D1	0.37630262796818453	0.04423380628120489	No data	0.607930797611621	No data	No data	No data	No data	calcium voltage-gated channel auxiliary subunit alpha2delta 1
GRIN2A	0.37129611109495875	0.42253201069389473	No data	0.4936800240672212	No data	No data	No data	0.5148397055306817	glutamate ionotropic receptor NMDA type subunit 2A
SOX5	0.3699139140483846	0.6084802998987157	No data	No data	No data	No data	No data	No data	SRY-box transcription factor 5
MEF2C	0.36699281371157527	0.6036753116528735	No data	No data	No data	No data	No data	No data	myocyte enhancer factor 2C
CACNA1C	0.3655884907087776	0.5834090576224175	No data	No data	No data	0.07295169571339453	No data	0.3267020106364852	calcium voltage-gated channel subunit alpha1 C
CACNA1I	0.3561433205997863	0.5858287193196451	No data	No data	No data	No data	No data	No data	calcium voltage-gated channel subunit alpha1 I
SNX19	0.3341104371680569	0.5495862990996297	No data	No data	No data	No data	No data	No data	sorting nexin 19
IMMP2L	0.3327240817219442	0.5473058496610436	No data	No data	No data	No data	No data	No data	inner mitochondrial membrane peptidase subunit 2
HIVEP1	0.3326218692162316	0.547137717850459	No data	No data	No data	No data	No data	No data	HIVEP zinc finger 1
CDK20	0.3326218692162316	0.547137717850459	No data	No data	No data	No data	No data	No data	cyclin dependent kinase 20
VRK2	0.3323062059998384	0.5466184758287793	No data	No data	No data	No data	No data	No data	VRK serine/threonine kinase 2
NPAS3	0.32903524087732566	0.5412379865767734	No data	No data	No data	No data	No data	No data	neuronal PAS domain protein 3
RGS6	0.32767016650897746	0.5389925428951714	No data	No data	No data	No data	No data	No data	regulator of G protein signaling 6
NAA11	0.3253244429499495	0.5351340057586361	No data	No data	No data	No data	No data	No data	N-alpha-acetyltransferase 11, NatA catalytic subunit
SNAP91	0.324507179072033	0.5337896687368447	No data	No data	No data	No data	No data	No data	synaptosome associated protein 91
BCL11B	0.3238530815969124	0.5327137280579215	No data	No data	No data	No data	No data	No data	BAF chromatin remodeling complex subunit BCL11B
SHISA9	0.32202012916562595	0.5296986604902187	No data	No data	No data	No data	No data	No data	shisa family member 9
PDE4B	0.3201970703634276	0.526699867191112	No data	No data	No data	No data	No data	No data	phosphodiesterase 4B
ESR2	0.31740914465222925	0.5038472248856353	No data	No data	No data	0.030396539880581056	No data	0.3518247508477854	estrogen receptor 2
GRM3	0.31663947956033967	0.49469471754568484	No data	No data	No data	No data	No data	0.5230636582650388	glutamate metabotropic receptor 3
