symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
APOE	0.7887244992759324	0.9685220065911816	No data	0.8237928135612166	No data	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.26700204627896834	No data	No data	No data	No data	No data	0.9982658323711068	0.017251532679053088	0.2690701710229035	No data	0	1	0	0	0	0	No data	0.1554490518858096	-0.9832509398565298	0	-1	No data	0	0.75	-1
CR1	0.6014849823480939	0.9453858927574877	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8802246116951253	No data	No data	0.5	1	0	0	0	0	0	No data	0.06678474682225466	-0.7464038557294722	0	No data	No data	0	0.5	0
TREM2	0.5963912323637249	0.9315925281426792	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.988515265190276	No data	No data	No data	0	1	0	0	0	0	No data	0.8206918107939154	-0.6993547291119451	0	No data	No data	0	0.5	0
CLU	0.5917601541317293	0.9239473705627631	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9776905915588967	0.02558786498941004	No data	0.75	0	1	0	0	0	0	No data	-0.10022921441967081	-0.9206506011358581	0	No data	No data	0	0.5	-1
SORL1	0.6983534450758582	0.8922357039051942	0.39314961120901953	0.31612401475804297	0.3039653988058105	No data	0.3039653988058105	0.432728519133272	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9664569648370464	0.04768036208430157	0.5912312763405619	No data	1	1	0	0	0	0.6612450000000003	No data	-0.5793915399041467	-0.830337412348568	0	No data	No data	0	-1	-1
ABCA7	0.7080022882450059	0.8894396693229376	No data	0.6486341797701964	No data	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9335309794665587	No data	No data	No data	1	0	0	0	0	0	No data	0.19264430089601992	-0.23767649866384855	0	No data	No data	0	0.5	0
ACE	0.6501604261133539	0.8890769398219277	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.9362591128662321	No data	No data	1	0	1	1	1	1	0.17304999999999993	No data	0.21014794748906018	-0.9741743606474174	0	-1	No data	0	0.5	0
PLCG2	0.5636823415578871	0.8880143673339562	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7840056476033511	No data	No data	No data	0	0	0	1	0	0.7075099999999999	No data	-0.7830798082933945	-0.8159385100079075	0	No data	No data	0	0.5	0
APP	0.8591482572738842	0.8759572701525126	No data	0.9304181119457344	0.607930797611621	No data	0.607930797611621	0.9580964074361958	0.607930797611621	No data	No data	No data	No data	No data	0.9129282017778076	No data	No data	No data	No data	0.607930797611621	No data	0.9944092879789245	No data	0.39185699387051065	1	0	1	1	1	1	0.8311700000000002	No data	-0.6030423004792664	-0.8990588187380844	0	No data	No data	0	-1	-1
APH1B	0.6254990654829098	0.8592507624845	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6432229884302734	No data	No data	No data	No data	No data	No data	0.3978880669408309	No data	No data	0.75	0	0	1	1	0	0.20233500000000007	No data	0.779641591998333	0	0	No data	No data	0	1	-1
GRN	0.6021560820704329	0.8571215398698956	No data	0.4377101742803672	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9301104755873144	No data	0.26262610456822033	No data	0	1	1	1	0	0	0	-0.5191706605542821	-0.9474137607960555	0	No data	No data	No data	-1	-1
MS4A6A	0.5252058800586734	0.8526395008845237	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22568582600919812	No data	No data	No data	0	0	0	0	0	0	No data	0.9820795999166494	No data	0	No data	No data	0	-1	-1
SLC24A4	0.5190898803636703	0.8439479822856049	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19830909615851444	No data	No data	No data	1	0	0	0	0	0.6945349999999998	No data	-0.04980204209210248	-0.669363366080731	0	No data	No data	0	0.75	0.5
CLNK	0.5112477916755737	0.8401363353123142	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01654922726831635	No data	No data	No data	0	0	0	0	0	0	No data	0.8019379037299437	-0.7141460918617228	0	No data	No data	0	0.5	0.5
NCK2	0.561915342791209	0.8254366182561168	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3903072916471526	No data	No data	No data	No data	No data	0.05825833869287356	No data	No data	No data	0	0	0	0	0	0.80263	No data	-0.4434257136903521	No data	0	No data	No data	-0.2105274999999999	-1	-1
EPHA1	0.5885173292825745	0.8216548695364114	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5531980003521402	No data	No data	No data	No data	No data	0.36503770946120456	No data	No data	1	1	0	1	1	0	0.4108600000000003	No data	0.16805584496770165	-0.07111921332956656	0	-1	No data	0	0.75	0
PICALM	0.5207169082845567	0.8104310906754748	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9221736760527455	No data	No data	No data	0	0	0	0	0	0.8849699999999998	No data	-0.8445509481141904	-0.8384255461569406	0	No data	No data	0	-1	-1
CD33	0.5855048592781167	0.8008718238429438	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5688988374835828	No data	No data	No data	No data	No data	0.9006525494371517	No data	No data	1	1	0	0	0	0	0	No data	0.47009793707022296	-0.8066207817599582	0	No data	No data	0	0.5	0
BIN1	0.5160906593085262	0.8004181943569714	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9702350368200926	No data	No data	No data	0	0	0	0	0	0.738615	No data	-0.6690977286934778	-0.80519892451376	0	No data	No data	0	0.75	-1
CD2AP	0.5129533446771234	0.7996865447364638	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.881655142377714	No data	No data	No data	1	0	0	0	0	0.31142499999999984	No data	-0.6106480516774329	-0.8137665182053466	0	No data	No data	0	-1	-1
NECTIN2	0.5109792073364905	0.7994016705228131	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8224065061913397	No data	No data	No data	1	0	0	0	0	0	No data	-0.7234840591789956	0	0	No data	No data	0	-1	-1
CTSB	0.5085834295820207	0.7940888674810204	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8498451172818627	No data	No data	No data	0	1	1	1	1	0	No data	0.48145446968118355	-0.20891838739899526	0	No data	No data	0	-1	-1
SHARPIN	0.49117895691030683	0.7904129550211978	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3507826470908124	No data	No data	No data	1	0	0	1	0	0	No data	0.08595540737653673	-0.7749150456528103	0	No data	No data	0	-1	-1
CASS4	0.482304358847382	0.7847676176823823	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17172859511205157	No data	No data	No data	0	0	0	0	0	0	No data	-0.5654302979787456	No data	0	No data	No data	0	0.5	0
PILRA	0.49552307247251415	0.7826735024421141	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6484865034257269	No data	No data	No data	1	1	0	0	0	No data	No data	0.6854553031881643	-0.8465029513161876	0	No data	No data	-0.01815250000000006	-1	-1
HS3ST1	0.4663621567825424	0.7516410763092198	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3097851854591097	No data	No data	No data	0	0	0	0	0	0.4136800000000001	No data	0.24807251510731398	No data	0	No data	No data	0	0.5	0
PTK2B	0.47216631843788187	0.7425446637423523	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6826615406971775	No data	No data	0.5	1	0	1	1	1	0.7720500000000001	1	-0.737132735986664	0	0	No data	No data	0	0.5	-1
ABI3	0.4746467273358938	0.7357216776587234	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9007229482115224	No data	No data	No data	0	0	0	0	0	0.22130999999999973	No data	0.16190873098562197	No data	0	No data	No data	0	0.5	0
RASA1	0.44988616621281363	0.7356801568276428	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08696850680794484	No data	No data	No data	0	0	0	0	0	0.756445	No data	-0.9583246509689518	-0.9243331061423138	0	No data	No data	0	0.5	-1
MOB3B	0.44589557339767166	0.7334643600052217	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.907405	No data	0.20441758699729107	No data	0	No data	No data	-0.5254625	0.5	0
RIN3	0.4671669220419194	0.730291243699163	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7632573925273032	No data	No data	No data	0	0	0	0	0	0	No data	-0.011877474473848681	-0.22578539780377826	0	No data	No data	0	0.5	0
IL34	0.45462784245511945	0.7264557047503369	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42745149572223157	No data	No data	No data	0	1	0	0	0	0	No data	-0.4073765367784955	-0.6091568777485981	0	No data	No data	No data	0.5	0
ZNF652	0.44739527710184224	0.7233166946709872	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25229128100882275	No data	No data	No data	0	0	0	0	0	0.5462049999999998	No data	-0.6140862679724943	0	0	No data	No data	0	-1	0
ADAM10	0.6729193260835565	0.7224088894289373	No data	0.381307705835289	No data	No data	0.607930797611621	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.918082510827161	0.02040312242200407	No data	No data	1	0	1	1	0	0.8061500000000003	0	-0.9685351114815587	-0.8651734558368109	0	No data	No data	0	-1	-1
RASGEF1C	0.4381069550443182	0.7185174861709605	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04270376113889632	No data	No data	No data	0	0	0	0	0	0.7317599999999999	No data	-0.11054386330485522	No data	0	No data	No data	-0.22746749999999985	1	0.5
COX7C	0.5291280252415941	0.7156016317794288	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	0.12559914035570807	No data	No data	No data	0	0	0	0	0	0.2857149999999997	No data	0.2830798082933945	-0.5351156226523968	0	No data	No data	No data	0.5	-1
APOC1	0.45986410162058955	0.7149628746719389	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8295730717261567	No data	No data	No data	0	1	0	0	0	0	No data	0.5903313190247967	-0.719266083496701	0	No data	No data	No data	1	-1
TMEM106B	0.45432741196661686	0.7024706313238694	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8972692574322217	No data	No data	No data	0	0	0	0	0	0.7992699999999999	No data	-0.371014794748906	-0.3002775963334284	0	No data	No data	No data	-1	-1
TMEM121	0.4257642032924881	0.7003497848195696	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8589350000000003	No data	-0.2928735153156907	No data	0	No data	No data	No data	0.5	0
ATP8B4	0.4260638269787845	0.6928671505705237	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15950984923295153	No data	No data	No data	0	0	0	0	0	0.32047000000000025	No data	0.22608876849343607	No data	0	No data	No data	-0.26174500000000017	1	0
OARD1	0.4231455944130873	0.6913665898417223	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09351564420655048	No data	No data	No data	0	0	0	0	0	0.7697350000000001	No data	0.48499687434882266	No data	0	No data	No data	No data	-1	-1
TOMM40	0.44235352707093134	0.6873799295755477	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8051606636150073	No data	No data	No data	0	0	0	0	0	0.6537399999999998	No data	-0.8807043133986248	-0.6797644396463925	-1	No data	No data	0	-1	-1
INPP5D	0.44152686991234424	0.6820258442520573	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.885046604980143	No data	No data	0.75	0	0	0	0	0	0.3902450000000002	No data	-0.7472390081266931	-0.8685203037113095	No data	No data	No data	0	0.5	0
FBXL22	0.4113297224929691	0.6766061599592602	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.047619999999999864	No data	0.8682017086893103	0	0	No data	No data	0	0.5	0
CEP170	0.4114366316984864	0.6757152338551019	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021335672585731547	No data	No data	0	0	0	0	0	0.4602249999999998	No data	-0.8960200041675349	No data	0	No data	No data	0	0.75	-1
PRSS8	0.4111684212998842	0.6742215174363948	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04238628616681025	No data	No data	No data	1	1	1	1	0	0	No data	-0.27724525942904776	-0.6551297641456405	0	No data	No data	No data	0.5	0
ABCA1	0.43690046116639525	0.6728046198336383	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9172692715581234	No data	No data	1	1	0	0	0	0	0.7655900000000002	No data	-0.5154198791414878	-0.9516484504204755	0	No data	No data	0	-1	-1
IDUA	0.39931186031847715	0.6533256183842294	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07024141703085836	No data	No data	No data	0	0	0	0	0	0	No data	0.31110648051677425	-0.9827206453386574	0	No data	No data	No data	-1	0
RABEP1	0.4010892800369465	0.6471166883891872	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21052642783132422	0.0953279967108872	No data	No data	0	0	0	0	0	0.814385	No data	-0.802146280475099	No data	0	No data	No data	0	-1	-1
LILRA5	0.39205215978426167	0.6433762061145382	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	1	0	0	0	No data	No data	0.6050218795582414	0	0	No data	No data	-0.07190750000000001	0.5	0
GLIS3	0.38200769571067456	0.6256297365988386	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.054878316319807614	No data	No data	No data	0	0	0	0	0	0.21505500000000027	No data	-0.21525317774536357	-0.7065079334132873	0	No data	No data	0	0.5	0
LILRB2	0.38556343053452596	0.6215514035711014	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25342325261977955	No data	No data	No data	1	0	0	0	0	0	No data	0.25557407793290277	0	0	No data	No data	-0.6189274999999999	0.75	0
MS4A6E	0.37451865637094645	0.6141634111077263	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03782680518472309	No data	No data	No data	0	0	0	0	0	0	No data	0.45759533236090855	No data	0	No data	No data	-0.4557825000000001	1	0.5
CNTNAP2	0.38338377682519126	0.6140287309279526	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12488269844875838	0.009227272432312071	0.2743591689621246	No data	0	0	0	0	0	0.688205	No data	-0.4379037299437383	-0.330409042874191	0	No data	No data	0	0.75	0.5
MINDY2	0.3730768647433708	0.6117833298767748	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037995674850726316	No data	No data	No data	0	0	0	0	0	0.09823000000000022	No data	-0.26234632215044806	-0.5499200896018305	0	No data	No data	0	-1	-1
TSPOAP1	0.3740769550037889	0.6094703501023359	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11715672110814707	No data	No data	No data	0	0	0	0	0	0.1060850000000002	No data	-0.6772244217545322	-0.19191867970797666	0	No data	No data	0	0.5	-1
ZFHX3	0.3761989320231212	0.6090332438110715	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13967716684125003	0.12607087829013	No data	No data	0	0	0	0	0	0.7380499999999998	No data	-0.9515524067514065	-0.8182309120562067	0	No data	-1	0	-1	0
ATP5F1C	0.37061157096330527	0.6012924204905883	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10909149293474533	0.11822433318737127	No data	No data	0	0	0	0	0	0.5637599999999999	No data	-0.12315065638674727	No data	0	No data	No data	No data	0.5	-1
LRRC25	0.3817992062951781	0.5951813313783074	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6569874355855588	No data	No data	No data	0	0	0	0	0	0	No data	-0.720358408001667	-0.8233413271137293	0	No data	No data	No data	0.75	0
