symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
MOB3B	0.5143609287483873	0.8460846707703543	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.907405	No data	0.20441758699729107	No data	0	No data	No data	-0.5254625	0.5	0
CFAP410	0.6171153138290103	0.8411298583689749	No data	0.19453785523571876	No data	No data	No data	No data	0.607930797611621	0.006079307976116211	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.5363617420295894	0	0	No data	No data	No data	-1	-1
C9orf72	0.6997443984585419	0.8086611553060179	No data	0.7719377803305579	0.607930797611621	No data	0.607930797611621	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6451000812754356	No data	No data	No data	0	0	0	0	0	0.9064450000000001	No data	0.02260887684934354	-0.885673939109945	0	No data	No data	No data	-1	-1
TBK1	0.8292550305455565	0.7959533052923274	No data	0.9401223703866959	0.8897742701710087	No data	0.607930797611621	0.9360722249447112	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02598049472500521	No data	No data	No data	0	0	1	1	0	0.7050750000000001	1	-0.6006459679099813	-0.917645443907171	0	-1	No data	0	-1	-1
KIF5A	0.7311576974174591	0.7815754470433176	No data	0.5201185712899424	No data	No data	0.607930797611621	0.9066612367713315	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07356469260098625	No data	No data	No data	1	0	0	0	0	0.8788750000000001	No data	-0.8525734528026672	-0.742561333656675	0	No data	No data	-0.2466075	1	0
SOD1	0.8789026636805929	0.7396254596633712	No data	0.9479924036946563	0.7599134970145264	No data	0.607930797611621	0.9927255579374482	0.607930797611621	0.8274613634158176	No data	No data	No data	No data	0.788199166070067	No data	No data	No data	No data	No data	No data	0.4099927223913805	No data	0.4594883156607406	1	0	0	0	1	1	0.1883099999999999	No data	0.08428839341529493	-0.9577674726301943	-1	No data	No data	0	0.5	-1
TNIP1	0.47236226185434327	0.7276901103457561	No data	0.19453785523571876	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.1666649999999997	No data	-0.6339862471348198	-0.9421435043774714	0	No data	No data	0	-1	-1
ATP23	0.4267036002584584	0.7018950214972652	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.024389999999999645	No data	0.3794540529276933	-0.6554331108209621	0	No data	No data	No data	0.5	0
MOBP	0.4040693111287126	0.6160288707616834	No data	0.19453785523571876	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.3516357574494686	0	0	No data	No data	0	1	0.5
OPCML	0.34956237007242263	0.5750035554141179	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.6893500000000004	No data	-0.40664721817045213	0	0	No data	No data	-0.27514749999999993	0.75	0.5
