symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
SLC39A8	0.4271627544951467	0.7026502953516122	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.4673900000000003	No data	-0.541987914148781	-0.9247102645357993	0	-1	No data	0	0.5	0
NMUR2	0.4138517011088242	0.6807546232806829	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	1	1	0	0	No data	0.1747239008126693	-0.2839467896498363	0	No data	No data	0	0.5	0.5
NCAM1	0.4066336221529442	0.6682735006917726	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	0.5	1	1	0	0	1	0.5163150000000002	No data	-0.9055011460720983	-0.30393197801176275	No data	No data	No data	0	0.5	0
CACNA1C	0.39610525409540154	0.6515630654863696	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7521050000000002	No data	-0.9779120650135444	-0.9657418232114862	0	-1	No data	-0.17329250000000015	0.5	0
PMFBP1	0.39582475167422804	0.651101660302958	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.23900812669306104	0	0	No data	No data	No data	0.5	0
CADM1	0.39561634178403415	0.6477191878707405	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	1	0	0	0	0	0.9363050000000002	No data	-0.5785580329235258	-0.3053352013645774	0	No data	No data	0	0.5	0
PTBP2	0.3898072850227593	0.6381637305981415	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	0	0	0	0	0	0.9811700000000002	No data	-0.8592415086476349	-0.764107499858408	0	No data	No data	-0.35028250000000016	-1	-1
CNTN4	0.3717150204540436	0.6100751388778026	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02735688589252295	No data	No data	No data	1	1	0	0	0	0.756335	No data	-0.47301521150239634	No data	0	No data	No data	-0.11306000000000012	0.5	0
NPAS3	0.35758193870469507	0.588195136863485	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6838149999999998	No data	-0.8768493436132527	-0.8254307870609742	0	No data	No data	0	0.5	0
RGS6	0.34916942175320603	0.5743571852667912	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7551000000000002	No data	-0.6284642633882058	-0.5716940165100484	0	No data	No data	-0.27040749999999997	0.5	0
ERCC4	0.34713250112205346	0.5710066054982469	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	1	1	0	0.30131000000000013	No data	-0.01927484892685971	-0.7998058740346825	0	No data	-1	No data	0.5	-1
MEIS2	0.34713250112205346	0.5710066054982469	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9790349999999997	No data	-0.906438841425297	-0.8853996389962199	0	No data	No data	-0.2243175000000001	0.5	0
VRK2	0.3478716608314229	0.5710066054982469	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	No data	0	0	1	1	0	0	No data	0.1595123984163367	No data	0	No data	No data	0	-1	-1
MAD1L1	0.34583310115449106	0.5688691912190766	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.04596000000000018	No data	0.0736611794123776	-0.7006201635130838	0	No data	No data	No data	-1	-1
LMAN2L	0.34423457501649724	0.5662397371031247	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5258600000000001	No data	0.44623879974994796	-0.4157884719002361	0	No data	No data	0	-1	-1
ZSWIM6	0.3409201640147268	0.5607877826787202	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8189300000000003	No data	-0.9945822046259637	-0.7848781660384915	0	No data	No data	-0.2633749999999999	-1	-1
BCL11B	0.33323430476910937	0.5481451278308117	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6700200000000003	No data	-0.782663054803084	-0.8417007939539917	0	No data	No data	0	0.75	0
NUF2	0.3250541593572828	0.534689409772171	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.24286309647843296	No data	-1	No data	No data	0	0.75	0
