symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
LMAN2L	0.5294811452100704	0.8673033745447389	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07305808360297657	No data	No data	No data	0	0	0	0	0	0.5258600000000001	No data	0.44623879974994796	-0.4157884719002361	0	No data	No data	0	-1	-1
THSD7A	0.5119152751489895	0.8390221023173505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	1	1	0	0	0	0.5232349999999997	No data	-0.8704938528860179	0	0	No data	No data	0	0.5	0
VRK2	0.5103437489188272	0.8335578331942395	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11837763586826287	No data	No data	No data	0	0	1	1	0	0	No data	0.1595123984163367	No data	0	No data	No data	0	-1	-1
NMUR2	0.49723611268036316	0.8163958216848266	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	1	1	0	0	No data	0.1747239008126693	-0.2839467896498363	0	No data	No data	0	0.5	0.5
MAD1L1	0.49962401412558294	0.8141776503561404	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15331829758676555	No data	No data	No data	0	0	0	0	0	0.04596000000000018	No data	0.0736611794123776	-0.7006201635130838	0	No data	No data	No data	-1	-1
ERCC4	0.49418168562514564	0.8128913481051432	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	1	1	0	0.30131000000000013	No data	-0.01927484892685971	-0.7998058740346825	0	No data	-1	No data	0.5	-1
FES	0.48587061512159413	0.7986123374145517	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	1	1	0	0.5316299999999998	No data	-0.08095436549281099	-0.9347941848828836	0	No data	-1	0	0.5	-1
SCN2A	0.7274482053431096	0.7959108019857111	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9955432011673593	No data	No data	No data	No data	No data	No data	0.09342714271628594	No data	No data	1	1	0	1	1	0	0.9027450000000001	1	-0.9605126067930819	-0.7880557324349885	0	No data	No data	-0.6907724999999999	1	0.5
CACNA1C	0.5497449177185011	0.7834066574194926	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	0.31027337273182026	No data	No data	1	1	0	1	1	0	0.7521050000000002	No data	-0.9779120650135444	-0.9657418232114862	0	-1	No data	-0.17329250000000015	0.5	0
NEGR1	0.47312175215489644	0.7730819449129557	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10334823559397559	No data	No data	No data	0	0	0	0	0	0.7033900000000003	No data	-0.8195457386955616	-0.7723740677670238	0	No data	No data	0	0.5	0
BCL11B	0.4671035163937513	0.7683498158488792	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6700200000000003	No data	-0.782663054803084	-0.8417007939539917	0	No data	No data	0	0.75	0
ADCY2	0.4691014889299596	0.7663197682159734	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10633121485433118	No data	No data	No data	0	0	1	1	0	0.7800199999999997	No data	-0.8110022921441967	0	0	No data	No data	0	0.75	0
