symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
TMEM106B	0.41499579382058965	0.5841788380138355	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8440825843413767	0.049945894887595245	0.264753862359861	No data	0	0	0	0	0	0.7992699999999999	No data	-0.371014794748906	-0.3002775963334284	0	No data	No data	No data	-1	-1
ERGIC1	0.24841845403839818	0.40862949370941604	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9482750000000003	No data	-0.5325067722442176	-0.30744733073070546	0	No data	No data	0	-1	-1
MOBP	0.24056568685574595	0.3867697999852013	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17884975987442744	No data	No data	No data	0	0	0	0	0	0	No data	0.3516357574494686	0	0	No data	No data	0	1	0.5
MOB3B	0.18945608727410718	0.3116408775775527	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.907405	No data	0.20441758699729107	No data	0	No data	No data	-0.5254625	0.5	0
SCFD1	0.15844147615404522	0.26062419732067293	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8052950000000003	No data	-0.8436132527609919	0	-1	No data	No data	0	-1	-1
RNF114	0.14679419209605837	0.24146529945969017	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.4956150000000001	No data	-0.1400291727443217	0	0	No data	No data	0	0.5	-1
C9orf72	0.17136291666094847	0.23701720466221746	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8891051884633567	0.018293476683897164	No data	No data	0	0	0	0	0	0.9064450000000001	No data	0.02260887684934354	-0.885673939109945	0	No data	No data	No data	-1	-1
UNC13A	0.13393016665579313	0.2108443631775832	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1775312416018507	0.026281312115890135	No data	No data	1	0	0	0	0	0.7944800000000001	No data	-0.9344655136486768	-0.7853949151129049	0	No data	No data	-0.2982975	0.75	0.5
SLC9A8	0.08159224395170143	0.13421304574838624	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7848550000000003	No data	0.1305480308397582	-0.20442389805586242	0	No data	No data	0	-1	-1
IFNK	0.05009541588482521	0.0824031552302255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0	No data	0.9199833298603877	0	0	No data	No data	0	No data	No data
SPATA2	0.04122603932834849	0.06781370427409389	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.2307699999999997	No data	-0.7678683058970619	0	0	No data	No data	0	-1	-1
G2E3	0.03918321306335185	0.06445341018630907	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.7342154615544905	-0.625329017448687	0	No data	No data	0	0.5	-1
RPSA	0.042100332346401766	0.0631725419248946	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	1	1	0	1	1	0	0.9661000000000002	No data	-0.6686809752031673	-0.6786049899026672	No data	No data	No data	-0.9745750000000001	-1	-1
RPL26L1	0.02503626119460945	0.041182748584163625	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	No data	No data	0.6683684100854346	No data	0	No data	No data	-0.9655175	-1	-1
NECAB1	0.005041926814571062	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04146793380413766	No data	No data	0	0	0	0	0	0.8290599999999998	No data	-0.39914565534486346	No data	0	No data	No data	0	0.75	0
GLDN	0.003457085054511289	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.028433212037399205	No data	No data	1	1	0	0	0	0.3194200000000002	No data	0.42290060429256093	0	0	-1	No data	0	0.5	0
NETO2	0.002181846929124463	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.017944862620024267	No data	No data	0	0	0	0	0	0.7428550000000002	No data	-0.5122942279641591	-0.12511711754295884	0	No data	No data	0	0.5	0
TERF1	0.006652437384324632	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0547137717850459	No data	No data	No data	0	0	0	0	0	0	No data	-0.664096686809752	No data	No data	No data	No data	0	-1	-1
SNCG	0.010459978814799794	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08008746764564231	0.023767547251629398	No data	No data	0	0	0	0	0	0.21259999999999976	No data	0.7005626172119193	No data	0	No data	No data	0	0.5	0
H2BC21	0.008869916512432843	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07295169571339452	No data	No data	No data	0	0	0	0	0	No data	No data	0.35549072723484065	No data	-1	No data	No data	-0.98016	-1	-1
