symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
APOE	0.5689432365813727	0.8900170088676969	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9170282736796719	No data	No data	No data	0	1	0	0	0	0	No data	0.1554490518858096	-0.9832509398565298	0	-1	No data	0	0.75	-1
SNCA	0.7373192094745281	0.6500502046512874	No data	0.8311640796114094	0.865457038266544	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9081624977352775	No data	No data	0.5	0	1	1	1	0	0.75	0	-0.5884559283183997	-0.7094956642325514	0	No data	No data	-0.08928499999999992	0.75	-1
GBA1	0.6500788414167656	0.6117769698632884	No data	0.9051528876963838	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5054940659500878	No data	No data	0.5	0	0	1	1	1	0.16045000000000015	No data	-0.13554907272348404	-0.9585905076941581	0	No data	No data	No data	-1	-1
BIN1	0.3560486723928004	0.5777308365094543	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15884387393261643	No data	No data	No data	0	0	0	0	0	0.738615	No data	-0.6690977286934778	-0.80519892451376	0	No data	No data	0	0.75	-1
NECTIN2	0.3353101379330989	0.5515597157611236	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	-0.7234840591789956	0	0	No data	No data	0	-1	-1
MSTO1	0.33220740764411566	0.546455960035681	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.20358408001667017	-0.6961097835846788	-1	No data	No data	No data	-1	-1
APOC1	0.25942762737936625	0.42673874789462896	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0	No data	0.5903313190247967	-0.719266083496701	0	No data	No data	No data	1	-1
SLC50A1	0.1668803955899366	0.2735936828029686	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	1	0	0	0	0	0	No data	0.14700979370702227	0	0	No data	No data	No data	-1	-1
MMRN1	0.1656253266032439	0.271833155019946	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	1	0	0	0	0	No data	0.34361325276099186	0	0	No data	No data	0	-1	0
TOMM40	0.16046767304080412	0.26127210965452563	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.05370055378902653	No data	No data	No data	0	0	0	0	0	0.6537399999999998	No data	-0.8807043133986248	-0.6797644396463925	-1	No data	No data	0	-1	-1
ZNF365	0.14480743588372616	0.2381972363509653	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.2506149999999998	No data	-0.18722650552198372	-0.05377051238253633	0	No data	No data	0	0.75	0
BCL7C	0.09347223245920493	0.1522348977648242	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0	No data	-0.22942279641592	0	0	No data	No data	0	-1	-1
KRTCAP2	0.08963434927141642	0.1474416983373158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8529400000000003	No data	0.5860595957491144	-0.23767649866384855	0	No data	No data	No data	-1	-1
ASH1L	0.0743398505954353	0.12015565158241047	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	0	0	1	1	1	0.6018900000000003	1	-0.9958324650968952	-0.8928791474145775	0	No data	No data	0	-1	-1
CTF1	0.033868686268998145	0.05571141715810109	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0	No data	0.7856845176078349	-0.31765044666930503	0	No data	No data	0	-1	-1
HSD3B7	0.03168008892284702	0.05211134071066748	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.34959500000000004	No data	0.4818712231714941	-0.7382538942927808	0	No data	No data	0	1	-1
STX4	0.03143849287124461	0.051713933550919085	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.5117849999999997	No data	0.30235465722025423	-0.7793822045115018	0	No data	No data	0	-1	-1
CLPTM1	0.025616331718804154	0.04213692054990977	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7234699999999996	No data	-0.7199416545113566	-0.20048869973694317	0	No data	No data	0	-1	-1
CHRNB2	0.0199573121529739	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1641413153551377	No data	No data	1	1	0	1	1	1	0.36255000000000026	No data	-0.1115857470306314	-0.8696237317165048	0	-1	No data	-0.06872500000000006	0.75	0.5
ENSG00000288534	0.015522353896757475	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12766546749844043	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PARP9	0.004804538110901123	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03951550184475537	No data	No data	No data	0	0	0	1	0	0	No data	-0.12137945405292772	0	0	No data	No data	0	-1	-1
GRIA1	0.0044349582562164215	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	No data	1	1	0	1	1	0	0.8951450000000001	No data	-0.8131902479683267	-0.35302347899574427	0	No data	No data	-0.18322250000000012	0.75	0.5
POLDIP2	0.014844790829835523	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1220927685203339	No data	No data	No data	0	0	0	0	0	0.755435	No data	-0.5432381746197125	-0.773126029405938	No data	No data	No data	0	-1	-1
AP2B1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	0.9947400000000002	No data	-0.8068347572410919	-0.8950667766736436	0	No data	No data	-0.5793900000000001	-1	-1
FKBP1A	0.004989328038243475	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04103532883878443	No data	No data	1	0	0	1	1	1	0.1666649999999997	1	-0.44675974161283605	-0.9407545021933139	0	No data	No data	-0.88426	-1	-1
ARHGAP26	0.025131430118559724	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20669647118795118	No data	No data	No data	0	0	0	0	0	0.8484850000000002	No data	-0.790060429256095	-0.11377769904932167	0	No data	-1	0	-1	-1
CLIP2	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	1	0	0	0	0	0.5793500000000001	No data	-0.8912273390289643	-0.22189833504795226	0	No data	No data	0	1	-1
YWHAE	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	1	No data	-0.8443425713690352	-0.9260738843911726	0	No data	No data	-0.18627499999999983	-1	-1
AVP	0.0029566388374776143	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	No data	0	1	0	0	0	0.08536500000000018	No data	0.5787664096686809	-0.7900632894946791	0	No data	No data	0	1	0.5
