symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IRAG1	0.5634090150100484	0.9057935466506858	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.41943003293551767	No data	No data	No data	0	0	0	0	0	0.0953949999999999	No data	-0.34767659929151906	-0.9190114056985579	0	No data	No data	0	-1	-1
PLCE1	0.518605973893425	0.8478968273911436	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10341240606705682	No data	No data	No data	0	0	0	0	0	0.23761999999999972	No data	-0.5468847676599291	-0.9426018323554854	0	No data	No data	0	-1	0
KCNK5	0.5082165519114578	0.8279310386794585	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16093197511476626	No data	No data	No data	0	0	0	0	0	0.4689399999999999	No data	-0.4553031881642009	-0.5907693915496134	0	No data	No data	0	0.5	0
ASTN2	0.5016466137723281	0.8188947140677606	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12551748008698466	No data	No data	No data	0	0	0	0	0	0.869305	No data	-0.8295478224630131	No data	0	No data	No data	0	-1	-1
MRGPRE	0.49636862613198324	0.816488699177715	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	No data	-0.05377051238253633	0	No data	No data	0	No data	No data
SUGCT	0.4932342622571295	0.8074657932540779	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07734230702947845	No data	No data	No data	0	0	0	0	0	0.20091499999999982	No data	0.15336528443425723	-0.6808232235399958	0	-1	No data	0	0.5	0
FHL5	0.4921228314859348	0.8042385720635716	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10532234635501274	No data	No data	No data	0	0	0	0	0	0.2605649999999997	No data	0.691810793915399	0	0	No data	No data	0	0.5	0
TRPM8	0.5104424921280174	0.7999499919358232	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7937829626613847	No data	No data	1	1	0	1	1	0	0.6875	1	0.16128360075015635	-0.17077894484562928	0	No data	No data	0	0.75	0.5
RNF213	0.4859684003449945	0.7972459294225768	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04270376113889632	No data	No data	No data	0	0	0	0	0	0	No data	-0.3112106688893519	-0.5466434306981666	0	No data	No data	No data	-1	-1
PRDM16	0.48474193418981587	0.7833301883966809	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.28066970773902367	No data	No data	No data	0	0	0	0	0	0.4161450000000002	No data	-0.9021671181496145	-0.9071298549857939	0	No data	-1	0	0.5	0
CALCA	0.7286084934559088	0.7724857831818744	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.983556102925328	No data	No data	No data	No data	No data	No data	0.9822643880084199	No data	No data	1	0	1	0	0	0	0	No data	0.6801416961867055	-0.9017731968247585	0	No data	No data	0	0.5	0.5
PHACTR1	0.4746922347831363	0.7694357148570075	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22793933014968962	No data	No data	No data	1	0	0	0	0	0.8448300000000003	No data	0.00770993957074384	-0.22179856271377002	No data	No data	No data	0	0.5	0
MPPED2	0.46626441475369446	0.7656470545772717	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.026450055786085617	No data	No data	No data	0	0	0	0	0	0.9829949999999996	No data	-0.8876849343613252	0	0	No data	No data	-0.4812925	0.5	0
HPSE2	0.45486057439404737	0.7446616343942051	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07098943019443701	No data	No data	No data	0	1	0	0	0	0.87331	No data	-0.27662012919358203	-0.8443522969619183	0	No data	No data	0	0.5	0
LRP1	0.4550270001552152	0.7367952439632379	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2337923936117161	No data	No data	0.75	1	0	0	0	0	0.89987	No data	-0.9970827255678266	-0.9203827454128568	0	No data	No data	-0.02288750000000004	0.5	-1
COL4A1	0.5401644738472128	0.7340887842364116	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11061267639253453	No data	No data	1	0	1	0	0	0	0.5386450000000004	No data	-0.9598874765576162	-0.9703572977848751	0	No data	No data	-0.035350000000000034	0.5	0
B3GNTL1	0.4429655060087715	0.7272767773449601	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02735688589252295	No data	No data	No data	0	0	0	0	0	0.2630049999999997	No data	0.8222546363825798	No data	0	No data	No data	No data	-1	0
PLEK	0.44117193261493653	0.7256943295983187	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5857149999999998	No data	-0.16336736820170872	-0.08949666429990372	0	No data	No data	0	1	0
SLC24A3	0.43690718076183693	0.7159447197385286	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.054688337945553986	No data	No data	No data	0	0	0	0	0	0.829195	No data	-0.6848301729526984	-0.29301960107935066	0	No data	No data	0	-1	0
NEDD1	0.4286573777378233	0.7051088370944364	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.2727249999999998	No data	-0.6063763284017504	-0.14234600145577203	-1	No data	No data	0	-1	-1
ZEB2	0.4267786324522688	0.7020184437586562	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.8352550000000001	No data	-0.9746822254636383	-0.6350471970727406	0	No data	No data	0	0.5	-1
RIMS1	0.4247592961037219	0.6986967887997689	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.5094549999999998	No data	-0.7775578245467806	-0.7842479793465573	0	No data	No data	0	1	0.5
GJA1	0.4227524782534694	0.6893713004853425	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12048850669330323	No data	No data	No data	0	0	1	1	0	0.8691099999999998	No data	-0.35090643884142525	-0.9893820620346846	0	No data	No data	0	-1	0
JAG1	0.41448570420624237	0.6811895794365025	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	1	0	0	0	0	0.8275849999999998	No data	-0.9448843509064389	-0.9687709106246164	0	No data	No data	0	-1	-1
TMPO	0.4120904324756348	0.6739059199332011	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07903100368951074	No data	No data	No data	0	0	0	0	0	0	No data	0.1210668889351949	0	0	No data	No data	0	0.5	-1
POC5	0.4049485951559377	0.6615502090465477	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09118961964174316	No data	No data	No data	0	0	0	0	0	0	No data	0.003125651177328548	-0.5489623301856178	0	No data	No data	No data	-1	-1
HEY2	0.39386589034261127	0.645827715712926	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04103532883878443	No data	No data	No data	0	0	0	0	0	0.7032649999999997	No data	-0.6191914982287976	-0.9830588330677403	0	No data	No data	0	0.5	0
